Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.beitv2/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3203, 7.72, 4.5553, 35.96, 60.84
1, 3.1956, 53.50, 1.5181, 71.26, 90.38
2, 1.5637, 69.60, 0.9792, 76.54, 93.46
3, 1.2209, 72.93, 0.8664, 78.02, 94.41
4, 1.1148, 74.30, 0.8194, 78.85, 94.78
5, 1.0600, 75.09, 0.7958, 79.35, 95.01
6, 1.0271, 75.64, 0.7811, 79.67, 95.20
7, 1.0011, 76.07, 0.7713, 79.65, 95.33
8, 0.9822, 76.36, 0.7623, 80.06, 95.33
9, 0.9689, 76.56, 0.7596, 79.89, 95.42
10, 0.9577, 76.76, 0.7548, 80.11, 95.52
11, 0.9433, 77.00, 0.7546, 80.25, 95.46
12, 0.9336, 77.21, 0.7516, 80.18, 95.59
13, 0.9224, 77.45, 0.7489, 80.27, 95.67
14, 0.9140, 77.59, 0.7532, 80.27, 95.68
15, 0.9039, 77.81, 0.7478, 80.56, 95.61
16, 0.8973, 77.93, 0.7526, 80.32, 95.64
17, 0.8913, 78.07, 0.7555, 80.25, 95.66
18, 0.8874, 78.16, 0.7506, 80.41, 95.66
19, 0.8820, 78.26, 0.7462, 80.44, 95.72
20, 0.8775, 78.38, 0.7571, 80.13, 95.58
21, 0.8723, 78.44, 0.7519, 80.37, 95.69
22, 0.8678, 78.55, 0.7561, 80.28, 95.68
23, 0.8638, 78.63, 0.7535, 80.40, 95.66
24, 0.8583, 78.75, 0.7540, 80.51, 95.56
25, 0.8551, 78.80, 0.7561, 80.38, 95.62
26, 0.8513, 78.90, 0.7574, 80.31, 95.61
27, 0.8471, 78.98, 0.7614, 80.32, 95.63
28, 0.8450, 79.04, 0.7580, 80.36, 95.72
29, 0.8408, 79.14, 0.7550, 80.36, 95.61
30, 0.8375, 79.21, 0.7552, 80.38, 95.74
31, 0.8345, 79.28, 0.7566, 80.51, 95.68
32, 0.8283, 79.41, 0.7618, 80.39, 95.68
33, 0.8290, 79.41, 0.7579, 80.49, 95.65
34, 0.8234, 79.51, 0.7600, 80.43, 95.57
35, 0.8211, 79.61, 0.7553, 80.49, 95.73
36, 0.8198, 79.62, 0.7579, 80.53, 95.69
37, 0.8149, 79.73, 0.7543, 80.68, 95.64
38, 0.8102, 79.82, 0.7577, 80.58, 95.66
39, 0.8078, 79.84, 0.7533, 80.62, 95.68
40, 0.8061, 79.91, 0.7556, 80.54, 95.67
41, 0.7997, 80.05, 0.7539, 80.69, 95.72
42, 0.7962, 80.13, 0.7515, 80.66, 95.72
43, 0.7922, 80.19, 0.7506, 80.76, 95.70
44, 0.7916, 80.21, 0.7498, 80.77, 95.78
45, 0.7864, 80.34, 0.7534, 80.57, 95.80
46, 0.7836, 80.41, 0.7438, 80.91, 95.77
47, 0.7797, 80.51, 0.7466, 80.81, 95.73
48, 0.7772, 80.60, 0.7448, 80.92, 95.74
49, 0.7738, 80.68, 0.7433, 80.97, 95.76
50, 0.7703, 80.75, 0.7447, 80.92, 95.74
51, 0.7660, 80.85, 0.7412, 80.92, 95.86
52, 0.7629, 80.91, 0.7435, 80.79, 95.76
53, 0.7587, 81.03, 0.7431, 80.92, 95.84
54, 0.7579, 81.03, 0.7430, 80.86, 95.78
55, 0.7551, 81.13, 0.7373, 80.91, 95.86
56, 0.7509, 81.24, 0.7378, 80.94, 95.82
57, 0.7482, 81.28, 0.7354, 81.00, 95.80
58, 0.7431, 81.41, 0.7381, 80.85, 95.83
59, 0.7412, 81.46, 0.7373, 81.01, 95.81
60, 0.7383, 81.49, 0.7366, 80.97, 95.80
61, 0.7341, 81.65, 0.7336, 81.09, 95.76
62, 0.7309, 81.68, 0.7334, 81.09, 95.83
63, 0.7304, 81.73, 0.7313, 81.05, 95.86
64, 0.7284, 81.77, 0.7316, 81.03, 95.85
65, 0.7244, 81.88, 0.7305, 81.12, 95.86
66, 0.7218, 81.93, 0.7280, 81.18, 95.88
67, 0.7209, 81.99, 0.7286, 81.16, 95.85
68, 0.7174, 82.11, 0.7248, 81.23, 95.87
69, 0.7147, 82.14, 0.7280, 81.23, 95.86
70, 0.7120, 82.22, 0.7250, 81.19, 95.87
71, 0.7101, 82.25, 0.7247, 81.18, 95.85
72, 0.7076, 82.31, 0.7243, 81.22, 95.84
73, 0.7065, 82.38, 0.7245, 81.21, 95.89
74, 0.7045, 82.39, 0.7236, 81.25, 95.87
75, 0.7039, 82.40, 0.7226, 81.27, 95.89
76, 0.7029, 82.48, 0.7209, 81.21, 95.85
77, 0.6987, 82.55, 0.7231, 81.28, 95.87
78, 0.6972, 82.61, 0.7203, 81.25, 95.91
79, 0.6978, 82.58, 0.7196, 81.31, 95.93
80, 0.6969, 82.59, 0.7207, 81.39, 95.90
81, 0.6952, 82.64, 0.7205, 81.32, 95.87
82, 0.6944, 82.68, 0.7185, 81.27, 95.89
83, 0.6955, 82.69, 0.7195, 81.32, 95.89
84, 0.6951, 82.70, 0.7200, 81.36, 95.89
85, 0.6938, 82.70, 0.7202, 81.36, 95.88
86, 0.6926, 82.72, 0.7186, 81.33, 95.89
87, 0.6896, 82.76, 0.7184, 81.34, 95.89
88, 0.6935, 82.74, 0.7187, 81.32, 95.88
89, 0.6926, 82.78, 0.7197, 81.32, 95.89

Final Results:
Max Accuracy: 81.39%
Final Val Acc1: 81.32%
Final Val Acc5: 95.89%
Total Training Time: 17:22:23
