Training Log
Model: vit_base_patch16
Model Details: /scratch/project_465003083/psomasva/checkpoints/converted_checkpoints/vit_base_patch16_224.beitv2/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.9070, 0.20, 6.9078, 0.10, 0.50
1, 6.9059, 0.51, 6.9075, 0.13, 1.32
2, 6.8969, 3.73, 6.8966, 9.85, 17.39
3, 6.8772, 15.69, 6.8490, 40.69, 59.01
4, 6.7920, 38.63, 6.6414, 55.61, 77.01
5, 6.3068, 52.59, 5.3512, 61.19, 82.81
6, 3.8764, 60.10, 1.6607, 70.51, 88.97
7, 1.7527, 67.42, 1.1162, 74.54, 91.79
8, 1.4180, 70.25, 1.0082, 76.00, 92.80
9, 1.3067, 71.46, 0.9616, 76.78, 93.24
10, 1.2460, 72.25, 0.9345, 77.18, 93.39
11, 1.2079, 72.73, 0.9218, 77.47, 93.51
12, 1.1847, 73.01, 0.9130, 77.41, 93.58
13, 1.1668, 73.27, 0.8993, 77.70, 93.75
14, 1.1562, 73.38, 0.9031, 77.65, 93.75
15, 1.1427, 73.54, 0.8968, 77.74, 93.88
16, 1.1353, 73.61, 0.8957, 77.76, 93.81
17, 1.1307, 73.74, 0.8944, 77.90, 93.86
18, 1.1244, 73.75, 0.8955, 77.72, 93.88
19, 1.1208, 73.83, 0.8900, 77.78, 93.89
20, 1.1143, 73.90, 0.8940, 77.75, 93.97
21, 1.1149, 73.81, 0.8920, 77.72, 93.95
22, 1.1104, 73.95, 0.8951, 77.85, 93.86
23, 1.1097, 73.91, 0.8924, 77.97, 93.94
24, 1.1071, 73.97, 0.8917, 77.81, 93.94
25, 1.1046, 74.04, 0.8885, 77.86, 94.00
26, 1.1028, 74.05, 0.8952, 77.85, 93.85
27, 1.0988, 74.07, 0.8963, 77.78, 93.93
28, 1.1009, 74.09, 0.8924, 77.80, 93.94
29, 1.0977, 74.11, 0.8951, 77.75, 93.93
30, 1.0933, 74.18, 0.8921, 77.77, 93.92
31, 1.0927, 74.14, 0.8928, 77.83, 93.97
32, 1.0911, 74.20, 0.8963, 77.65, 93.95
33, 1.0904, 74.24, 0.8906, 77.93, 93.99
34, 1.0875, 74.28, 0.8897, 77.90, 93.87
35, 1.0859, 74.28, 0.8876, 78.11, 93.92
