Training Log
Model: capi_vitl14_in1k
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2844, 6.47, 4.8177, 26.39, 48.66
1, 3.3576, 46.02, 1.9833, 63.28, 85.66
2, 1.5613, 68.40, 1.0294, 75.86, 92.96
3, 1.0175, 76.42, 0.7679, 80.17, 95.28
4, 0.8625, 79.12, 0.7054, 81.36, 95.90
5, 0.8166, 80.02, 0.6846, 81.77, 96.11
6, 0.7903, 80.49, 0.6727, 82.13, 96.20
7, 0.7735, 80.82, 0.6663, 82.19, 96.24
8, 0.7608, 81.08, 0.6623, 82.28, 96.34
9, 0.7506, 81.19, 0.6530, 82.52, 96.33
10, 0.7387, 81.47, 0.6522, 82.58, 96.40
11, 0.7229, 81.78, 0.6505, 82.59, 96.43
12, 0.7095, 82.10, 0.6433, 82.69, 96.54
13, 0.6967, 82.41, 0.6350, 82.84, 96.52
14, 0.6846, 82.65, 0.6416, 82.94, 96.54
15, 0.6700, 82.93, 0.6384, 82.97, 96.53
16, 0.6604, 83.17, 0.6437, 82.84, 96.54
17, 0.6519, 83.36, 0.6481, 82.80, 96.49
18, 0.6414, 83.60, 0.6430, 82.87, 96.47
19, 0.6343, 83.70, 0.6463, 82.98, 96.51
20, 0.6259, 83.94, 0.6548, 82.84, 96.48
21, 0.6185, 84.09, 0.6566, 82.74, 96.44
22, 0.6130, 84.28, 0.6619, 82.61, 96.44
23, 0.6057, 84.37, 0.6604, 82.75, 96.39
24, 0.6015, 84.51, 0.6610, 82.68, 96.45
25, 0.5971, 84.62, 0.6706, 82.57, 96.37
26, 0.5908, 84.76, 0.6698, 82.76, 96.39
27, 0.5846, 84.95, 0.6790, 82.38, 96.26
28, 0.5815, 85.02, 0.6804, 82.42, 96.24
29, 0.5765, 85.09, 0.6873, 82.33, 96.26
30, 0.5720, 85.19, 0.6864, 82.37, 96.26
31, 0.5666, 85.35, 0.6890, 82.43, 96.25
32, 0.5615, 85.46, 0.7008, 82.22, 96.21
33, 0.5589, 85.56, 0.7021, 82.20, 96.17
