Training Log
Model: capi_vitl14_in1k
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.6854, 3.45, 5.6271, 28.27, 44.17
1, 4.6163, 43.74, 2.2811, 71.34, 88.58
2, 2.7103, 58.40, 1.1291, 76.94, 92.90
3, 2.2943, 61.08, 0.9200, 79.00, 94.06
4, 2.1864, 62.33, 0.8379, 79.88, 94.63
5, 2.1318, 63.11, 0.7950, 80.45, 94.90
6, 2.1014, 63.52, 0.7683, 80.86, 95.11
7, 2.0793, 63.87, 0.7543, 80.86, 95.27
8, 2.0652, 64.11, 0.7410, 81.09, 95.35
9, 2.0546, 64.29, 0.7388, 81.04, 95.40
10, 2.0482, 64.41, 0.7356, 81.12, 95.37
11, 2.0393, 64.56, 0.7313, 81.27, 95.39
12, 2.0349, 64.66, 0.7289, 81.39, 95.41
13, 2.0297, 64.75, 0.7266, 81.27, 95.42
14, 2.0244, 64.82, 0.7283, 81.40, 95.40
15, 2.0224, 64.90, 0.7294, 81.31, 95.38
16, 2.0187, 64.99, 0.7292, 81.20, 95.42
17, 2.0170, 65.03, 0.7275, 81.51, 95.40
18, 2.0141, 65.05, 0.7259, 81.39, 95.48
19, 2.0131, 65.06, 0.7306, 81.50, 95.39
20, 2.0119, 65.10, 0.7317, 81.20, 95.43
21, 2.0092, 65.17, 0.7281, 81.36, 95.34
22, 2.0074, 65.21, 0.7284, 81.28, 95.42
23, 2.0065, 65.19, 0.7298, 81.20, 95.38
24, 2.0059, 65.24, 0.7282, 81.31, 95.44
25, 2.0051, 65.24, 0.7308, 81.36, 95.41
26, 2.0035, 65.29, 0.7315, 81.17, 95.38
27, 2.0020, 65.31, 0.7308, 81.18, 95.50
28, 2.0009, 65.36, 0.7324, 81.31, 95.41
29, 2.0011, 65.32, 0.7311, 81.38, 95.39
30, 1.9997, 65.39, 0.7337, 81.24, 95.39
31, 1.9961, 65.45, 0.7319, 81.43, 95.40
32, 1.9953, 65.46, 0.7349, 81.32, 95.36
33, 1.9950, 65.45, 0.7312, 81.37, 95.43
34, 1.9922, 65.54, 0.7292, 81.53, 95.40
35, 1.9920, 65.51, 0.7306, 81.38, 95.43
36, 1.9888, 65.60, 0.7298, 81.31, 95.37
37, 1.9889, 65.59, 0.7285, 81.25, 95.38
38, 1.9882, 65.59, 0.7296, 81.41, 95.41
39, 1.9885, 65.59, 0.7314, 81.33, 95.40
40, 1.9834, 65.68, 0.7279, 81.38, 95.42
41, 1.9803, 65.73, 0.7263, 81.42, 95.48
42, 1.9804, 65.76, 0.7307, 81.27, 95.49
43, 1.9803, 65.77, 0.7232, 81.43, 95.50
44, 1.9786, 65.77, 0.7243, 81.48, 95.44
45, 1.9764, 65.83, 0.7225, 81.61, 95.47
46, 1.9749, 65.87, 0.7231, 81.40, 95.48
47, 1.9716, 65.91, 0.7237, 81.55, 95.44
48, 1.9706, 65.94, 0.7241, 81.48, 95.46
49, 1.9691, 65.96, 0.7220, 81.53, 95.49
50, 1.9660, 66.03, 0.7227, 81.41, 95.45
51, 1.9663, 66.00, 0.7218, 81.59, 95.51
52, 1.9661, 66.00, 0.7204, 81.51, 95.50
53, 1.9622, 66.09, 0.7207, 81.54, 95.52
54, 1.9601, 66.13, 0.7204, 81.52, 95.48
55, 1.9602, 66.13, 0.7179, 81.52, 95.53
56, 1.9588, 66.18, 0.7174, 81.63, 95.56
57, 1.9543, 66.21, 0.7165, 81.59, 95.49
58, 1.9557, 66.23, 0.7155, 81.60, 95.52
59, 1.9541, 66.26, 0.7159, 81.68, 95.50
60, 1.9509, 66.31, 0.7159, 81.72, 95.54
61, 1.9517, 66.30, 0.7152, 81.63, 95.48
62, 1.9492, 66.34, 0.7142, 81.66, 95.55
63, 1.9450, 66.43, 0.7145, 81.75, 95.56
64, 1.9458, 66.43, 0.7126, 81.76, 95.54
65, 1.9448, 66.44, 0.7127, 81.68, 95.53
66, 1.9427, 66.50, 0.7104, 81.82, 95.56
67, 1.9388, 66.55, 0.7114, 81.87, 95.53
68, 1.9396, 66.56, 0.7105, 81.83, 95.57
69, 1.9399, 66.55, 0.7099, 81.91, 95.51
70, 1.9380, 66.61, 0.7093, 81.86, 95.58
71, 1.9375, 66.61, 0.7083, 81.90, 95.57
72, 1.9357, 66.64, 0.7076, 81.92, 95.60
73, 1.9349, 66.63, 0.7078, 81.90, 95.61
74, 1.9353, 66.63, 0.7074, 81.88, 95.59
75, 1.9322, 66.69, 0.7072, 81.94, 95.59
76, 1.9324, 66.72, 0.7072, 81.91, 95.62
77, 1.9306, 66.75, 0.7061, 81.85, 95.63
78, 1.9302, 66.73, 0.7065, 81.86, 95.62
79, 1.9283, 66.80, 0.7058, 81.88, 95.62
80, 1.9298, 66.79, 0.7055, 81.85, 95.61
81, 1.9293, 66.77, 0.7057, 81.86, 95.61
82, 1.9273, 66.79, 0.7053, 81.87, 95.60
83, 1.9265, 66.83, 0.7059, 81.85, 95.60
84, 1.9283, 66.78, 0.7057, 81.86, 95.61
85, 1.9273, 66.83, 0.7056, 81.89, 95.60
86, 1.9262, 66.84, 0.7058, 81.89, 95.62
87, 1.9266, 66.79, 0.7054, 81.88, 95.63
88, 1.9260, 66.82, 0.7057, 81.89, 95.59
89, 1.9259, 66.86, 0.7053, 81.90, 95.59

Final Results:
Max Accuracy: 81.94%
Final Val Acc1: 81.90%
Final Val Acc5: 95.59%
Total Training Time: 1 day, 16:57:30
