Training Log
Model: capi_vitl14_in1k
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.7372, 2.31, 6.0048, 13.96, 27.20
1, 4.9355, 31.29, 3.5998, 48.28, 72.18
2, 2.8466, 54.04, 2.0289, 62.66, 84.04
3, 1.8693, 64.09, 1.4738, 69.32, 88.64
4, 1.4933, 68.98, 1.2384, 72.57, 90.52
5, 1.3127, 71.64, 1.1152, 74.33, 91.55
6, 1.2101, 73.14, 1.0469, 75.23, 92.16
7, 1.1461, 74.06, 1.0060, 75.82, 92.58
8, 1.1045, 74.72, 0.9797, 76.21, 92.81
9, 1.0758, 75.09, 0.9688, 76.19, 92.94
10, 1.0572, 75.34, 0.9568, 76.33, 93.09
11, 1.0405, 75.63, 0.9486, 76.60, 93.14
12, 1.0308, 75.80, 0.9438, 76.65, 93.21
13, 1.0221, 75.95, 0.9410, 76.55, 93.26
14, 1.0117, 76.06, 0.9424, 76.66, 93.17
15, 1.0091, 76.15, 0.9420, 76.71, 93.22
16, 1.0048, 76.25, 0.9408, 76.72, 93.23
17, 1.0020, 76.26, 0.9379, 76.78, 93.35
18, 0.9986, 76.32, 0.9348, 76.82, 93.31
19, 0.9979, 76.28, 0.9409, 76.59, 93.22
20, 0.9974, 76.36, 0.9437, 76.60, 93.25
21, 0.9940, 76.42, 0.9383, 76.64, 93.28
22, 0.9902, 76.48, 0.9417, 76.52, 93.31
23, 0.9911, 76.45, 0.9453, 76.65, 93.26
24, 0.9896, 76.50, 0.9387, 76.69, 93.29
25, 0.9892, 76.48, 0.9424, 76.66, 93.28
26, 0.9872, 76.57, 0.9392, 76.77, 93.24
27, 0.9860, 76.57, 0.9413, 76.69, 93.27
28, 0.9843, 76.61, 0.9365, 76.79, 93.35
29, 0.9820, 76.62, 0.9368, 76.81, 93.40
30, 0.9822, 76.65, 0.9362, 76.74, 93.33
31, 0.9787, 76.74, 0.9361, 76.69, 93.35
32, 0.9761, 76.77, 0.9414, 76.67, 93.35
33, 0.9755, 76.78, 0.9359, 76.73, 93.36
34, 0.9730, 76.80, 0.9336, 76.94, 93.37
35, 0.9707, 76.87, 0.9349, 76.86, 93.33
36, 0.9684, 76.97, 0.9336, 76.94, 93.33
37, 0.9658, 76.94, 0.9343, 76.87, 93.39
38, 0.9649, 77.02, 0.9310, 76.88, 93.43
39, 0.9651, 77.02, 0.9310, 76.75, 93.36
40, 0.9592, 77.12, 0.9309, 76.87, 93.47
41, 0.9549, 77.17, 0.9288, 77.12, 93.39
42, 0.9541, 77.19, 0.9303, 76.95, 93.38
43, 0.9519, 77.30, 0.9267, 76.85, 93.41
44, 0.9490, 77.31, 0.9270, 77.08, 93.37
45, 0.9476, 77.33, 0.9214, 77.03, 93.46
46, 0.9435, 77.40, 0.9212, 77.02, 93.45
47, 0.9386, 77.51, 0.9212, 77.09, 93.48
48, 0.9385, 77.52, 0.9202, 77.14, 93.49
49, 0.9349, 77.60, 0.9162, 77.25, 93.53
50, 0.9308, 77.70, 0.9192, 77.08, 93.49
51, 0.9286, 77.72, 0.9170, 77.22, 93.48
52, 0.9267, 77.76, 0.9146, 77.23, 93.51
53, 0.9237, 77.83, 0.9122, 77.14, 93.59
54, 0.9210, 77.93, 0.9132, 77.35, 93.65
55, 0.9179, 77.97, 0.9099, 77.31, 93.59
56, 0.9158, 78.07, 0.9083, 77.31, 93.64
57, 0.9100, 78.10, 0.9064, 77.50, 93.58
58, 0.9113, 78.12, 0.9024, 77.44, 93.63
59, 0.9077, 78.22, 0.9045, 77.40, 93.66
60, 0.9051, 78.31, 0.9030, 77.43, 93.71
61, 0.9030, 78.33, 0.9007, 77.53, 93.64
62, 0.8985, 78.42, 0.8997, 77.60, 93.72
63, 0.8941, 78.51, 0.9003, 77.48, 93.65
64, 0.8953, 78.50, 0.8983, 77.61, 93.65
65, 0.8937, 78.55, 0.8965, 77.52, 93.68
66, 0.8903, 78.65, 0.8952, 77.59, 93.70
67, 0.8876, 78.66, 0.8961, 77.66, 93.65
68, 0.8857, 78.74, 0.8927, 77.65, 93.73
69, 0.8846, 78.75, 0.8931, 77.68, 93.74
70, 0.8835, 78.77, 0.8919, 77.68, 93.72
71, 0.8818, 78.85, 0.8914, 77.67, 93.77
72, 0.8768, 78.96, 0.8897, 77.74, 93.74
73, 0.8751, 78.97, 0.8906, 77.73, 93.71
74, 0.8769, 78.95, 0.8894, 77.77, 93.74
75, 0.8730, 79.07, 0.8888, 77.77, 93.78
76, 0.8723, 79.07, 0.8893, 77.73, 93.74
77, 0.8691, 79.11, 0.8881, 77.71, 93.79
78, 0.8709, 79.11, 0.8881, 77.73, 93.75
79, 0.8673, 79.20, 0.8878, 77.80, 93.78
80, 0.8677, 79.23, 0.8882, 77.81, 93.79
81, 0.8663, 79.21, 0.8868, 77.78, 93.76
82, 0.8662, 79.24, 0.8867, 77.80, 93.75
83, 0.8634, 79.29, 0.8861, 77.78, 93.75
84, 0.8661, 79.23, 0.8867, 77.82, 93.76
85, 0.8646, 79.25, 0.8864, 77.85, 93.77
86, 0.8636, 79.27, 0.8868, 77.81, 93.76
87, 0.8624, 79.31, 0.8863, 77.83, 93.77
88, 0.8616, 79.30, 0.8869, 77.81, 93.77
89, 0.8627, 79.32, 0.8861, 77.83, 93.78

Final Results:
Max Accuracy: 77.85%
Final Val Acc1: 77.83%
Final Val Acc5: 93.78%
Total Training Time: 1 day, 17:01:16

# Control run, not a reported number. It exists so the rule stated in the README
# (GAP is not a free substitute for the [CLS]) can be checked rather than taken on trust: the reported arm for this
# backbone is the sibling log in this directory. Best val acc1 77.85 at epoch 85
# of 90 recorded.
