Training Log
Model: ViT-B-16
Model Details: 
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 791,528
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2600, 7.22, 4.8037, 26.81, 52.57
1, 3.2973, 46.56, 2.0970, 60.31, 85.72
2, 1.6285, 66.18, 1.3258, 68.96, 90.87
3, 1.1737, 71.97, 1.1165, 71.86, 92.30
4, 0.9715, 75.25, 0.9333, 75.17, 94.09
5, 0.7977, 78.43, 0.8611, 76.42, 94.72
6, 0.7335, 79.79, 0.8339, 77.12, 94.98
7, 0.6975, 80.54, 0.8221, 77.38, 95.20
8, 0.6727, 81.08, 0.8212, 77.38, 95.14
9, 0.6538, 81.49, 0.8167, 77.39, 95.24
10, 0.6366, 81.88, 0.8171, 77.63, 95.15
11, 0.6184, 82.33, 0.8154, 77.95, 95.19
12, 0.6025, 82.68, 0.8180, 77.67, 95.18
13, 0.5877, 83.04, 0.8218, 77.69, 95.17
14, 0.5737, 83.38, 0.8273, 77.56, 95.12
15, 0.5622, 83.65, 0.8309, 77.64, 95.12
16, 0.5497, 83.96, 0.8345, 77.58, 95.17
17, 0.5390, 84.21, 0.8414, 77.41, 95.09
18, 0.5289, 84.46, 0.8461, 77.54, 95.07
19, 0.5198, 84.66, 0.8505, 77.40, 95.13
20, 0.5109, 84.89, 0.8654, 77.34, 95.00
21, 0.5027, 85.12, 0.8642, 77.33, 94.99
22, 0.4933, 85.32, 0.8808, 77.31, 94.88
23, 0.4866, 85.49, 0.8773, 77.42, 94.91
24, 0.4792, 85.67, 0.8934, 77.01, 94.87
25, 0.4732, 85.82, 0.8920, 77.17, 94.97
26, 0.4663, 86.00, 0.9006, 77.10, 94.83
27, 0.4602, 86.14, 0.9091, 77.17, 94.85
28, 0.4541, 86.26, 0.9127, 77.06, 94.78
29, 0.4483, 86.45, 0.9256, 76.91, 94.74
30, 0.4423, 86.58, 0.9287, 76.92, 94.78
31, 0.4363, 86.72, 0.9347, 76.80, 94.77
32, 0.4326, 86.84, 0.9491, 76.61, 94.72
33, 0.4262, 86.99, 0.9522, 76.67, 94.62
34, 0.4210, 87.12, 0.9524, 76.78, 94.61
35, 0.4157, 87.28, 0.9678, 76.38, 94.69
36, 0.4115, 87.36, 0.9743, 76.56, 94.63
37, 0.4063, 87.50, 0.9742, 76.63, 94.54
38, 0.4019, 87.63, 0.9826, 76.61, 94.58
39, 0.3969, 87.77, 0.9875, 76.47, 94.53
40, 0.3924, 87.87, 0.9865, 76.65, 94.57
41, 0.3872, 88.01, 1.0010, 76.40, 94.55
42, 0.3822, 88.15, 0.9998, 76.48, 94.52
43, 0.3775, 88.28, 1.0042, 76.62, 94.47
44, 0.3732, 88.40, 1.0127, 76.33, 94.48
45, 0.3683, 88.56, 1.0128, 76.51, 94.54
46, 0.3634, 88.66, 1.0170, 76.41, 94.47
47, 0.3581, 88.83, 1.0219, 76.24, 94.43
48, 0.3553, 88.90, 1.0231, 76.44, 94.46
49, 0.3497, 89.10, 1.0293, 76.36, 94.45
50, 0.3446, 89.23, 1.0291, 76.53, 94.40
51, 0.3407, 89.38, 1.0336, 76.29, 94.41
52, 0.3360, 89.47, 1.0360, 76.31, 94.54
53, 0.3318, 89.63, 1.0389, 76.33, 94.46
54, 0.3275, 89.75, 1.0419, 76.49, 94.34
55, 0.3232, 89.89, 1.0487, 76.34, 94.44
56, 0.3194, 90.01, 1.0449, 76.45, 94.38
57, 0.3150, 90.15, 1.0486, 76.34, 94.39
58, 0.3106, 90.29, 1.0519, 76.25, 94.39
59, 0.3067, 90.42, 1.0581, 76.34, 94.41
60, 0.3030, 90.53, 1.0533, 76.38, 94.38
61, 0.2994, 90.67, 1.0591, 76.44, 94.36
62, 0.2953, 90.79, 1.0596, 76.53, 94.40
63, 0.2920, 90.92, 1.0627, 76.33, 94.40
64, 0.2885, 91.01, 1.0646, 76.31, 94.40
65, 0.2846, 91.17, 1.0686, 76.27, 94.35
66, 0.2816, 91.24, 1.0622, 76.46, 94.30
67, 0.2785, 91.39, 1.0643, 76.49, 94.33
68, 0.2758, 91.47, 1.0668, 76.40, 94.30
69, 0.2725, 91.61, 1.0696, 76.44, 94.31
70, 0.2694, 91.70, 1.0687, 76.47, 94.32
71, 0.2670, 91.79, 1.0716, 76.35, 94.29
72, 0.2641, 91.90, 1.0691, 76.21, 94.30
73, 0.2623, 91.98, 1.0701, 76.46, 94.31
74, 0.2591, 92.08, 1.0750, 76.29, 94.28
75, 0.2574, 92.19, 1.0710, 76.36, 94.30
76, 0.2556, 92.25, 1.0742, 76.38, 94.28
77, 0.2534, 92.33, 1.0736, 76.37, 94.30
78, 0.2512, 92.42, 1.0746, 76.28, 94.30
79, 0.2500, 92.46, 1.0714, 76.39, 94.36
80, 0.2490, 92.47, 1.0728, 76.36, 94.30
81, 0.2468, 92.57, 1.0715, 76.40, 94.30
82, 0.2462, 92.59, 1.0733, 76.39, 94.32
83, 0.2452, 92.64, 1.0718, 76.34, 94.34
84, 0.2444, 92.68, 1.0743, 76.40, 94.32
85, 0.2442, 92.68, 1.0752, 76.44, 94.32
86, 0.2431, 92.71, 1.0732, 76.41, 94.28
87, 0.2424, 92.75, 1.0735, 76.38, 94.31
88, 0.2418, 92.77, 1.0711, 76.44, 94.32
89, 0.2421, 92.78, 1.0737, 76.41, 94.30

Final Results:
Max Accuracy: 77.95%
Final Val Acc1: 76.41%
Final Val Acc5: 94.30%
Total Training Time: 1 day, 3:10:11
