Training Log
Model: ViT-B-16
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 513,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.5547, 3.81, 5.5412, 19.03, 40.20
1, 3.8728, 45.17, 2.3392, 61.08, 86.50
2, 1.5450, 69.82, 1.1932, 71.71, 92.47
3, 0.9848, 75.84, 0.9643, 74.80, 94.01
4, 0.8281, 78.27, 0.8800, 76.39, 94.58
5, 0.7535, 79.65, 0.8401, 77.06, 94.89
6, 0.7089, 80.53, 0.8202, 77.55, 95.05
7, 0.6786, 81.11, 0.8109, 77.56, 95.19
8, 0.6570, 81.61, 0.8062, 77.86, 95.23
9, 0.6418, 81.93, 0.8092, 77.60, 95.25
10, 0.6293, 82.17, 0.8101, 77.71, 95.25
11, 0.6172, 82.45, 0.8151, 77.63, 95.18
12, 0.6081, 82.66, 0.8195, 77.68, 95.18
13, 0.6005, 82.80, 0.8229, 77.51, 95.18
14, 0.5947, 82.92, 0.8311, 77.49, 95.07
15, 0.5899, 83.04, 0.8327, 77.35, 95.14
16, 0.5853, 83.13, 0.8387, 77.38, 95.00
17, 0.5820, 83.22, 0.8463, 77.21, 94.93
18, 0.5782, 83.29, 0.8469, 77.31, 94.99
19, 0.5762, 83.34, 0.8483, 77.22, 94.95
20, 0.5740, 83.36, 0.8641, 77.01, 94.92
21, 0.5715, 83.44, 0.8635, 77.10, 94.91
22, 0.5690, 83.50, 0.8692, 77.00, 94.87
23, 0.5679, 83.54, 0.8719, 77.05, 94.85
24, 0.5652, 83.60, 0.8780, 76.79, 94.78
25, 0.5643, 83.58, 0.8812, 76.88, 94.82
26, 0.5626, 83.65, 0.8853, 76.66, 94.79
27, 0.5608, 83.69, 0.8866, 76.88, 94.78
28, 0.5594, 83.73, 0.8906, 76.67, 94.77
29, 0.5574, 83.78, 0.8931, 76.68, 94.73
30, 0.5561, 83.79, 0.8940, 76.66, 94.71
31, 0.5545, 83.86, 0.8993, 76.65, 94.73
32, 0.5531, 83.86, 0.9035, 76.60, 94.70
33, 0.5513, 83.92, 0.8997, 76.80, 94.71
34, 0.5496, 83.94, 0.9076, 76.52, 94.62
35, 0.5475, 84.02, 0.9031, 76.64, 94.65
36, 0.5465, 84.05, 0.9130, 76.53, 94.67
37, 0.5451, 84.07, 0.9138, 76.79, 94.64
38, 0.5434, 84.14, 0.9102, 76.73, 94.61
39, 0.5409, 84.21, 0.9102, 76.59, 94.63
40, 0.5393, 84.27, 0.9124, 76.58, 94.61
41, 0.5382, 84.26, 0.9129, 76.65, 94.61
42, 0.5357, 84.33, 0.9162, 76.48, 94.65
43, 0.5334, 84.41, 0.9102, 76.77, 94.63
44, 0.5315, 84.45, 0.9149, 76.63, 94.63
45, 0.5297, 84.52, 0.9178, 76.74, 94.57
46, 0.5277, 84.53, 0.9127, 76.62, 94.57
47, 0.5250, 84.65, 0.9137, 76.65, 94.61
48, 0.5235, 84.65, 0.9185, 76.58, 94.59
49, 0.5216, 84.74, 0.9135, 76.78, 94.57
50, 0.5192, 84.79, 0.9163, 76.76, 94.54
51, 0.5173, 84.86, 0.9118, 76.70, 94.57
52, 0.5156, 84.88, 0.9137, 76.73, 94.63
53, 0.5126, 84.97, 0.9142, 76.71, 94.53
54, 0.5109, 85.01, 0.9154, 76.68, 94.58
55, 0.5090, 85.07, 0.9149, 76.78, 94.56
56, 0.5063, 85.19, 0.9099, 76.84, 94.57
57, 0.5047, 85.22, 0.9123, 76.76, 94.54
58, 0.5027, 85.24, 0.9118, 76.69, 94.58
59, 0.5010, 85.30, 0.9132, 76.70, 94.52
60, 0.4986, 85.38, 0.9124, 76.73, 94.53
61, 0.4966, 85.43, 0.9121, 76.92, 94.57
62, 0.4956, 85.49, 0.9095, 76.85, 94.55
63, 0.4932, 85.55, 0.9080, 76.79, 94.56
64, 0.4914, 85.62, 0.9078, 76.78, 94.61
65, 0.4895, 85.64, 0.9093, 76.67, 94.60
66, 0.4871, 85.72, 0.9061, 76.80, 94.60
67, 0.4861, 85.73, 0.9082, 76.88, 94.56
68, 0.4841, 85.83, 0.9053, 76.88, 94.62
69, 0.4821, 85.90, 0.9051, 76.90, 94.57
70, 0.4806, 85.96, 0.9036, 76.93, 94.64
71, 0.4792, 85.98, 0.9024, 76.89, 94.59
72, 0.4776, 86.03, 0.9032, 76.86, 94.56
73, 0.4765, 86.09, 0.9031, 76.89, 94.60
74, 0.4751, 86.12, 0.9033, 76.97, 94.59
75, 0.4740, 86.17, 0.9007, 76.94, 94.58
76, 0.4727, 86.23, 0.9020, 76.89, 94.62
77, 0.4715, 86.25, 0.9020, 76.90, 94.60
78, 0.4703, 86.30, 0.9015, 76.85, 94.59
79, 0.4696, 86.32, 0.9009, 76.94, 94.60
80, 0.4685, 86.36, 0.9009, 77.00, 94.58
81, 0.4674, 86.41, 0.8997, 76.94, 94.61
82, 0.4673, 86.41, 0.9002, 76.88, 94.60
83, 0.4663, 86.42, 0.9008, 76.90, 94.59
84, 0.4660, 86.44, 0.9000, 76.92, 94.62
85, 0.4652, 86.47, 0.8999, 76.97, 94.60
86, 0.4645, 86.49, 0.9011, 76.96, 94.57
87, 0.4645, 86.48, 0.8993, 76.99, 94.61
88, 0.4643, 86.48, 0.8998, 76.97, 94.60
89, 0.4643, 86.51, 0.9001, 76.93, 94.58

Final Results:
Max Accuracy: 77.86%
Final Val Acc1: 76.93%
Final Val Acc5: 94.58%
Total Training Time: 1 day, 2:59:12
