Training Log
Model: ViT-B-16
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4978, 4.27, 5.3465, 19.53, 41.63
1, 3.8255, 39.98, 2.5043, 54.58, 81.18
2, 1.9445, 61.65, 1.5516, 65.77, 88.64
3, 1.3713, 69.01, 1.2582, 69.85, 90.99
4, 1.1456, 72.56, 1.1255, 72.10, 92.01
5, 1.0245, 74.71, 1.0561, 73.26, 92.67
6, 0.9475, 76.09, 1.0164, 74.07, 92.99
7, 0.8936, 77.16, 0.9927, 74.45, 93.29
8, 0.8549, 77.86, 0.9781, 74.87, 93.40
9, 0.8247, 78.43, 0.9694, 74.82, 93.46
10, 0.8004, 78.90, 0.9652, 75.07, 93.56
11, 0.7775, 79.39, 0.9611, 75.17, 93.62
12, 0.7592, 79.74, 0.9608, 75.07, 93.67
13, 0.7449, 80.06, 0.9663, 75.05, 93.68
14, 0.7323, 80.34, 0.9690, 75.03, 93.66
15, 0.7215, 80.52, 0.9724, 74.87, 93.66
16, 0.7117, 80.73, 0.9783, 74.92, 93.60
17, 0.7040, 80.90, 0.9828, 74.89, 93.64
18, 0.6969, 81.02, 0.9770, 75.05, 93.71
19, 0.6903, 81.15, 0.9883, 74.85, 93.57
20, 0.6852, 81.26, 0.9970, 74.90, 93.58
21, 0.6792, 81.42, 0.9983, 74.75, 93.52
22, 0.6743, 81.50, 1.0049, 74.71, 93.42
23, 0.6706, 81.56, 1.0019, 74.93, 93.60
24, 0.6653, 81.70, 1.0124, 74.76, 93.53
25, 0.6621, 81.73, 1.0152, 74.63, 93.53
26, 0.6576, 81.85, 1.0180, 74.61, 93.51
27, 0.6544, 81.92, 1.0225, 74.67, 93.42
28, 0.6507, 82.00, 1.0257, 74.68, 93.53
29, 0.6472, 82.09, 1.0279, 74.76, 93.49
30, 0.6436, 82.17, 1.0351, 74.51, 93.43
31, 0.6404, 82.20, 1.0346, 74.68, 93.30
32, 0.6379, 82.30, 1.0425, 74.43, 93.41
33, 0.6337, 82.38, 1.0423, 74.60, 93.37
34, 0.6307, 82.45, 1.0477, 74.54, 93.33
35, 0.6268, 82.55, 1.0474, 74.44, 93.35
36, 0.6240, 82.62, 1.0554, 74.30, 93.28
37, 0.6210, 82.67, 1.0523, 74.66, 93.34
38, 0.6174, 82.74, 1.0572, 74.48, 93.32
39, 0.6141, 82.84, 1.0554, 74.48, 93.23
40, 0.6112, 82.93, 1.0570, 74.30, 93.35
