Training Log
Model: vit_base_patch16
Model Details: vit_base_patch16_224.dino
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4389, 4.34, 5.2500, 17.42, 37.82
1, 4.0174, 34.03, 2.8083, 49.83, 75.00
2, 2.3403, 55.11, 1.7980, 61.85, 84.14
3, 1.7202, 63.20, 1.4358, 67.07, 87.70
4, 1.4286, 67.87, 1.2169, 70.77, 90.08
5, 1.2184, 71.61, 1.0713, 73.53, 91.69
6, 1.0830, 74.10, 0.9821, 75.24, 92.63
7, 1.0010, 75.60, 0.9385, 76.04, 93.09
8, 0.9506, 76.53, 0.9128, 76.47, 93.44
9, 0.9195, 77.10, 0.8975, 76.77, 93.63
10, 0.8922, 77.68, 0.8922, 76.93, 93.72
11, 0.8723, 78.09, 0.8875, 77.09, 93.70
12, 0.8524, 78.55, 0.8851, 77.11, 93.82
13, 0.8364, 78.80, 0.8781, 77.38, 93.82
14, 0.8223, 79.10, 0.8819, 77.29, 93.80
15, 0.8102, 79.37, 0.8845, 77.29, 93.78
16, 0.8005, 79.58, 0.8890, 77.19, 93.76
17, 0.7901, 79.81, 0.8897, 77.10, 93.70
18, 0.7822, 80.01, 0.8857, 77.39, 93.75
19, 0.7741, 80.16, 0.8935, 77.11, 93.72
20, 0.7688, 80.25, 0.8957, 77.19, 93.74
21, 0.7606, 80.44, 0.8944, 76.99, 93.75
22, 0.7538, 80.59, 0.9048, 76.98, 93.65
23, 0.7490, 80.68, 0.9040, 77.08, 93.73
24, 0.7431, 80.82, 0.9066, 76.97, 93.63
25, 0.7368, 80.94, 0.9130, 77.08, 93.59
26, 0.7321, 81.06, 0.9145, 77.03, 93.62
27, 0.7251, 81.22, 0.9194, 76.98, 93.56
28, 0.7236, 81.25, 0.9224, 76.69, 93.57
29, 0.7186, 81.35, 0.9235, 76.70, 93.61
30, 0.7142, 81.47, 0.9266, 76.95, 93.49
31, 0.7100, 81.57, 0.9284, 76.91, 93.45
32, 0.7053, 81.68, 0.9289, 76.78, 93.49
33, 0.7003, 81.77, 0.9306, 76.76, 93.48
34, 0.6956, 81.93, 0.9310, 76.61, 93.53
35, 0.6914, 81.99, 0.9316, 76.71, 93.56
36, 0.6893, 82.06, 0.9321, 76.83, 93.58
37, 0.6845, 82.18, 0.9388, 76.69, 93.38
38, 0.6801, 82.28, 0.9352, 76.81, 93.51
39, 0.6761, 82.40, 0.9364, 76.84, 93.47
40, 0.6724, 82.47, 0.9359, 76.81, 93.52
41, 0.6689, 82.57, 0.9382, 76.86, 93.39
42, 0.6636, 82.67, 0.9452, 76.73, 93.44
43, 0.6590, 82.79, 0.9433, 76.66, 93.40
44, 0.6574, 82.86, 0.9430, 76.88, 93.41
45, 0.6528, 82.98, 0.9392, 76.86, 93.52
46, 0.6479, 83.08, 0.9463, 76.78, 93.36
47, 0.6456, 83.16, 0.9458, 76.80, 93.41
48, 0.6395, 83.30, 0.9464, 76.59, 93.41
49, 0.6372, 83.36, 0.9395, 76.92, 93.40
50, 0.6322, 83.47, 0.9418, 76.91, 93.47
51, 0.6275, 83.63, 0.9439, 76.92, 93.39
52, 0.6251, 83.70, 0.9431, 76.84, 93.46
53, 0.6219, 83.79, 0.9417, 76.76, 93.45
54, 0.6167, 83.90, 0.9432, 76.86, 93.41
55, 0.6130, 83.98, 0.9453, 76.83, 93.41
56, 0.6103, 84.13, 0.9421, 76.96, 93.44
