Training Log
Model: vit_base_patch16
Model Details: vit_base_patch16_224.dino
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4566, 7.31, 5.1674, 33.49, 54.46
1, 3.5215, 54.02, 2.0847, 66.33, 87.48
2, 1.6303, 69.40, 1.2807, 72.37, 91.04
3, 1.2239, 73.08, 1.0856, 74.61, 92.15
4, 1.0889, 74.84, 1.0040, 75.75, 92.82
5, 1.0172, 75.97, 0.9585, 76.48, 93.10
6, 0.9709, 76.71, 0.9313, 76.79, 93.37
7, 0.9403, 77.21, 0.9176, 76.93, 93.48
8, 0.9143, 77.61, 0.9081, 77.04, 93.56
9, 0.9003, 77.80, 0.9003, 77.18, 93.66
10, 0.8875, 78.03, 0.9032, 77.18, 93.58
11, 0.8720, 78.29, 0.9011, 77.19, 93.63
12, 0.8649, 78.41, 0.9044, 77.00, 93.61
13, 0.8575, 78.55, 0.9022, 77.08, 93.62
14, 0.8506, 78.67, 0.9063, 77.13, 93.58
15, 0.8475, 78.74, 0.9075, 76.95, 93.53
16, 0.8413, 78.83, 0.9122, 76.82, 93.51
17, 0.8404, 78.83, 0.9136, 76.90, 93.44
18, 0.8347, 78.94, 0.9134, 76.88, 93.55
19, 0.8342, 78.96, 0.9180, 76.83, 93.49
20, 0.8312, 79.02, 0.9213, 76.76, 93.39
21, 0.8282, 79.05, 0.9186, 76.81, 93.52
22, 0.8280, 79.04, 0.9270, 76.58, 93.42
23, 0.8279, 79.04, 0.9287, 76.53, 93.38
24, 0.8244, 79.14, 0.9313, 76.36, 93.34
25, 0.8214, 79.17, 0.9330, 76.49, 93.37
26, 0.8207, 79.19, 0.9328, 76.53, 93.36
27, 0.8199, 79.21, 0.9383, 76.60, 93.34
28, 0.8197, 79.23, 0.9364, 76.43, 93.33
29, 0.8175, 79.28, 0.9395, 76.30, 93.33
30, 0.8151, 79.30, 0.9367, 76.48, 93.36
31, 0.8131, 79.35, 0.9379, 76.48, 93.22
32, 0.8118, 79.40, 0.9364, 76.59, 93.29
33, 0.8119, 79.39, 0.9376, 76.47, 93.29
34, 0.8089, 79.46, 0.9371, 76.56, 93.31
35, 0.8078, 79.44, 0.9371, 76.33, 93.30
36, 0.8072, 79.46, 0.9404, 76.36, 93.30
37, 0.8045, 79.53, 0.9396, 76.58, 93.29
38, 0.8034, 79.57, 0.9416, 76.37, 93.25
39, 0.8009, 79.63, 0.9393, 76.55, 93.23
40, 0.8003, 79.60, 0.9400, 76.46, 93.18
41, 0.7985, 79.71, 0.9415, 76.30, 93.27
42, 0.7967, 79.71, 0.9409, 76.46, 93.26
43, 0.7930, 79.77, 0.9408, 76.52, 93.27
44, 0.7935, 79.79, 0.9396, 76.41, 93.25
45, 0.7910, 79.87, 0.9425, 76.41, 93.24
46, 0.7891, 79.90, 0.9352, 76.40, 93.20
47, 0.7859, 79.99, 0.9354, 76.55, 93.26
48, 0.7853, 79.96, 0.9365, 76.57, 93.23
49, 0.7824, 80.07, 0.9323, 76.68, 93.28
50, 0.7806, 80.10, 0.9331, 76.70, 93.30
51, 0.7774, 80.14, 0.9310, 76.64, 93.27
52, 0.7767, 80.17, 0.9308, 76.72, 93.23
53, 0.7755, 80.22, 0.9275, 76.70, 93.31
54, 0.7729, 80.29, 0.9297, 76.74, 93.31
55, 0.7705, 80.32, 0.9292, 76.53, 93.36
56, 0.7686, 80.36, 0.9278, 76.73, 93.35
57, 0.7689, 80.38, 0.9294, 76.65, 93.35
58, 0.7661, 80.44, 0.9282, 76.72, 93.29
59, 0.7646, 80.51, 0.9257, 76.77, 93.34
60, 0.7620, 80.57, 0.9260, 76.61, 93.33
61, 0.7595, 80.63, 0.9240, 76.75, 93.35
62, 0.7581, 80.65, 0.9253, 76.72, 93.31
63, 0.7570, 80.68, 0.9208, 76.82, 93.34
64, 0.7544, 80.74, 0.9184, 76.86, 93.35
65, 0.7510, 80.82, 0.9203, 76.74, 93.40
66, 0.7518, 80.82, 0.9184, 76.89, 93.34
67, 0.7501, 80.84, 0.9182, 76.80, 93.38
68, 0.7501, 80.86, 0.9160, 76.91, 93.35
69, 0.7463, 80.96, 0.9176, 76.86, 93.33
70, 0.7469, 80.94, 0.9152, 76.97, 93.36
71, 0.7468, 80.98, 0.9138, 76.99, 93.38
72, 0.7427, 81.08, 0.9154, 76.96, 93.41
73, 0.7415, 81.08, 0.9131, 76.93, 93.38
74, 0.7416, 81.13, 0.9134, 76.96, 93.40
75, 0.7404, 81.14, 0.9127, 77.01, 93.41
76, 0.7403, 81.18, 0.9122, 76.89, 93.41
77, 0.7383, 81.20, 0.9123, 76.96, 93.41
78, 0.7370, 81.26, 0.9132, 76.98, 93.43
79, 0.7348, 81.30, 0.9107, 77.00, 93.43
80, 0.7360, 81.28, 0.9113, 76.97, 93.40
81, 0.7353, 81.27, 0.9112, 77.01, 93.37
82, 0.7334, 81.34, 0.9116, 77.00, 93.38
83, 0.7330, 81.38, 0.9105, 77.02, 93.42
84, 0.7337, 81.36, 0.9112, 76.96, 93.42
85, 0.7338, 81.35, 0.9103, 77.01, 93.41
86, 0.7315, 81.40, 0.9110, 76.99, 93.43
87, 0.7304, 81.39, 0.9096, 77.00, 93.41
88, 0.7335, 81.35, 0.9102, 77.07, 93.45
89, 0.7305, 81.41, 0.9113, 77.03, 93.41

Final Results:
Max Accuracy: 77.19%
Final Val Acc1: 77.03%
Final Val Acc5: 93.41%
Total Training Time: 17:13:46
