Training Log
Model: dinov2_vitl14
Model Details: 
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.7441, 17.35, 3.4759, 51.75, 78.02
1, 2.0044, 66.31, 1.1133, 75.99, 94.17
2, 0.9913, 77.51, 0.7620, 80.83, 95.99
3, 0.7809, 80.83, 0.6539, 82.94, 96.74
4, 0.6956, 82.47, 0.6046, 83.86, 97.13
5, 0.6530, 83.34, 0.5795, 84.24, 97.30
6, 0.6262, 83.83, 0.5680, 84.51, 97.40
7, 0.6049, 84.29, 0.5567, 84.75, 97.47
8, 0.5917, 84.54, 0.5502, 84.84, 97.59
9, 0.5774, 84.82, 0.5476, 84.90, 97.62
10, 0.5646, 85.09, 0.5434, 84.97, 97.60
11, 0.5460, 85.50, 0.5344, 85.26, 97.69
12, 0.5306, 85.84, 0.5291, 85.30, 97.69
13, 0.5175, 86.16, 0.5279, 85.45, 97.80
14, 0.5056, 86.41, 0.5346, 85.23, 97.77
15, 0.4931, 86.74, 0.5309, 85.56, 97.78
16, 0.4831, 86.99, 0.5376, 85.25, 97.77
17, 0.4731, 87.19, 0.5431, 85.15, 97.65
18, 0.4648, 87.44, 0.5414, 85.36, 97.72
19, 0.4562, 87.63, 0.5489, 85.20, 97.69
20, 0.4484, 87.82, 0.5530, 85.23, 97.60
21, 0.4396, 88.02, 0.5605, 84.85, 97.62
22, 0.4337, 88.20, 0.5695, 84.86, 97.53
23, 0.4275, 88.35, 0.5638, 85.09, 97.54
24, 0.4215, 88.50, 0.5741, 84.91, 97.50
25, 0.4172, 88.62, 0.5783, 84.91, 97.48
26, 0.4105, 88.77, 0.5821, 84.75, 97.40
27, 0.4069, 88.89, 0.5984, 84.43, 97.36
28, 0.4011, 89.06, 0.6009, 84.43, 97.39
29, 0.3958, 89.18, 0.5978, 84.62, 97.35
30, 0.3921, 89.31, 0.6050, 84.51, 97.26
31, 0.3858, 89.44, 0.6119, 84.69, 97.29
32, 0.3834, 89.53, 0.6120, 84.55, 97.25
33, 0.3789, 89.65, 0.6153, 84.58, 97.30
34, 0.3734, 89.79, 0.6222, 84.50, 97.24
35, 0.3714, 89.86, 0.6208, 84.40, 97.29
36, 0.3663, 90.04, 0.6298, 84.29, 97.26
37, 0.3604, 90.17, 0.6294, 84.43, 97.21
38, 0.3600, 90.23, 0.6295, 84.46, 97.26
39, 0.3538, 90.38, 0.6348, 84.42, 97.16
40, 0.3507, 90.46, 0.6323, 84.38, 97.23
41, 0.3466, 90.57, 0.6408, 84.38, 97.12
42, 0.3435, 90.65, 0.6393, 84.21, 97.21
43, 0.3396, 90.81, 0.6396, 84.23, 97.22
44, 0.3347, 90.91, 0.6422, 84.22, 97.17
