Training Log
Model: dinov2_vitl14
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3008, 13.84, 4.6911, 56.02, 70.69
1, 2.6375, 71.20, 1.1758, 79.14, 94.55
2, 0.9692, 80.22, 0.7664, 82.39, 96.18
3, 0.7636, 82.32, 0.6718, 83.61, 96.63
4, 0.6858, 83.43, 0.6262, 84.33, 96.87
5, 0.6380, 84.17, 0.6003, 84.75, 96.99
6, 0.6048, 84.71, 0.5820, 84.90, 97.08
7, 0.5793, 85.17, 0.5739, 84.98, 97.13
8, 0.5599, 85.50, 0.5673, 85.04, 97.22
9, 0.5442, 85.72, 0.5646, 85.09, 97.15
10, 0.5306, 85.97, 0.5634, 85.24, 97.26
11, 0.5195, 86.19, 0.5636, 85.25, 97.18
12, 0.5109, 86.35, 0.5658, 85.09, 97.19
13, 0.5019, 86.55, 0.5658, 85.20, 97.23
14, 0.4952, 86.68, 0.5715, 85.07, 97.19
15, 0.4918, 86.74, 0.5689, 85.25, 97.17
16, 0.4850, 86.90, 0.5731, 85.05, 97.14
17, 0.4807, 86.96, 0.5818, 84.95, 97.07
18, 0.4789, 87.01, 0.5789, 85.04, 97.12
19, 0.4760, 87.06, 0.5840, 84.98, 97.03
20, 0.4726, 87.15, 0.5877, 84.84, 97.07
21, 0.4710, 87.20, 0.5886, 84.89, 96.98
22, 0.4697, 87.22, 0.5933, 84.63, 96.95
23, 0.4667, 87.28, 0.5957, 84.86, 97.00
24, 0.4644, 87.32, 0.6027, 84.67, 96.92
25, 0.4640, 87.35, 0.6019, 84.75, 96.89
26, 0.4616, 87.42, 0.6010, 84.84, 96.89
27, 0.4595, 87.45, 0.6050, 84.73, 96.88
28, 0.4581, 87.50, 0.6078, 84.64, 96.83
29, 0.4571, 87.53, 0.6111, 84.79, 96.84
30, 0.4560, 87.55, 0.6115, 84.57, 96.82
31, 0.4545, 87.57, 0.6148, 84.61, 96.81
32, 0.4533, 87.61, 0.6149, 84.63, 96.80
33, 0.4507, 87.66, 0.6137, 84.75, 96.77
34, 0.4500, 87.72, 0.6119, 84.82, 96.77
35, 0.4485, 87.75, 0.6170, 84.63, 96.72
36, 0.4478, 87.81, 0.6218, 84.66, 96.72
37, 0.4448, 87.84, 0.6221, 84.60, 96.76
38, 0.4439, 87.85, 0.6192, 84.69, 96.75
39, 0.4423, 87.91, 0.6175, 84.79, 96.74
40, 0.4415, 87.95, 0.6214, 84.60, 96.76
41, 0.4407, 87.98, 0.6208, 84.58, 96.82
42, 0.4400, 87.99, 0.6256, 84.56, 96.79
43, 0.4358, 88.08, 0.6194, 84.63, 96.71
44, 0.4361, 88.07, 0.6216, 84.59, 96.74
45, 0.4354, 88.09, 0.6243, 84.60, 96.71
46, 0.4320, 88.16, 0.6218, 84.62, 96.75
47, 0.4293, 88.21, 0.6210, 84.63, 96.73
48, 0.4270, 88.31, 0.6218, 84.62, 96.79
49, 0.4271, 88.31, 0.6183, 84.62, 96.73
50, 0.4244, 88.38, 0.6199, 84.54, 96.81
51, 0.4241, 88.42, 0.6190, 84.55, 96.73
52, 0.4210, 88.49, 0.6179, 84.66, 96.74
53, 0.4199, 88.51, 0.6168, 84.72, 96.75
54, 0.4179, 88.55, 0.6199, 84.67, 96.73
55, 0.4172, 88.58, 0.6190, 84.47, 96.71
56, 0.4132, 88.68, 0.6147, 84.81, 96.79
57, 0.4139, 88.67, 0.6146, 84.69, 96.82
58, 0.4101, 88.77, 0.6165, 84.70, 96.78
59, 0.4105, 88.77, 0.6158, 84.82, 96.75
60, 0.4092, 88.81, 0.6137, 84.83, 96.74
61, 0.4059, 88.87, 0.6126, 84.79, 96.71
62, 0.4046, 88.95, 0.6117, 84.74, 96.73
63, 0.4046, 88.94, 0.6085, 84.87, 96.76
64, 0.4024, 89.00, 0.6083, 84.94, 96.76
65, 0.3989, 89.08, 0.6107, 84.80, 96.76
66, 0.3988, 89.08, 0.6077, 84.85, 96.75
67, 0.3990, 89.14, 0.6082, 84.77, 96.76
68, 0.3967, 89.17, 0.6054, 84.91, 96.79
69, 0.3949, 89.20, 0.6072, 84.94, 96.78
70, 0.3960, 89.22, 0.6046, 84.90, 96.82
71, 0.3929, 89.28, 0.6041, 84.95, 96.77
72, 0.3927, 89.32, 0.6043, 84.88, 96.78
73, 0.3898, 89.37, 0.6039, 84.90, 96.83
74, 0.3880, 89.41, 0.6040, 84.98, 96.82
75, 0.3894, 89.41, 0.6015, 84.98, 96.80
76, 0.3895, 89.44, 0.6018, 85.02, 96.81
77, 0.3855, 89.50, 0.6014, 84.94, 96.82
78, 0.3864, 89.48, 0.6014, 85.02, 96.81
79, 0.3868, 89.51, 0.6006, 85.02, 96.82
80, 0.3833, 89.57, 0.6004, 85.01, 96.81
81, 0.3852, 89.54, 0.5999, 85.06, 96.80
82, 0.3826, 89.60, 0.6003, 85.05, 96.80
83, 0.3826, 89.59, 0.6000, 85.05, 96.80
84, 0.3820, 89.61, 0.6006, 85.01, 96.82
85, 0.3824, 89.62, 0.5999, 85.05, 96.82
86, 0.3811, 89.65, 0.5999, 85.07, 96.82
87, 0.3814, 89.61, 0.5998, 85.08, 96.82
88, 0.3822, 89.64, 0.5998, 85.08, 96.82
89, 0.3822, 89.63, 0.5997, 85.06, 96.83

Final Results:
Max Accuracy: 85.25%
Final Val Acc1: 85.06%
Final Val Acc5: 96.83%
Total Training Time: 15:58:48
