Training Log
Model: DiT-XL/2
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,627,560
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.7194, 0.97, 6.2877, 2.97, 8.73
1, 5.7695, 6.73, 5.2457, 11.15, 25.46
2, 4.8382, 15.42, 4.3515, 20.18, 40.73
3, 4.1706, 23.15, 3.7921, 27.05, 49.56
4, 3.7428, 28.71, 3.4148, 32.17, 55.61
5, 3.4483, 33.01, 3.1531, 36.44, 59.99
6, 3.2246, 36.47, 2.9637, 39.24, 63.09
7, 3.0495, 39.23, 2.8072, 41.89, 65.41
8, 2.9203, 41.39, 2.7259, 43.32, 66.92
9, 2.8177, 43.17, 2.6269, 45.23, 68.38
10, 2.7342, 44.60, 2.5561, 46.21, 69.65
11, 2.6674, 45.72, 2.4859, 47.61, 70.56
12, 2.6131, 46.66, 2.4786, 47.75, 70.82
13, 2.5692, 47.45, 2.4166, 48.54, 71.76
14, 2.5323, 48.13, 2.3870, 49.42, 72.21
15, 2.4987, 48.68, 2.3843, 49.25, 72.33
16, 2.4737, 49.11, 2.3645, 49.73, 72.76
17, 2.4525, 49.52, 2.3461, 50.36, 72.96
18, 2.4343, 49.81, 2.3495, 50.05, 73.01
19, 2.4120, 50.20, 2.3259, 50.61, 73.38
20, 2.3996, 50.46, 2.3094, 50.82, 73.63
21, 2.3836, 50.71, 2.2982, 51.01, 73.86
22, 2.3723, 50.95, 2.2988, 51.05, 74.03
23, 2.3606, 51.14, 2.2847, 51.28, 74.04
24, 2.3462, 51.40, 2.2676, 51.63, 74.33
25, 2.3371, 51.61, 2.2835, 51.39, 74.07
26, 2.3252, 51.78, 2.2710, 51.42, 74.40
27, 2.3146, 51.98, 2.2762, 51.55, 74.25
28, 2.3054, 52.15, 2.2436, 52.33, 74.70
29, 2.2965, 52.30, 2.2462, 51.97, 74.65
30, 2.2853, 52.45, 2.2399, 52.08, 74.78
31, 2.2774, 52.69, 2.2438, 52.13, 74.55
32, 2.2689, 52.77, 2.2299, 52.39, 75.00
33, 2.2643, 52.84, 2.2218, 52.51, 75.01
34, 2.2500, 53.08, 2.2291, 52.59, 75.06
35, 2.2447, 53.25, 2.2219, 52.63, 75.15
36, 2.2378, 53.34, 2.1952, 52.95, 75.51
37, 2.2248, 53.58, 2.2077, 53.24, 75.41
38, 2.2173, 53.73, 2.1978, 53.03, 75.50
39, 2.2085, 53.86, 2.1760, 53.35, 75.77
40, 2.1988, 54.08, 2.1778, 53.12, 75.77
41, 2.1926, 54.15, 2.1686, 53.59, 75.94
42, 2.1819, 54.37, 2.1783, 53.54, 75.90
43, 2.1757, 54.50, 2.1590, 53.75, 76.18
44, 2.1636, 54.68, 2.1475, 54.01, 76.35
45, 2.1572, 54.84, 2.1459, 54.10, 76.24
46, 2.1489, 55.00, 2.1414, 53.89, 76.23
47, 2.1396, 55.17, 2.1289, 54.25, 76.53
48, 2.1320, 55.30, 2.1305, 54.20, 76.40
49, 2.1229, 55.43, 2.1208, 54.35, 76.70
50, 2.1146, 55.63, 2.1165, 54.52, 76.57
51, 2.1056, 55.80, 2.1149, 54.42, 76.68
52, 2.0957, 55.95, 2.1036, 54.77, 76.87
53, 2.0894, 56.09, 2.1052, 54.67, 76.90
54, 2.0805, 56.28, 2.0957, 54.96, 77.04
55, 2.0749, 56.37, 2.1106, 54.72, 76.73
56, 2.0636, 56.57, 2.0795, 55.28, 77.26
57, 2.0580, 56.74, 2.0761, 55.44, 77.24
58, 2.0502, 56.93, 2.0763, 55.16, 77.33
59, 2.0421, 57.02, 2.0625, 55.39, 77.60
60, 2.0342, 57.14, 2.0674, 55.35, 77.41
61, 2.0281, 57.31, 2.0642, 55.50, 77.44
62, 2.0202, 57.42, 2.0534, 55.75, 77.63
63, 2.0106, 57.64, 2.0512, 55.74, 77.59
64, 2.0046, 57.74, 2.0350, 55.99, 77.77
65, 1.9984, 57.91, 2.0370, 56.04, 77.81
66, 1.9900, 58.03, 2.0317, 56.12, 77.94
67, 1.9832, 58.13, 2.0301, 56.12, 77.87
68, 1.9766, 58.30, 2.0284, 56.23, 77.87
69, 1.9708, 58.40, 2.0217, 56.49, 78.09
70, 1.9682, 58.47, 2.0150, 56.45, 78.13
71, 1.9624, 58.62, 2.0120, 56.58, 78.21
72, 1.9566, 58.73, 2.0121, 56.49, 78.17
73, 1.9510, 58.83, 2.0055, 56.58, 78.30
74, 1.9459, 58.97, 2.0017, 56.68, 78.34
75, 1.9424, 58.94, 2.0018, 56.63, 78.31
76, 1.9342, 59.14, 1.9988, 56.75, 78.41
77, 1.9329, 59.21, 1.9984, 56.71, 78.44
78, 1.9289, 59.30, 1.9959, 56.88, 78.43
79, 1.9266, 59.35, 1.9937, 56.87, 78.45
80, 1.9236, 59.39, 1.9923, 56.87, 78.52
81, 1.9199, 59.43, 1.9901, 56.89, 78.45
82, 1.9158, 59.54, 1.9911, 56.90, 78.46
83, 1.9166, 59.51, 1.9899, 56.87, 78.53
84, 1.9125, 59.63, 1.9888, 56.93, 78.53
85, 1.9120, 59.62, 1.9885, 57.00, 78.58
86, 1.9092, 59.69, 1.9879, 56.94, 78.54
[early-stop] manually stopped after inspecting the curve (best 57.00%); stopping at epoch 86 of 90

Final Results:
Max Accuracy: 57.00%
Final Val Acc1: 56.94%
Final Val Acc5: 78.54%
Total Training Time: n/a (manually stopped)
