Training Log
Model: DiT-XL/2
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,153,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.8540, 0.54, 6.5706, 1.67, 5.27
1, 6.3257, 3.30, 6.1125, 5.34, 13.87
2, 5.8857, 6.89, 5.7070, 8.39, 19.96
3, 5.5312, 9.82, 5.3970, 11.05, 24.45
4, 5.2529, 12.20, 5.1494, 13.11, 27.94
5, 5.0328, 14.13, 4.9377, 14.86, 30.88
6, 4.8510, 15.91, 4.7703, 16.30, 33.40
7, 4.6987, 17.43, 4.6157, 17.97, 35.71
8, 4.5710, 18.77, 4.4946, 19.23, 37.67
9, 4.4641, 19.92, 4.3880, 20.27, 39.09
10, 4.3699, 21.02, 4.2918, 21.34, 40.64
11, 4.2948, 21.88, 4.2145, 22.18, 42.13
12, 4.2277, 22.71, 4.1590, 22.81, 42.67
13, 4.1737, 23.36, 4.0974, 23.65, 43.89
14, 4.1291, 23.99, 4.0593, 24.18, 44.48
15, 4.0899, 24.44, 4.0199, 24.36, 45.44
16, 4.0549, 24.89, 3.9952, 24.96, 45.69
17, 4.0244, 25.27, 3.9679, 25.35, 46.13
18, 3.9989, 25.66, 3.9398, 25.43, 46.49
19, 3.9723, 25.98, 3.9174, 25.84, 46.91
20, 3.9526, 26.22, 3.8884, 26.33, 47.41
21, 3.9321, 26.60, 3.8654, 26.59, 47.70
22, 3.9166, 26.74, 3.8461, 26.92, 47.96
23, 3.9013, 26.97, 3.8394, 27.05, 48.27
24, 3.8834, 27.22, 3.8131, 27.33, 48.62
25, 3.8698, 27.42, 3.8081, 27.37, 48.65
26, 3.8610, 27.59, 3.8108, 27.42, 48.76
27, 3.8461, 27.72, 3.7837, 27.77, 49.07
28, 3.8360, 27.92, 3.7667, 27.91, 49.39
29, 3.8247, 28.08, 3.7626, 28.10, 49.53
30, 3.8114, 28.29, 3.7650, 28.04, 49.44
31, 3.8053, 28.32, 3.7545, 28.12, 49.97
32, 3.7949, 28.52, 3.7343, 28.47, 49.97
33, 3.7860, 28.62, 3.7281, 28.68, 50.21
34, 3.7764, 28.75, 3.7164, 28.62, 50.15
35, 3.7668, 28.88, 3.7145, 28.62, 50.54
36, 3.7604, 29.04, 3.7102, 28.91, 50.61
37, 3.7506, 29.14, 3.6953, 28.94, 50.68
38, 3.7404, 29.31, 3.6876, 28.99, 50.68
39, 3.7345, 29.37, 3.6829, 29.31, 50.99
40, 3.7222, 29.58, 3.6763, 29.29, 50.94
41, 3.7173, 29.62, 3.6629, 29.54, 51.19
42, 3.7093, 29.75, 3.6661, 29.35, 51.12
43, 3.7007, 29.80, 3.6525, 29.48, 51.47
44, 3.6890, 30.03, 3.6422, 29.88, 51.44
45, 3.6863, 30.05, 3.6411, 29.79, 51.46
46, 3.6747, 30.25, 3.6276, 30.10, 51.89
47, 3.6686, 30.33, 3.6245, 29.97, 51.93
48, 3.6610, 30.44, 3.6197, 29.96, 51.79
49, 3.6505, 30.55, 3.6136, 30.10, 52.05
50, 3.6441, 30.67, 3.6048, 30.20, 52.04
51, 3.6371, 30.81, 3.6011, 30.16, 52.33
52, 3.6284, 30.88, 3.5899, 30.43, 52.30
53, 3.6224, 30.98, 3.5819, 30.54, 52.51
54, 3.6139, 31.11, 3.5767, 30.65, 52.51
55, 3.6062, 31.21, 3.5729, 30.95, 52.67
56, 3.5990, 31.32, 3.5693, 30.86, 52.72
57, 3.5910, 31.44, 3.5557, 30.96, 53.00
58, 3.5850, 31.50, 3.5515, 31.25, 53.03
59, 3.5791, 31.63, 3.5428, 31.23, 53.17
60, 3.5706, 31.74, 3.5446, 31.14, 53.25
61, 3.5642, 31.83, 3.5388, 31.29, 53.25
62, 3.5539, 31.97, 3.5326, 31.42, 53.36
63, 3.5501, 32.13, 3.5235, 31.60, 53.46
64, 3.5451, 32.14, 3.5172, 31.71, 53.52
65, 3.5358, 32.30, 3.5140, 31.63, 53.76
66, 3.5287, 32.39, 3.5122, 31.56, 53.72
67, 3.5251, 32.44, 3.5052, 31.71, 53.81
68, 3.5188, 32.58, 3.5016, 31.82, 53.96
69, 3.5133, 32.60, 3.4992, 31.98, 53.99
70, 3.5077, 32.71, 3.4887, 32.12, 54.15
71, 3.5039, 32.84, 3.4885, 32.00, 54.20
72, 3.4962, 32.95, 3.4852, 32.24, 54.10
73, 3.4930, 33.01, 3.4793, 32.30, 54.27
74, 3.4892, 33.08, 3.4787, 32.22, 54.34
75, 3.4851, 33.12, 3.4735, 32.38, 54.37
76, 3.4799, 33.20, 3.4728, 32.35, 54.52
77, 3.4770, 33.26, 3.4671, 32.51, 54.41
78, 3.4726, 33.39, 3.4641, 32.45, 54.67
79, 3.4718, 33.43, 3.4630, 32.45, 54.57
80, 3.4678, 33.48, 3.4641, 32.48, 54.58
81, 3.4643, 33.50, 3.4607, 32.64, 54.83
82, 3.4636, 33.55, 3.4579, 32.57, 54.72
83, 3.4609, 33.61, 3.4595, 32.57, 54.71
84, 3.4606, 33.60, 3.4574, 32.61, 54.72
85, 3.4554, 33.66, 3.4603, 32.58, 54.72
86, 3.4560, 33.69, 3.4578, 32.60, 54.71
