Training Log
Model: eva02_large_patch14_224.mim_in22k
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.7269, 19.77, 3.0864, 60.78, 84.16
1, 1.9099, 68.43, 0.9212, 78.49, 94.64
2, 1.1012, 75.20, 0.7161, 81.19, 95.97
3, 0.9688, 77.11, 0.6639, 82.14, 96.45
4, 0.9124, 78.11, 0.6384, 82.53, 96.70
5, 0.8789, 78.68, 0.6249, 82.79, 96.83
6, 0.8560, 79.09, 0.6154, 83.10, 96.84
7, 0.8399, 79.41, 0.6148, 83.00, 96.93
8, 0.8248, 79.66, 0.6116, 83.08, 96.97
9, 0.8152, 79.85, 0.6116, 83.11, 97.00
10, 0.8057, 80.04, 0.6087, 83.29, 96.98
11, 0.7942, 80.29, 0.6113, 83.25, 96.88
12, 0.7798, 80.58, 0.6051, 83.43, 96.97
13, 0.7676, 80.86, 0.6046, 83.41, 96.96
14, 0.7590, 81.03, 0.6109, 83.40, 96.95
15, 0.7469, 81.25, 0.6009, 83.58, 96.97
16, 0.7363, 81.56, 0.6086, 83.37, 96.97
17, 0.7265, 81.75, 0.6110, 83.37, 96.92
18, 0.7200, 81.94, 0.6081, 83.45, 97.00
19, 0.7127, 82.08, 0.6134, 83.41, 96.88
20, 0.7039, 82.31, 0.6223, 83.17, 96.85
21, 0.7002, 82.37, 0.6159, 83.33, 96.93
22, 0.6912, 82.57, 0.6246, 83.13, 96.80
23, 0.6856, 82.73, 0.6229, 83.30, 96.89
24, 0.6789, 82.90, 0.6279, 83.05, 96.86
25, 0.6758, 82.96, 0.6343, 83.19, 96.88
26, 0.6673, 83.15, 0.6374, 83.01, 96.75
27, 0.6628, 83.26, 0.6415, 83.15, 96.73
28, 0.6582, 83.38, 0.6478, 82.81, 96.76
29, 0.6523, 83.50, 0.6465, 83.07, 96.73
30, 0.6493, 83.59, 0.6488, 82.92, 96.70
