Training Log
Model: eva02_large_patch14_224.mim_in22k
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3800, 7.85, 4.8863, 35.92, 60.53
1, 3.2073, 56.14, 1.5689, 72.10, 90.73
2, 1.4619, 71.21, 0.9482, 77.54, 94.01
3, 1.1621, 74.32, 0.8148, 79.43, 94.92
4, 1.0619, 75.70, 0.7587, 80.43, 95.46
5, 1.0043, 76.61, 0.7286, 80.83, 95.70
6, 0.9718, 77.18, 0.7104, 81.25, 95.79
7, 0.9463, 77.63, 0.6997, 81.45, 95.96
8, 0.9287, 77.91, 0.6930, 81.56, 96.03
9, 0.9124, 78.22, 0.6883, 81.62, 96.02
10, 0.9010, 78.36, 0.6867, 81.74, 96.08
11, 0.8895, 78.62, 0.6815, 81.84, 96.16
12, 0.8790, 78.80, 0.6794, 81.87, 96.19
13, 0.8739, 78.94, 0.6755, 81.91, 96.12
14, 0.8635, 79.09, 0.6803, 81.77, 96.21
15, 0.8570, 79.20, 0.6779, 81.88, 96.13
16, 0.8519, 79.35, 0.6785, 81.82, 96.15
17, 0.8498, 79.38, 0.6824, 81.73, 96.13
18, 0.8435, 79.44, 0.6762, 81.83, 96.17
19, 0.8403, 79.55, 0.6776, 81.83, 96.17
20, 0.8365, 79.61, 0.6791, 81.90, 96.18
21, 0.8354, 79.63, 0.6783, 81.89, 96.23
22, 0.8317, 79.73, 0.6833, 81.73, 96.20
23, 0.8305, 79.73, 0.6807, 81.81, 96.16
24, 0.8282, 79.78, 0.6825, 81.87, 96.18
25, 0.8261, 79.84, 0.6852, 81.76, 96.15
26, 0.8210, 79.91, 0.6836, 81.72, 96.18
27, 0.8195, 79.96, 0.6818, 81.78, 96.11
28, 0.8176, 80.00, 0.6878, 81.70, 96.12
29, 0.8147, 80.07, 0.6868, 81.69, 96.24
30, 0.8117, 80.08, 0.6820, 81.78, 96.22
31, 0.8106, 80.11, 0.6840, 81.93, 96.19
32, 0.8075, 80.19, 0.6837, 81.76, 96.21
33, 0.8076, 80.19, 0.6820, 81.94, 96.19
34, 0.8034, 80.30, 0.6818, 81.90, 96.12
35, 0.8034, 80.32, 0.6817, 81.83, 96.23
36, 0.7999, 80.35, 0.6842, 82.09, 96.10
37, 0.7979, 80.42, 0.6847, 81.96, 96.10
38, 0.7955, 80.45, 0.6796, 82.07, 96.09
39, 0.7933, 80.50, 0.6784, 82.07, 96.16
40, 0.7915, 80.55, 0.6772, 81.95, 96.22
41, 0.7897, 80.58, 0.6795, 81.93, 96.17
42, 0.7868, 80.63, 0.6813, 82.03, 96.17
43, 0.7869, 80.64, 0.6755, 82.16, 96.24
44, 0.7831, 80.76, 0.6755, 82.16, 96.22
45, 0.7781, 80.85, 0.6766, 82.06, 96.16
46, 0.7773, 80.89, 0.6730, 82.16, 96.29
47, 0.7747, 80.89, 0.6730, 82.12, 96.25
48, 0.7742, 80.94, 0.6753, 82.03, 96.23
49, 0.7696, 81.03, 0.6692, 82.08, 96.25
50, 0.7676, 81.06, 0.6711, 82.24, 96.27
51, 0.7667, 81.12, 0.6673, 82.04, 96.33
52, 0.7645, 81.19, 0.6662, 82.27, 96.25
53, 0.7615, 81.24, 0.6663, 82.36, 96.26
54, 0.7591, 81.30, 0.6671, 82.19, 96.27
55, 0.7569, 81.34, 0.6661, 82.19, 96.28
56, 0.7533, 81.40, 0.6626, 82.39, 96.30
57, 0.7521, 81.46, 0.6620, 82.35, 96.26
58, 0.7486, 81.53, 0.6617, 82.26, 96.33
59, 0.7489, 81.57, 0.6626, 82.31, 96.30
60, 0.7442, 81.64, 0.6635, 82.37, 96.30
61, 0.7460, 81.66, 0.6579, 82.38, 96.32
62, 0.7413, 81.72, 0.6576, 82.43, 96.35
63, 0.7372, 81.81, 0.6560, 82.39, 96.35
64, 0.7388, 81.82, 0.6558, 82.36, 96.34
65, 0.7349, 81.88, 0.6561, 82.45, 96.40
66, 0.7342, 81.91, 0.6524, 82.53, 96.32
67, 0.7319, 82.00, 0.6547, 82.51, 96.35
68, 0.7311, 82.01, 0.6513, 82.64, 96.37
69, 0.7297, 82.05, 0.6525, 82.60, 96.38
70, 0.7259, 82.12, 0.6496, 82.59, 96.37
71, 0.7251, 82.17, 0.6490, 82.58, 96.38
72, 0.7247, 82.17, 0.6487, 82.54, 96.37
