Training Log
Model: franca_vitl14
Model Details: 
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.5279, 17.53, 3.1473, 47.62, 78.04
1, 1.9798, 62.35, 1.2663, 71.36, 92.47
2, 1.0985, 74.61, 0.8936, 77.39, 94.86
3, 0.8580, 78.85, 0.7561, 79.96, 95.88
4, 0.7558, 80.83, 0.6958, 81.37, 96.32
5, 0.7046, 81.81, 0.6595, 82.29, 96.56
6, 0.6698, 82.54, 0.6390, 82.68, 96.70
7, 0.6375, 83.20, 0.6177, 83.20, 96.83
8, 0.6142, 83.71, 0.6047, 83.35, 97.05
9, 0.5941, 84.14, 0.5972, 83.43, 97.21
10, 0.5744, 84.56, 0.5869, 83.89, 97.19
11, 0.5544, 85.03, 0.5787, 84.09, 97.29
12, 0.5368, 85.39, 0.5768, 84.19, 97.29
13, 0.5206, 85.83, 0.5775, 84.08, 97.27
14, 0.5093, 86.02, 0.5779, 84.28, 97.33
15, 0.4953, 86.36, 0.5791, 84.18, 97.28
16, 0.4848, 86.62, 0.5908, 84.05, 97.25
17, 0.4751, 86.83, 0.5913, 84.10, 97.13
18, 0.4649, 87.08, 0.5886, 83.98, 97.17
19, 0.4574, 87.27, 0.5941, 84.24, 97.20
20, 0.4480, 87.48, 0.6000, 83.98, 97.14
21, 0.4416, 87.64, 0.6039, 83.98, 97.13
22, 0.4344, 87.84, 0.6170, 83.77, 97.10
23, 0.4287, 88.01, 0.6189, 83.94, 97.08
24, 0.4212, 88.16, 0.6281, 83.80, 97.02
25, 0.4160, 88.29, 0.6360, 83.59, 97.02
26, 0.4106, 88.42, 0.6404, 83.67, 96.93
27, 0.4055, 88.53, 0.6433, 83.57, 96.94
28, 0.4029, 88.66, 0.6562, 83.35, 96.81
29, 0.3955, 88.80, 0.6559, 83.52, 96.84
30, 0.3923, 88.92, 0.6592, 83.49, 96.82
31, 0.3878, 89.03, 0.6640, 83.44, 96.76
32, 0.3835, 89.10, 0.6762, 83.33, 96.68
33, 0.3780, 89.29, 0.6786, 83.42, 96.70
34, 0.3736, 89.40, 0.6803, 83.44, 96.74
35, 0.3691, 89.53, 0.6822, 83.52, 96.68
36, 0.3664, 89.60, 0.6955, 83.40, 96.62
37, 0.3617, 89.73, 0.6978, 83.27, 96.68
38, 0.3580, 89.84, 0.6953, 83.42, 96.58
39, 0.3537, 89.98, 0.6969, 83.36, 96.63
40, 0.3494, 90.10, 0.7007, 83.28, 96.68
41, 0.3470, 90.18, 0.7036, 83.25, 96.59
42, 0.3412, 90.32, 0.7127, 83.14, 96.63
43, 0.3365, 90.48, 0.7139, 83.17, 96.59
44, 0.3338, 90.55, 0.7112, 83.22, 96.54
45, 0.3311, 90.63, 0.7137, 83.35, 96.61
46, 0.3261, 90.76, 0.7183, 83.18, 96.57
47, 0.3236, 90.85, 0.7177, 83.35, 96.54
48, 0.3187, 91.00, 0.7243, 83.15, 96.64
49, 0.3168, 91.08, 0.7213, 83.24, 96.54
50, 0.3128, 91.18, 0.7207, 83.25, 96.57
51, 0.3076, 91.35, 0.7226, 83.24, 96.53
52, 0.3046, 91.44, 0.7261, 83.19, 96.52
53, 0.3006, 91.53, 0.7237, 83.26, 96.52
54, 0.2966, 91.68, 0.7306, 83.11, 96.53
55, 0.2946, 91.76, 0.7293, 83.24, 96.57
56, 0.2898, 91.89, 0.7269, 83.21, 96.57
57, 0.2879, 91.97, 0.7270, 83.33, 96.54
58, 0.2842, 92.07, 0.7306, 83.24, 96.44
59, 0.2811, 92.18, 0.7365, 83.21, 96.47
60, 0.2778, 92.27, 0.7311, 83.21, 96.49
61, 0.2759, 92.39, 0.7293, 83.45, 96.54
62, 0.2725, 92.48, 0.7277, 83.39, 96.53
63, 0.2688, 92.61, 0.7277, 83.38, 96.56
64, 0.2671, 92.64, 0.7326, 83.27, 96.48
65, 0.2630, 92.77, 0.7357, 83.19, 96.52
66, 0.2610, 92.85, 0.7274, 83.42, 96.55
67, 0.2586, 92.95, 0.7294, 83.31, 96.54
68, 0.2568, 93.00, 0.7282, 83.38, 96.59
69, 0.2544, 93.08, 0.7274, 83.44, 96.56
70, 0.2511, 93.18, 0.7258, 83.38, 96.57
71, 0.2493, 93.24, 0.7251, 83.46, 96.56
72, 0.2480, 93.31, 0.7244, 83.40, 96.54
73, 0.2456, 93.37, 0.7237, 83.40, 96.53
74, 0.2445, 93.44, 0.7273, 83.47, 96.55
75, 0.2434, 93.49, 0.7229, 83.52, 96.56
76, 0.2410, 93.54, 0.7259, 83.51, 96.56
77, 0.2398, 93.58, 0.7229, 83.48, 96.55
78, 0.2393, 93.61, 0.7251, 83.50, 96.52
79, 0.2379, 93.67, 0.7229, 83.59, 96.51
80, 0.2358, 93.73, 0.7209, 83.53, 96.54
81, 0.2351, 93.74, 0.7216, 83.56, 96.52
82, 0.2340, 93.78, 0.7222, 83.52, 96.53
83, 0.2343, 93.81, 0.7218, 83.51, 96.54
84, 0.2329, 93.84, 0.7218, 83.52, 96.52
85, 0.2330, 93.84, 0.7228, 83.50, 96.55
86, 0.2313, 93.88, 0.7211, 83.50, 96.54
87, 0.2317, 93.87, 0.7223, 83.53, 96.53
88, 0.2314, 93.89, 0.7201, 83.51, 96.54
89, 0.2327, 93.86, 0.7228, 83.50, 96.54

Final Results:
Max Accuracy: 84.28%
Final Val Acc1: 83.50%
Final Val Acc5: 96.54%
Total Training Time: 23:01:44
