Training Log
Model: franca_vitl14
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.5307, 17.45, 3.1546, 47.47, 77.84
1, 1.9878, 62.17, 1.2729, 71.21, 92.40
2, 1.1040, 74.50, 0.8968, 77.31, 94.82
3, 0.8611, 78.78, 0.7571, 79.97, 95.86
4, 0.7579, 80.78, 0.6966, 81.36, 96.30
5, 0.7070, 81.77, 0.6608, 82.28, 96.58
6, 0.6747, 82.43, 0.6447, 82.59, 96.67
7, 0.6502, 82.93, 0.6290, 82.95, 96.78
8, 0.6326, 83.30, 0.6174, 83.13, 96.97
9, 0.6154, 83.64, 0.6101, 83.17, 97.12
10, 0.5981, 84.04, 0.6021, 83.43, 97.05
11, 0.5795, 84.47, 0.5927, 83.80, 97.16
12, 0.5633, 84.83, 0.5885, 83.79, 97.22
13, 0.5479, 85.21, 0.5903, 83.68, 97.17
14, 0.5374, 85.46, 0.5898, 83.92, 97.24
15, 0.5240, 85.74, 0.5887, 83.87, 97.19
16, 0.5140, 85.99, 0.6019, 83.57, 97.11
17, 0.5048, 86.19, 0.6034, 83.70, 97.06
18, 0.4951, 86.44, 0.5983, 83.70, 97.20
19, 0.4883, 86.60, 0.6037, 83.74, 97.13
20, 0.4790, 86.81, 0.6060, 83.60, 97.06
21, 0.4731, 86.93, 0.6100, 83.66, 97.07
22, 0.4652, 87.17, 0.6204, 83.45, 96.98
23, 0.4605, 87.27, 0.6240, 83.70, 96.99
24, 0.4538, 87.42, 0.6314, 83.47, 96.95
25, 0.4474, 87.58, 0.6397, 83.38, 96.96
26, 0.4423, 87.68, 0.6377, 83.49, 96.95
27, 0.4377, 87.82, 0.6437, 83.33, 96.90
28, 0.4344, 87.96, 0.6576, 82.85, 96.83
29, 0.4272, 88.08, 0.6496, 83.31, 96.84
30, 0.4242, 88.18, 0.6543, 83.09, 96.80
31, 0.4195, 88.29, 0.6616, 83.29, 96.79
32, 0.4150, 88.39, 0.6718, 83.05, 96.82
33, 0.4102, 88.56, 0.6697, 83.09, 96.75
34, 0.4052, 88.65, 0.6727, 83.14, 96.75
35, 0.4003, 88.76, 0.6736, 83.10, 96.76
36, 0.3972, 88.88, 0.6939, 82.96, 96.61
37, 0.3930, 88.99, 0.6882, 83.04, 96.70
38, 0.3893, 89.10, 0.6946, 82.86, 96.58
39, 0.3846, 89.28, 0.6887, 82.91, 96.73
40, 0.3808, 89.33, 0.6894, 83.20, 96.77
41, 0.3772, 89.44, 0.6947, 82.92, 96.67
42, 0.3714, 89.56, 0.7031, 82.84, 96.65
43, 0.3666, 89.71, 0.7013, 82.93, 96.70
44, 0.3640, 89.81, 0.7009, 82.87, 96.62
45, 0.3612, 89.88, 0.7072, 82.99, 96.64
46, 0.3561, 90.03, 0.7071, 82.93, 96.55
47, 0.3531, 90.12, 0.7070, 83.00, 96.61
48, 0.3482, 90.27, 0.7136, 82.92, 96.66
49, 0.3459, 90.36, 0.7077, 83.09, 96.61
50, 0.3415, 90.46, 0.7081, 83.03, 96.69
51, 0.3362, 90.62, 0.7133, 82.98, 96.60
52, 0.3330, 90.72, 0.7156, 82.79, 96.53
53, 0.3287, 90.83, 0.7103, 82.93, 96.63
54, 0.3244, 90.98, 0.7161, 82.94, 96.55
55, 0.3224, 91.05, 0.7127, 82.99, 96.64
56, 0.3168, 91.19, 0.7152, 82.98, 96.63
57, 0.3156, 91.24, 0.7148, 83.10, 96.59
58, 0.3114, 91.39, 0.7170, 82.97, 96.63
59, 0.3075, 91.48, 0.7215, 82.87, 96.59
60, 0.3040, 91.60, 0.7157, 82.87, 96.56
61, 0.3016, 91.71, 0.7143, 83.19, 96.59
62, 0.2985, 91.80, 0.7153, 83.01, 96.60
63, 0.2949, 91.91, 0.7120, 83.08, 96.56
64, 0.2928, 91.97, 0.7154, 83.04, 96.59
65, 0.2879, 92.12, 0.7197, 82.96, 96.58
66, 0.2864, 92.17, 0.7111, 83.31, 96.58
67, 0.2834, 92.33, 0.7132, 83.06, 96.59
68, 0.2814, 92.38, 0.7121, 83.20, 96.62
69, 0.2790, 92.47, 0.7134, 83.22, 96.55
70, 0.2751, 92.55, 0.7103, 83.23, 96.67
71, 0.2731, 92.63, 0.7088, 83.20, 96.57
72, 0.2719, 92.65, 0.7099, 83.15, 96.63
