Training Log
Model: franca_vitl14
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.9567, 21.06, 3.7233, 63.68, 86.35
1, 1.7705, 70.91, 1.0696, 74.36, 93.65
2, 1.0157, 75.83, 0.9457, 76.14, 94.27
3, 0.9335, 77.25, 0.8932, 77.14, 94.50
4, 0.8868, 78.09, 0.8573, 77.86, 94.69
5, 0.8558, 78.64, 0.8333, 78.76, 94.87
6, 0.8299, 79.17, 0.8158, 78.97, 94.99
7, 0.8090, 79.51, 0.8042, 79.25, 95.11
8, 0.7901, 79.83, 0.7914, 79.54, 95.18
9, 0.7765, 80.07, 0.7814, 79.71, 95.25
10, 0.7638, 80.31, 0.7752, 79.98, 95.30
11, 0.7481, 80.63, 0.7665, 80.24, 95.39
12, 0.7377, 80.83, 0.7601, 80.18, 95.47
13, 0.7275, 81.02, 0.7541, 80.36, 95.48
14, 0.7187, 81.17, 0.7544, 80.39, 95.55
15, 0.7106, 81.31, 0.7462, 80.82, 95.58
16, 0.7046, 81.41, 0.7435, 80.89, 95.66
17, 0.6973, 81.54, 0.7440, 80.90, 95.61
18, 0.6918, 81.68, 0.7378, 81.08, 95.66
19, 0.6856, 81.79, 0.7320, 81.19, 95.69
20, 0.6800, 81.91, 0.7337, 80.93, 95.74
21, 0.6764, 81.97, 0.7357, 81.06, 95.75
22, 0.6703, 82.09, 0.7357, 81.09, 95.76
23, 0.6672, 82.15, 0.7274, 81.50, 95.77
24, 0.6631, 82.19, 0.7293, 81.46, 95.79
25, 0.6588, 82.34, 0.7313, 81.33, 95.73
26, 0.6553, 82.37, 0.7278, 81.47, 95.78
27, 0.6524, 82.45, 0.7258, 81.36, 95.82
28, 0.6494, 82.51, 0.7255, 81.52, 95.86
29, 0.6459, 82.59, 0.7236, 81.52, 95.87
30, 0.6419, 82.66, 0.7203, 81.82, 95.80
31, 0.6394, 82.70, 0.7233, 81.51, 95.87
32, 0.6365, 82.80, 0.7234, 81.66, 95.83
33, 0.6336, 82.83, 0.7175, 81.98, 95.92
34, 0.6300, 82.88, 0.7128, 82.05, 95.88
35, 0.6272, 82.98, 0.7113, 81.99, 95.89
36, 0.6248, 83.04, 0.7209, 81.85, 95.88
37, 0.6220, 83.07, 0.7174, 81.75, 95.91
