Training Log
Model: hiera_base_224.mae
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3453, 5.35, 5.0264, 20.90, 41.59
1, 3.7820, 35.74, 2.6142, 49.53, 75.22
2, 2.3134, 53.19, 1.8112, 59.81, 83.28
3, 1.7980, 60.25, 1.5005, 64.84, 86.49
4, 1.5723, 63.93, 1.3710, 66.88, 87.96
5, 1.4655, 65.86, 1.2997, 68.11, 88.70
6, 1.4089, 66.97, 1.2586, 69.01, 89.28
7, 1.3677, 67.74, 1.2422, 69.44, 89.39
8, 1.3342, 68.42, 1.2110, 69.86, 89.73
9, 1.3022, 69.03, 1.1808, 70.59, 90.12
10, 1.2703, 69.61, 1.1592, 70.97, 90.43
11, 1.2400, 70.29, 1.1458, 71.52, 90.60
12, 1.2163, 70.76, 1.1202, 72.00, 90.97
13, 1.1947, 71.24, 1.1061, 72.17, 91.15
14, 1.1769, 71.56, 1.0997, 72.34, 91.25
15, 1.1626, 71.93, 1.0960, 72.58, 91.18
16, 1.1498, 72.12, 1.0911, 72.56, 91.30
17, 1.1400, 72.40, 1.0858, 72.89, 91.32
18, 1.1296, 72.54, 1.0739, 73.15, 91.50
19, 1.1214, 72.74, 1.0822, 72.91, 91.43
20, 1.1147, 72.89, 1.0822, 72.87, 91.43
21, 1.1043, 73.06, 1.0730, 73.08, 91.61
22, 1.1002, 73.19, 1.0716, 73.32, 91.57
23, 1.0913, 73.32, 1.0743, 73.10, 91.61
24, 1.0852, 73.46, 1.0711, 73.34, 91.71
25, 1.0806, 73.57, 1.0716, 73.37, 91.67
26, 1.0743, 73.61, 1.0716, 73.27, 91.69
27, 1.0714, 73.74, 1.0668, 73.48, 91.70
28, 1.0649, 73.91, 1.0672, 73.49, 91.71
29, 1.0599, 73.95, 1.0686, 73.48, 91.68
30, 1.0535, 74.15, 1.0583, 73.53, 91.73
31, 1.0524, 74.18, 1.0605, 73.70, 91.76
32, 1.0447, 74.29, 1.0543, 73.70, 91.92
33, 1.0424, 74.39, 1.0494, 73.90, 91.89
34, 1.0395, 74.45, 1.0569, 73.68, 91.91
35, 1.0367, 74.52, 1.0561, 73.62, 91.82
36, 1.0283, 74.64, 1.0519, 73.79, 91.90
37, 1.0260, 74.75, 1.0515, 73.77, 91.83
38, 1.0205, 74.82, 1.0520, 73.80, 91.92
39, 1.0167, 74.91, 1.0531, 73.78, 91.95
40, 1.0111, 75.04, 1.0459, 74.06, 92.03
