Training Log
Model: hiera_base_224.mae
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.6583, 2.74, 5.8044, 13.44, 28.41
1, 4.7233, 26.73, 3.5283, 40.17, 65.12
2, 3.0466, 44.70, 2.4308, 51.37, 76.13
3, 2.3559, 52.53, 2.0072, 56.95, 80.70
4, 2.0521, 56.66, 1.7919, 60.30, 82.96
5, 1.8866, 59.03, 1.6715, 61.98, 84.34
6, 1.7852, 60.60, 1.5912, 63.36, 85.37
7, 1.7168, 61.67, 1.5410, 64.25, 85.85
8, 1.6709, 62.38, 1.5005, 64.80, 86.22
9, 1.6367, 62.89, 1.4752, 65.19, 86.57
10, 1.6113, 63.30, 1.4594, 65.39, 86.57
11, 1.5890, 63.69, 1.4474, 65.68, 86.80
12, 1.5702, 64.04, 1.4314, 65.92, 87.11
13, 1.5577, 64.26, 1.4238, 66.06, 87.08
14, 1.5469, 64.47, 1.4222, 66.24, 87.12
15, 1.5378, 64.63, 1.4138, 66.36, 87.27
16, 1.5310, 64.74, 1.4135, 66.31, 87.29
17, 1.5228, 64.90, 1.4043, 66.71, 87.42
18, 1.5166, 65.01, 1.3982, 66.73, 87.37
19, 1.5144, 65.08, 1.4008, 66.81, 87.40
20, 1.5095, 65.16, 1.3949, 66.85, 87.52
21, 1.5036, 65.26, 1.3935, 66.67, 87.57
22, 1.4992, 65.32, 1.3975, 66.67, 87.52
23, 1.4977, 65.38, 1.3856, 67.03, 87.60
24, 1.4918, 65.46, 1.3927, 66.94, 87.53
25, 1.4911, 65.49, 1.3840, 66.87, 87.61
26, 1.4871, 65.57, 1.3913, 66.80, 87.65
27, 1.4843, 65.63, 1.3827, 67.03, 87.64
28, 1.4803, 65.71, 1.3803, 66.96, 87.80
29, 1.4777, 65.79, 1.3830, 67.36, 87.81
