Training Log
Model: hiera_huge_224.mae
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 6,308,840
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.0013, 8.77, 4.4103, 29.88, 52.60
1, 3.0923, 48.40, 1.9729, 62.19, 82.52
2, 1.6855, 66.19, 1.3417, 70.27, 88.56
3, 1.3019, 71.47, 1.1413, 73.33, 90.55
4, 1.1551, 73.75, 1.0474, 74.62, 91.63
5, 1.0789, 75.00, 1.0054, 75.29, 92.06
6, 1.0358, 75.74, 0.9813, 75.73, 92.34
7, 1.0072, 76.22, 0.9582, 75.99, 92.73
8, 0.9876, 76.62, 0.9515, 76.33, 92.69
9, 0.9690, 76.92, 0.9438, 76.48, 92.91
10, 0.9518, 77.24, 0.9220, 76.83, 93.13
11, 0.9293, 77.69, 0.9132, 77.17, 93.25
12, 0.9093, 78.07, 0.8951, 77.57, 93.51
13, 0.8915, 78.46, 0.8837, 77.62, 93.64
14, 0.8771, 78.73, 0.9006, 77.27, 93.56
15, 0.8648, 78.97, 0.8791, 77.87, 93.71
16, 0.8497, 79.25, 0.8743, 77.97, 93.71
17, 0.8394, 79.51, 0.8798, 77.83, 93.86
18, 0.8284, 79.68, 0.8578, 78.32, 93.93
19, 0.8189, 79.90, 0.8745, 78.00, 93.87
20, 0.8110, 80.06, 0.8808, 77.99, 93.77
21, 0.8029, 80.22, 0.8799, 78.19, 93.82
22, 0.7944, 80.42, 0.8764, 78.29, 93.83
23, 0.7858, 80.61, 0.8762, 78.24, 93.97
24, 0.7795, 80.71, 0.8733, 78.34, 93.95
25, 0.7735, 80.83, 0.8761, 78.27, 93.94
26, 0.7658, 81.01, 0.8730, 78.25, 94.08
27, 0.7610, 81.10, 0.8802, 77.95, 93.92
28, 0.7533, 81.25, 0.8725, 78.14, 94.00
29, 0.7469, 81.42, 0.8849, 77.98, 93.85
30, 0.7396, 81.53, 0.8796, 78.08, 93.97
31, 0.7346, 81.67, 0.8805, 78.34, 93.95
32, 0.7284, 81.81, 0.8863, 78.10, 93.91
33, 0.7234, 81.94, 0.8874, 78.31, 93.93
34, 0.7151, 82.09, 0.8840, 78.29, 94.06
35, 0.7107, 82.21, 0.8815, 78.24, 94.01
36, 0.7050, 82.34, 0.8800, 78.53, 94.06
37, 0.6968, 82.49, 0.8891, 78.36, 94.04
38, 0.6924, 82.62, 0.8803, 78.43, 94.07
39, 0.6858, 82.80, 0.8843, 78.38, 93.99
40, 0.6787, 82.92, 0.8792, 78.50, 94.05
41, 0.6742, 83.05, 0.8821, 78.45, 94.07
42, 0.6688, 83.16, 0.8861, 78.43, 94.02
43, 0.6608, 83.33, 0.8817, 78.51, 94.03
44, 0.6534, 83.52, 0.8785, 78.68, 94.10
45, 0.6491, 83.63, 0.8824, 78.70, 94.09
46, 0.6429, 83.77, 0.8719, 78.74, 94.17
47, 0.6380, 83.91, 0.8748, 78.79, 94.11
48, 0.6312, 84.06, 0.8767, 78.91, 94.24
49, 0.6254, 84.23, 0.8691, 78.93, 94.23
50, 0.6196, 84.34, 0.8690, 78.93, 94.12
51, 0.6109, 84.58, 0.8657, 78.98, 94.30
52, 0.6067, 84.71, 0.8705, 78.92, 94.26
53, 0.6000, 84.83, 0.8691, 79.01, 94.18
54, 0.5926, 85.00, 0.8674, 78.96, 94.29
55, 0.5882, 85.14, 0.8644, 79.02, 94.31
56, 0.5821, 85.32, 0.8618, 79.22, 94.23
57, 0.5772, 85.39, 0.8620, 79.15, 94.28
58, 0.5686, 85.63, 0.8604, 79.15, 94.24
59, 0.5644, 85.74, 0.8594, 79.14, 94.32
60, 0.5588, 85.86, 0.8580, 79.30, 94.30
61, 0.5529, 86.05, 0.8562, 79.22, 94.32
62, 0.5478, 86.21, 0.8552, 79.26, 94.44
63, 0.5434, 86.31, 0.8545, 79.30, 94.46
64, 0.5372, 86.44, 0.8509, 79.34, 94.43
65, 0.5321, 86.53, 0.8522, 79.19, 94.42
66, 0.5282, 86.68, 0.8456, 79.47, 94.50
67, 0.5229, 86.85, 0.8466, 79.41, 94.47
68, 0.5191, 86.97, 0.8441, 79.52, 94.47
69, 0.5158, 87.02, 0.8425, 79.52, 94.52
70, 0.5110, 87.17, 0.8392, 79.70, 94.53
71, 0.5063, 87.30, 0.8385, 79.77, 94.58
72, 0.5040, 87.41, 0.8389, 79.69, 94.63
73, 0.5010, 87.48, 0.8363, 79.67, 94.54
74, 0.4994, 87.52, 0.8362, 79.71, 94.54
75, 0.4953, 87.63, 0.8361, 79.75, 94.58
76, 0.4908, 87.72, 0.8341, 79.75, 94.55
77, 0.4881, 87.81, 0.8325, 79.76, 94.57
78, 0.4856, 87.89, 0.8326, 79.80, 94.61
79, 0.4843, 87.91, 0.8299, 79.77, 94.57
80, 0.4816, 87.99, 0.8303, 79.82, 94.60
81, 0.4805, 88.01, 0.8292, 79.89, 94.62
82, 0.4799, 88.06, 0.8268, 79.80, 94.59
83, 0.4783, 88.09, 0.8286, 79.85, 94.59
84, 0.4774, 88.14, 0.8275, 79.82, 94.60
85, 0.4755, 88.20, 0.8277, 79.80, 94.64
86, 0.4753, 88.19, 0.8267, 79.87, 94.65
87, 0.4762, 88.19, 0.8276, 79.88, 94.64
88, 0.4739, 88.21, 0.8282, 79.83, 94.64
89, 0.4747, 88.18, 0.8278, 79.82, 94.65

Final Results:
Max Accuracy: 79.89%
Final Val Acc1: 79.82%
Final Val Acc5: 94.65%
Total Training Time: 1 day, 3:15:27
