Training Log
Model: hiera_huge_224.mae
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,049,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.5334, 3.58, 5.5128, 15.50, 32.10
1, 4.4148, 31.95, 3.3184, 47.05, 68.85
2, 2.7609, 53.32, 2.1879, 59.57, 79.94
3, 2.0162, 62.07, 1.7163, 65.18, 84.31
4, 1.6755, 66.44, 1.4777, 68.62, 86.86
5, 1.4892, 68.95, 1.3441, 70.35, 88.17
6, 1.3737, 70.62, 1.2553, 71.74, 89.24
7, 1.2955, 71.70, 1.1990, 72.45, 89.82
8, 1.2394, 72.57, 1.1556, 73.34, 90.39
9, 1.2014, 73.14, 1.1250, 73.77, 90.57
10, 1.1719, 73.56, 1.1062, 73.99, 90.84
11, 1.1432, 74.07, 1.0925, 74.14, 91.03
12, 1.1253, 74.35, 1.0769, 74.38, 91.21
13, 1.1069, 74.66, 1.0688, 74.59, 91.37
14, 1.0913, 74.92, 1.0663, 74.61, 91.22
15, 1.0820, 75.09, 1.0605, 74.75, 91.40
16, 1.0706, 75.36, 1.0560, 74.74, 91.45
17, 1.0629, 75.44, 1.0536, 74.92, 91.62
18, 1.0545, 75.60, 1.0467, 74.98, 91.66
19, 1.0468, 75.75, 1.0496, 75.04, 91.53
20, 1.0419, 75.82, 1.0444, 75.04, 91.75
21, 1.0353, 75.95, 1.0415, 75.39, 91.64
22, 1.0302, 76.03, 1.0433, 75.09, 91.76
23, 1.0259, 76.10, 1.0413, 75.10, 91.76
24, 1.0203, 76.21, 1.0407, 75.29, 91.79
25, 1.0172, 76.31, 1.0396, 75.21, 91.88
26, 1.0132, 76.35, 1.0383, 75.42, 91.88
27, 1.0086, 76.49, 1.0404, 75.31, 91.94
28, 1.0052, 76.56, 1.0365, 75.30, 91.96
29, 0.9995, 76.65, 1.0376, 75.18, 92.00
30, 0.9982, 76.68, 1.0292, 75.46, 91.94
31, 0.9923, 76.76, 1.0332, 75.61, 91.94
32, 0.9910, 76.85, 1.0414, 75.44, 91.84
33, 0.9854, 76.89, 1.0323, 75.60, 91.98
34, 0.9816, 77.00, 1.0348, 75.51, 91.98
35, 0.9783, 77.11, 1.0305, 75.54, 91.98
36, 0.9754, 77.13, 1.0308, 75.60, 92.01
37, 0.9694, 77.23, 1.0331, 75.49, 92.08
38, 0.9657, 77.33, 1.0268, 75.45, 91.99
39, 0.9612, 77.43, 1.0233, 75.60, 92.11
40, 0.9573, 77.48, 1.0241, 75.70, 92.14
41, 0.9546, 77.52, 1.0193, 75.72, 92.14
42, 0.9489, 77.64, 1.0193, 75.74, 92.14
43, 0.9459, 77.72, 1.0220, 75.82, 92.12
44, 0.9405, 77.84, 1.0196, 75.81, 92.14
45, 0.9369, 77.87, 1.0182, 75.77, 92.17
46, 0.9326, 77.98, 1.0062, 76.15, 92.32
47, 0.9274, 78.03, 1.0105, 75.93, 92.24
48, 0.9245, 78.14, 1.0056, 76.00, 92.20
49, 0.9205, 78.23, 0.9996, 76.06, 92.32
50, 0.9148, 78.31, 1.0044, 76.07, 92.31
51, 0.9098, 78.42, 0.9995, 76.11, 92.28
52, 0.9058, 78.51, 1.0017, 75.96, 92.34
53, 0.8986, 78.64, 0.9932, 76.25, 92.45
54, 0.8954, 78.74, 0.9971, 76.19, 92.39
55, 0.8936, 78.76, 0.9905, 76.21, 92.36
56, 0.8909, 78.82, 0.9851, 76.39, 92.41
57, 0.8874, 78.92, 0.9871, 76.38, 92.40
58, 0.8818, 79.05, 0.9839, 76.38, 92.45
59, 0.8772, 79.14, 0.9833, 76.40, 92.49
60, 0.8734, 79.20, 0.9808, 76.37, 92.42
61, 0.8701, 79.28, 0.9756, 76.49, 92.45
62, 0.8640, 79.45, 0.9741, 76.69, 92.53
63, 0.8608, 79.49, 0.9706, 76.66, 92.57
64, 0.8576, 79.56, 0.9690, 76.67, 92.63
65, 0.8540, 79.66, 0.9684, 76.62, 92.55
66, 0.8500, 79.71, 0.9624, 76.72, 92.64
67, 0.8476, 79.78, 0.9614, 76.85, 92.74
68, 0.8430, 79.90, 0.9595, 76.99, 92.69
69, 0.8397, 79.95, 0.9596, 76.93, 92.63
70, 0.8358, 80.08, 0.9564, 76.96, 92.67
71, 0.8352, 80.05, 0.9557, 76.83, 92.73
72, 0.8324, 80.16, 0.9545, 76.89, 92.71
73, 0.8288, 80.23, 0.9522, 77.04, 92.81
74, 0.8275, 80.26, 0.9501, 76.98, 92.74
75, 0.8239, 80.36, 0.9508, 77.14, 92.74
