Training Log
Model: hiera_large_224.mae
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,516,968
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2602, 6.48, 4.8499, 24.36, 45.65
1, 3.4909, 42.37, 2.2760, 57.12, 79.65
2, 1.9189, 61.58, 1.4752, 67.11, 87.22
3, 1.4537, 67.92, 1.2403, 70.56, 89.65
4, 1.2789, 70.77, 1.1299, 72.42, 90.77
5, 1.1955, 72.16, 1.0740, 73.42, 91.34
6, 1.1491, 73.02, 1.0469, 74.01, 91.64
7, 1.1173, 73.59, 1.0250, 74.42, 91.95
8, 1.0915, 74.07, 1.0120, 74.71, 92.10
9, 1.0724, 74.42, 0.9964, 74.99, 92.32
10, 1.0505, 74.82, 0.9792, 75.17, 92.53
11, 1.0290, 75.29, 0.9713, 75.41, 92.76
12, 1.0092, 75.72, 0.9569, 75.75, 92.93
13, 0.9908, 76.05, 0.9432, 76.04, 93.07
14, 0.9733, 76.40, 0.9356, 76.16, 93.10
15, 0.9613, 76.67, 0.9260, 76.51, 93.28
16, 0.9487, 76.95, 0.9266, 76.38, 93.26
17, 0.9398, 77.10, 0.9327, 76.47, 93.27
18, 0.9297, 77.27, 0.9155, 76.85, 93.40
19, 0.9192, 77.48, 0.9206, 76.71, 93.23
20, 0.9128, 77.65, 0.9194, 76.74, 93.43
21, 0.9026, 77.83, 0.9228, 76.84, 93.39
22, 0.8980, 77.94, 0.9225, 76.74, 93.44
23, 0.8889, 78.09, 0.9162, 76.94, 93.46
24, 0.8855, 78.19, 0.9170, 76.72, 93.36
25, 0.8806, 78.27, 0.9196, 76.85, 93.45
26, 0.8759, 78.42, 0.9232, 76.79, 93.48
27, 0.8676, 78.57, 0.9167, 76.99, 93.40
28, 0.8620, 78.70, 0.9154, 76.90, 93.54
29, 0.8573, 78.79, 0.9139, 76.91, 93.51
30, 0.8528, 78.87, 0.9167, 77.04, 93.50
31, 0.8480, 78.98, 0.9139, 77.11, 93.48
32, 0.8404, 79.14, 0.9150, 77.02, 93.58
33, 0.8391, 79.20, 0.9195, 77.07, 93.53
34, 0.8314, 79.33, 0.9152, 77.09, 93.52
35, 0.8262, 79.46, 0.9167, 76.94, 93.44
36, 0.8242, 79.51, 0.9166, 77.17, 93.60
37, 0.8200, 79.58, 0.9202, 77.04, 93.52
38, 0.8127, 79.75, 0.9168, 77.25, 93.44
39, 0.8098, 79.80, 0.9143, 77.22, 93.59
40, 0.8034, 79.97, 0.9203, 77.16, 93.57
41, 0.8013, 79.97, 0.9057, 77.40, 93.60
42, 0.7952, 80.13, 0.9089, 77.29, 93.76
43, 0.7893, 80.27, 0.9114, 77.34, 93.64
44, 0.7847, 80.41, 0.9134, 77.33, 93.67
45, 0.7777, 80.52, 0.9041, 77.40, 93.74
46, 0.7751, 80.58, 0.9036, 77.58, 93.79
47, 0.7705, 80.72, 0.9047, 77.45, 93.77
48, 0.7668, 80.78, 0.9022, 77.52, 93.76
49, 0.7602, 80.96, 0.8970, 77.68, 93.76
50, 0.7570, 80.99, 0.9010, 77.60, 93.79
51, 0.7509, 81.16, 0.8971, 77.78, 93.73
52, 0.7468, 81.27, 0.8962, 77.72, 93.76
53, 0.7402, 81.44, 0.8950, 77.73, 93.73
54, 0.7380, 81.47, 0.8944, 77.77, 93.84
55, 0.7324, 81.58, 0.8938, 77.73, 93.76
56, 0.7275, 81.70, 0.8925, 77.73, 93.86
57, 0.7222, 81.81, 0.8872, 77.94, 93.84
58, 0.7205, 81.90, 0.8865, 77.87, 93.82
59, 0.7159, 82.03, 0.8851, 77.97, 93.86
60, 0.7101, 82.15, 0.8837, 78.06, 93.96
61, 0.7072, 82.25, 0.8804, 77.93, 93.85
62, 0.7020, 82.34, 0.8812, 78.12, 93.90
63, 0.6997, 82.41, 0.8781, 78.08, 93.91
64, 0.6957, 82.54, 0.8784, 78.20, 93.87
65, 0.6914, 82.60, 0.8761, 78.01, 93.94
66, 0.6892, 82.68, 0.8715, 78.23, 93.95
67, 0.6851, 82.81, 0.8735, 78.23, 93.98
68, 0.6825, 82.86, 0.8694, 78.21, 94.00
69, 0.6796, 82.98, 0.8696, 78.24, 94.00
70, 0.6742, 83.05, 0.8677, 78.20, 93.99
71, 0.6722, 83.11, 0.8668, 78.43, 94.06
72, 0.6704, 83.19, 0.8670, 78.31, 93.95
73, 0.6675, 83.27, 0.8652, 78.33, 94.01
74, 0.6637, 83.35, 0.8633, 78.35, 94.01
75, 0.6598, 83.46, 0.8625, 78.55, 93.99
76, 0.6600, 83.46, 0.8609, 78.50, 94.05
77, 0.6566, 83.57, 0.8623, 78.40, 94.02
78, 0.6543, 83.62, 0.8603, 78.46, 94.07
79, 0.6532, 83.67, 0.8596, 78.39, 94.04
80, 0.6512, 83.69, 0.8593, 78.50, 94.05
81, 0.6503, 83.70, 0.8583, 78.54, 94.05
82, 0.6493, 83.77, 0.8582, 78.51, 94.08
83, 0.6490, 83.79, 0.8583, 78.51, 94.08
[early-stop] no gain > 0.05 pts for 8 epochs (best 78.55%); stopping at epoch 83 of 90

Final Results:
Max Accuracy: 78.55%
Final Val Acc1: 78.51%
Final Val Acc5: 94.08%
Total Training Time: 15:20:38
