Training Log
Model: hiera_large_224.mae
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,153,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.6418, 2.69, 5.7796, 13.24, 28.65
1, 4.6696, 28.96, 3.5016, 43.39, 66.48
2, 2.9177, 49.52, 2.3055, 56.13, 78.24
3, 2.1526, 58.29, 1.8326, 61.79, 82.98
4, 1.8178, 62.60, 1.5965, 65.07, 85.47
5, 1.6372, 65.20, 1.4704, 67.14, 86.87
6, 1.5286, 66.79, 1.3855, 68.34, 87.68
7, 1.4546, 67.90, 1.3305, 69.07, 88.37
8, 1.4043, 68.65, 1.2917, 69.88, 88.77
9, 1.3687, 69.15, 1.2639, 70.26, 89.08
10, 1.3410, 69.52, 1.2474, 70.61, 89.27
11, 1.3167, 69.99, 1.2307, 70.83, 89.45
12, 1.2976, 70.33, 1.2205, 70.95, 89.66
13, 1.2814, 70.58, 1.2098, 71.14, 89.86
14, 1.2706, 70.80, 1.2111, 71.35, 89.73
15, 1.2613, 70.93, 1.1977, 71.50, 89.85
16, 1.2533, 71.07, 1.1958, 71.68, 89.99
17, 1.2450, 71.23, 1.1910, 71.74, 90.04
18, 1.2391, 71.34, 1.1842, 71.98, 90.03
19, 1.2343, 71.42, 1.1870, 71.71, 90.08
20, 1.2302, 71.48, 1.1870, 71.64, 90.13
21, 1.2268, 71.55, 1.1830, 71.82, 90.11
22, 1.2192, 71.70, 1.1850, 71.76, 90.19
23, 1.2169, 71.76, 1.1774, 72.06, 90.20
24, 1.2135, 71.84, 1.1767, 71.90, 90.33
25, 1.2113, 71.85, 1.1771, 71.88, 90.26
26, 1.2062, 71.93, 1.1810, 71.89, 90.21
27, 1.2047, 72.00, 1.1761, 72.02, 90.14
28, 1.2018, 72.07, 1.1687, 72.01, 90.23
29, 1.1979, 72.07, 1.1817, 71.85, 90.32
30, 1.1916, 72.23, 1.1703, 71.98, 90.35
31, 1.1923, 72.23, 1.1722, 72.20, 90.37
32, 1.1912, 72.26, 1.1730, 72.21, 90.34
33, 1.1849, 72.37, 1.1679, 72.28, 90.33
34, 1.1819, 72.46, 1.1706, 72.22, 90.44
35, 1.1787, 72.52, 1.1694, 72.23, 90.29
36, 1.1777, 72.54, 1.1581, 72.22, 90.48
37, 1.1719, 72.64, 1.1667, 72.33, 90.41
38, 1.1686, 72.67, 1.1600, 72.31, 90.43
39, 1.1654, 72.76, 1.1562, 72.44, 90.44
40, 1.1620, 72.86, 1.1567, 72.47, 90.49
41, 1.1594, 72.89, 1.1525, 72.48, 90.56
42, 1.1568, 72.93, 1.1541, 72.36, 90.64
43, 1.1529, 72.99, 1.1511, 72.64, 90.60
44, 1.1484, 73.11, 1.1505, 72.59, 90.54
45, 1.1446, 73.20, 1.1491, 72.57, 90.56
46, 1.1415, 73.26, 1.1423, 72.84, 90.58
47, 1.1374, 73.33, 1.1395, 72.86, 90.71
48, 1.1343, 73.41, 1.1365, 72.76, 90.70
49, 1.1289, 73.52, 1.1335, 72.92, 90.70
50, 1.1262, 73.56, 1.1314, 73.02, 90.73
51, 1.1236, 73.67, 1.1297, 72.88, 90.79
52, 1.1197, 73.73, 1.1313, 72.85, 90.78
53, 1.1164, 73.79, 1.1258, 73.01, 90.83
54, 1.1140, 73.85, 1.1250, 72.94, 90.83
55, 1.1077, 73.97, 1.1233, 73.12, 90.84
56, 1.1042, 74.05, 1.1186, 73.18, 90.87
57, 1.1017, 74.12, 1.1170, 73.21, 90.96
58, 1.0977, 74.22, 1.1146, 73.22, 90.85
59, 1.0940, 74.26, 1.1105, 73.35, 90.92
60, 1.0922, 74.36, 1.1127, 73.38, 90.93
61, 1.0882, 74.44, 1.1078, 73.44, 90.95
62, 1.0834, 74.52, 1.1075, 73.37, 91.02
63, 1.0808, 74.59, 1.1046, 73.48, 90.99
64, 1.0770, 74.66, 1.1009, 73.53, 91.10
65, 1.0753, 74.74, 1.1009, 73.47, 91.00
66, 1.0719, 74.81, 1.0968, 73.73, 91.01
67, 1.0695, 74.87, 1.0963, 73.65, 91.05
68, 1.0643, 74.96, 1.0932, 73.72, 91.06
69, 1.0644, 74.94, 1.0932, 73.71, 91.13
70, 1.0611, 75.08, 1.0913, 73.76, 91.16
71, 1.0589, 75.11, 1.0890, 73.83, 91.11
72, 1.0557, 75.17, 1.0878, 73.75, 91.14
73, 1.0556, 75.24, 1.0853, 73.89, 91.08
74, 1.0518, 75.28, 1.0855, 73.85, 91.07
75, 1.0482, 75.37, 1.0847, 73.81, 91.15
76, 1.0472, 75.43, 1.0838, 73.82, 91.19
77, 1.0455, 75.47, 1.0836, 73.84, 91.14
78, 1.0443, 75.49, 1.0823, 73.85, 91.14
79, 1.0440, 75.51, 1.0804, 74.00, 91.16
80, 1.0397, 75.58, 1.0806, 74.03, 91.17
81, 1.0409, 75.58, 1.0798, 74.02, 91.17
82, 1.0405, 75.59, 1.0789, 73.99, 91.16
83, 1.0371, 75.66, 1.0793, 74.00, 91.17
84, 1.0369, 75.66, 1.0793, 74.02, 91.17
85, 1.0360, 75.70, 1.0793, 74.06, 91.19
86, 1.0365, 75.67, 1.0787, 74.03, 91.20
87, 1.0347, 75.70, 1.0789, 74.03, 91.16
88, 1.0357, 75.71, 1.0792, 74.09, 91.19
89, 1.0357, 75.70, 1.0792, 74.01, 91.20

Final Results:
Max Accuracy: 74.09%
Final Val Acc1: 74.01%
Final Val Acc5: 91.20%
Total Training Time: 16:51:59
