Training Log
Model: vit_base_patch16
Model Details: /scratch/project_465003083/psomasva/checkpoints/converted_checkpoints/vit_base_patch16_224.ibot/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.1396, 10.23, 4.4938, 32.57, 56.62
1, 3.1318, 47.59, 2.1245, 59.05, 83.40
2, 1.7990, 62.94, 1.4343, 67.54, 89.03
3, 1.3642, 69.22, 1.1455, 72.32, 91.58
4, 1.1520, 72.85, 1.0168, 74.60, 92.72
5, 1.0620, 74.54, 0.9586, 75.72, 93.17
6, 1.0104, 75.53, 0.9281, 76.38, 93.43
7, 0.9698, 76.32, 0.8989, 76.91, 93.75
8, 0.9298, 77.10, 0.8740, 77.44, 94.09
9, 0.8924, 77.85, 0.8443, 77.96, 94.36
10, 0.8571, 78.53, 0.8302, 78.30, 94.44
11, 0.8268, 79.18, 0.8130, 78.79, 94.60
12, 0.8031, 79.66, 0.8096, 78.67, 94.69
13, 0.7832, 80.03, 0.8016, 78.95, 94.81
14, 0.7656, 80.39, 0.8008, 78.97, 94.72
15, 0.7523, 80.70, 0.8032, 78.98, 94.70
16, 0.7383, 80.97, 0.8060, 78.77, 94.73
17, 0.7303, 81.14, 0.8075, 78.90, 94.68
18, 0.7202, 81.37, 0.8071, 78.75, 94.75
19, 0.7124, 81.58, 0.8102, 78.74, 94.75
20, 0.7038, 81.73, 0.8131, 78.70, 94.62
21, 0.6976, 81.86, 0.8133, 78.81, 94.69
22, 0.6908, 82.05, 0.8239, 78.43, 94.55
23, 0.6835, 82.16, 0.8253, 78.68, 94.57
24, 0.6785, 82.33, 0.8258, 78.66, 94.54
25, 0.6730, 82.40, 0.8330, 78.65, 94.51
26, 0.6686, 82.51, 0.8331, 78.64, 94.44
27, 0.6619, 82.68, 0.8363, 78.54, 94.51
28, 0.6581, 82.74, 0.8407, 78.45, 94.49
29, 0.6540, 82.83, 0.8416, 78.43, 94.45
30, 0.6493, 82.95, 0.8391, 78.43, 94.50
31, 0.6446, 83.07, 0.8468, 78.44, 94.45
32, 0.6416, 83.14, 0.8472, 78.36, 94.38
33, 0.6359, 83.27, 0.8518, 78.38, 94.39
34, 0.6316, 83.42, 0.8549, 78.33, 94.33
35, 0.6273, 83.49, 0.8549, 78.15, 94.41
36, 0.6257, 83.56, 0.8604, 78.23, 94.37
37, 0.6202, 83.67, 0.8591, 78.36, 94.31
38, 0.6165, 83.76, 0.8564, 78.38, 94.35
39, 0.6129, 83.86, 0.8586, 78.39, 94.36
40, 0.6090, 83.91, 0.8626, 78.28, 94.27
41, 0.6053, 84.08, 0.8609, 78.28, 94.38
42, 0.6029, 84.08, 0.8642, 78.32, 94.30
43, 0.5966, 84.29, 0.8643, 78.22, 94.27
44, 0.5925, 84.37, 0.8625, 78.48, 94.31
45, 0.5883, 84.48, 0.8661, 78.38, 94.31
46, 0.5861, 84.54, 0.8651, 78.26, 94.21
47, 0.5805, 84.66, 0.8656, 78.24, 94.29
48, 0.5767, 84.79, 0.8660, 78.19, 94.21
49, 0.5748, 84.86, 0.8693, 78.26, 94.21
50, 0.5697, 84.95, 0.8672, 78.39, 94.22
51, 0.5654, 85.07, 0.8664, 78.33, 94.28
52, 0.5614, 85.17, 0.8687, 78.24, 94.24
53, 0.5593, 85.26, 0.8628, 78.51, 94.24
54, 0.5545, 85.42, 0.8722, 78.36, 94.19
55, 0.5497, 85.47, 0.8688, 78.22, 94.26
56, 0.5488, 85.60, 0.8651, 78.42, 94.29
57, 0.5451, 85.63, 0.8665, 78.36, 94.23
58, 0.5403, 85.78, 0.8645, 78.39, 94.22
59, 0.5381, 85.85, 0.8709, 78.32, 94.21
60, 0.5319, 85.99, 0.8719, 78.23, 94.24
61, 0.5313, 86.06, 0.8671, 78.42, 94.18
62, 0.5277, 86.12, 0.8693, 78.41, 94.22
63, 0.5246, 86.26, 0.8637, 78.50, 94.23
64, 0.5233, 86.29, 0.8638, 78.53, 94.25
65, 0.5187, 86.44, 0.8654, 78.42, 94.23
66, 0.5173, 86.46, 0.8610, 78.51, 94.22
