Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.ibot/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.1411, 10.19, 4.4980, 32.47, 56.45
1, 3.1384, 47.44, 2.1320, 58.91, 83.28
2, 1.8062, 62.80, 1.4399, 67.43, 89.00
3, 1.3686, 69.15, 1.1469, 72.33, 91.57
4, 1.1538, 72.83, 1.0176, 74.62, 92.72
5, 1.0642, 74.52, 0.9595, 75.77, 93.17
6, 1.0148, 75.48, 0.9305, 76.32, 93.42
7, 0.9816, 76.14, 0.9073, 76.82, 93.66
8, 0.9557, 76.66, 0.8957, 77.01, 93.84
9, 0.9366, 77.03, 0.8792, 77.26, 93.96
10, 0.9159, 77.44, 0.8710, 77.49, 94.12
11, 0.8943, 77.93, 0.8574, 77.87, 94.18
12, 0.8762, 78.31, 0.8537, 77.90, 94.34
13, 0.8591, 78.66, 0.8462, 78.16, 94.36
14, 0.8441, 78.90, 0.8433, 78.16, 94.35
15, 0.8318, 79.22, 0.8454, 78.14, 94.32
16, 0.8196, 79.45, 0.8458, 78.02, 94.36
17, 0.8116, 79.62, 0.8476, 78.04, 94.35
18, 0.8007, 79.88, 0.8465, 78.06, 94.34
19, 0.7943, 80.03, 0.8466, 77.92, 94.36
20, 0.7862, 80.17, 0.8515, 77.91, 94.31
21, 0.7803, 80.28, 0.8510, 78.01, 94.36
22, 0.7726, 80.48, 0.8583, 77.93, 94.24
23, 0.7660, 80.59, 0.8573, 77.90, 94.21
24, 0.7604, 80.72, 0.8591, 77.81, 94.33
25, 0.7556, 80.82, 0.8649, 77.91, 94.28
26, 0.7515, 80.94, 0.8590, 78.07, 94.24
27, 0.7442, 81.13, 0.8679, 77.96, 94.23
28, 0.7406, 81.17, 0.8723, 77.75, 94.19
29, 0.7358, 81.30, 0.8733, 77.80, 94.10
30, 0.7318, 81.35, 0.8726, 77.66, 94.14
31, 0.7270, 81.50, 0.8752, 77.82, 94.14
32, 0.7244, 81.56, 0.8752, 77.82, 94.18
33, 0.7186, 81.70, 0.8785, 77.91, 94.07
34, 0.7138, 81.82, 0.8825, 77.46, 93.98
35, 0.7095, 81.89, 0.8789, 77.63, 94.03
36, 0.7073, 81.96, 0.8867, 77.68, 94.10
37, 0.7014, 82.10, 0.8843, 77.82, 94.06
38, 0.6986, 82.18, 0.8835, 77.76, 94.11
39, 0.6935, 82.30, 0.8859, 77.66, 93.99
40, 0.6922, 82.34, 0.8847, 77.78, 94.13
41, 0.6872, 82.44, 0.8828, 77.82, 94.13
42, 0.6841, 82.55, 0.8887, 77.64, 94.06
43, 0.6779, 82.69, 0.8869, 77.80, 94.09
44, 0.6736, 82.83, 0.8839, 77.82, 94.15
45, 0.6695, 82.89, 0.8895, 77.79, 94.04
46, 0.6669, 82.97, 0.8814, 77.95, 94.07
47, 0.6617, 83.06, 0.8844, 77.91, 94.09
48, 0.6577, 83.17, 0.8845, 77.76, 94.09
49, 0.6540, 83.28, 0.8859, 77.88, 94.01
50, 0.6496, 83.36, 0.8857, 77.84, 94.10
51, 0.6463, 83.48, 0.8831, 77.99, 94.11
52, 0.6412, 83.61, 0.8830, 78.03, 94.06
53, 0.6392, 83.69, 0.8808, 77.91, 94.13
