k-NN Evaluation
Model: iBOT ViT-B/16
Representation: cls
Protocol: features L2-normalised, cosine similarity, ImageNet-1k train as the database and val as queries
features: 'raw' is the backbone output as the probe sees it; 'final_norm' additionally applies the encoder's final LayerNorm, which forward_features skips and which the LP head otherwise absorbs into its own learned BatchNorm
features, T, k, Top1, Top5
raw, 0.07, 5, 72.69, 85.40
raw, 0.07, 10, 73.46, 88.36
raw, 0.07, 15, 73.58, 89.55
raw, 0.07, 20, 73.45, 90.10
raw, 0.07, 50, 73.14, 91.46
raw, 0.07, 100, 72.64, 91.92
raw, 0.07, 200, 72.27, 92.19
raw, 0.1, 5, 72.64, 85.40
raw, 0.1, 10, 73.34, 88.36
raw, 0.1, 15, 73.42, 89.56
raw, 0.1, 20, 73.29, 90.14
raw, 0.1, 50, 72.63, 91.54
raw, 0.1, 100, 71.92, 91.95
raw, 0.1, 200, 71.24, 92.15
raw, 0.2, 5, 72.50, 85.40
raw, 0.2, 10, 73.02, 88.36
raw, 0.2, 15, 72.96, 89.56
raw, 0.2, 20, 72.76, 90.14
raw, 0.2, 50, 71.89, 91.46
raw, 0.2, 100, 70.78, 91.74
raw, 0.2, 200, 69.60, 91.84
final_norm, 0.07, 5, 72.51, 85.25
final_norm, 0.07, 10, 73.19, 88.21
final_norm, 0.07, 15, 73.20, 89.48
final_norm, 0.07, 20, 73.12, 90.14
final_norm, 0.07, 50, 72.67, 91.38
final_norm, 0.07, 100, 72.14, 91.80
final_norm, 0.07, 200, 71.72, 91.91
final_norm, 0.1, 5, 72.50, 85.25
final_norm, 0.1, 10, 73.07, 88.21
final_norm, 0.1, 15, 72.95, 89.50
final_norm, 0.1, 20, 72.92, 90.17
final_norm, 0.1, 50, 72.06, 91.44
final_norm, 0.1, 100, 71.31, 91.78
final_norm, 0.1, 200, 70.59, 91.79
final_norm, 0.2, 5, 72.36, 85.25
final_norm, 0.2, 10, 72.81, 88.21
final_norm, 0.2, 15, 72.61, 89.50
final_norm, 0.2, 20, 72.45, 90.17
final_norm, 0.2, 50, 71.30, 91.37
final_norm, 0.2, 100, 70.14, 91.57
final_norm, 0.2, 200, 68.92, 91.42

Best: Top1 73.58% with raw features at k=15, T=0.07
Top5: 89.55%
