Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.ibot/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4250, 8.51, 5.1563, 37.28, 56.34
1, 3.3777, 58.32, 1.9531, 69.08, 89.79
2, 1.4605, 72.35, 1.1820, 74.74, 92.53
3, 1.1075, 75.42, 1.0067, 76.60, 93.41
4, 0.9930, 76.94, 0.9314, 77.61, 93.84
5, 0.9308, 77.85, 0.8888, 78.12, 94.13
6, 0.8891, 78.50, 0.8628, 78.47, 94.35
7, 0.8587, 78.97, 0.8485, 78.45, 94.46
8, 0.8362, 79.25, 0.8417, 78.57, 94.44
9, 0.8200, 79.49, 0.8318, 78.74, 94.51
10, 0.8066, 79.68, 0.8345, 78.42, 94.51
11, 0.7950, 79.88, 0.8342, 78.48, 94.51
12, 0.7851, 80.07, 0.8359, 78.35, 94.39
13, 0.7771, 80.20, 0.8379, 78.49, 94.41
14, 0.7697, 80.31, 0.8383, 78.49, 94.43
15, 0.7645, 80.43, 0.8410, 78.38, 94.38
16, 0.7620, 80.44, 0.8418, 78.28, 94.37
17, 0.7597, 80.48, 0.8473, 78.15, 94.32
18, 0.7546, 80.63, 0.8472, 78.23, 94.24
19, 0.7527, 80.66, 0.8514, 78.22, 94.27
20, 0.7515, 80.61, 0.8503, 78.27, 94.29
21, 0.7492, 80.70, 0.8548, 78.20, 94.26
22, 0.7456, 80.72, 0.8555, 77.97, 94.18
23, 0.7444, 80.77, 0.8614, 77.97, 94.20
24, 0.7435, 80.77, 0.8613, 78.08, 94.15
25, 0.7425, 80.82, 0.8624, 77.84, 94.19
26, 0.7395, 80.90, 0.8653, 77.94, 94.14
27, 0.7395, 80.90, 0.8665, 77.87, 94.09
28, 0.7373, 80.91, 0.8662, 77.89, 94.13
29, 0.7373, 80.91, 0.8675, 77.81, 94.08
30, 0.7345, 80.98, 0.8677, 77.90, 94.03
31, 0.7322, 81.05, 0.8676, 77.81, 94.09
32, 0.7338, 81.01, 0.8694, 77.97, 94.06
33, 0.7291, 81.10, 0.8707, 77.81, 94.05
34, 0.7288, 81.09, 0.8720, 77.88, 94.03
35, 0.7276, 81.14, 0.8712, 77.76, 94.02
36, 0.7259, 81.17, 0.8759, 77.84, 94.05
37, 0.7246, 81.23, 0.8759, 77.72, 94.08
38, 0.7224, 81.26, 0.8790, 77.67, 94.05
39, 0.7205, 81.32, 0.8747, 77.75, 93.98
40, 0.7209, 81.31, 0.8733, 77.77, 93.97
41, 0.7173, 81.34, 0.8733, 77.76, 93.96
42, 0.7148, 81.45, 0.8782, 77.66, 93.98
43, 0.7129, 81.45, 0.8741, 77.81, 94.07
44, 0.7119, 81.48, 0.8703, 77.83, 93.98
45, 0.7097, 81.52, 0.8756, 77.83, 94.00
46, 0.7092, 81.57, 0.8698, 77.99, 93.91
47, 0.7059, 81.64, 0.8689, 77.87, 94.00
48, 0.7053, 81.65, 0.8718, 77.72, 94.02
49, 0.7026, 81.71, 0.8665, 77.93, 94.06
50, 0.7027, 81.70, 0.8664, 77.89, 94.06
51, 0.6986, 81.82, 0.8672, 77.82, 94.02
52, 0.6975, 81.86, 0.8693, 77.91, 94.00
53, 0.6963, 81.87, 0.8647, 78.02, 93.97
54, 0.6934, 81.97, 0.8687, 77.89, 93.98
55, 0.6918, 82.00, 0.8652, 77.97, 94.03
56, 0.6906, 82.02, 0.8633, 77.99, 93.99
57, 0.6897, 82.03, 0.8640, 78.00, 93.98
58, 0.6852, 82.16, 0.8639, 78.00, 94.05
59, 0.6840, 82.19, 0.8658, 77.94, 94.00
60, 0.6831, 82.22, 0.8640, 77.90, 94.05
61, 0.6823, 82.23, 0.8604, 78.07, 94.05
62, 0.6795, 82.32, 0.8614, 78.09, 94.05
63, 0.6764, 82.38, 0.8602, 77.98, 94.08
