Training Log
Model: vit_large_patch16
Model Details: <checkpoints>/vit_large_patch16_224.ibot/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.1386, 9.40, 4.5103, 31.60, 54.66
1, 3.0930, 48.19, 1.9719, 61.56, 84.44
2, 1.5862, 66.93, 1.1719, 72.69, 91.51
3, 1.1114, 74.20, 0.9417, 76.51, 93.46
4, 0.9691, 76.66, 0.8651, 78.06, 94.21
5, 0.9063, 77.89, 0.8292, 78.75, 94.49
6, 0.8689, 78.61, 0.8094, 79.02, 94.77
7, 0.8425, 79.07, 0.7952, 79.40, 94.81
8, 0.8217, 79.50, 0.7911, 79.30, 94.97
9, 0.8073, 79.74, 0.7828, 79.51, 95.00
10, 0.7909, 80.11, 0.7770, 79.51, 95.04
11, 0.7713, 80.55, 0.7736, 79.73, 95.10
12, 0.7514, 80.97, 0.7686, 79.76, 95.25
13, 0.7371, 81.29, 0.7682, 79.96, 95.14
14, 0.7209, 81.57, 0.7740, 79.77, 95.19
15, 0.7077, 81.91, 0.7720, 79.97, 95.20
16, 0.6964, 82.14, 0.7802, 79.55, 95.18
17, 0.6850, 82.39, 0.7851, 79.53, 95.14
18, 0.6768, 82.60, 0.7801, 79.81, 95.15
19, 0.6650, 82.84, 0.7842, 79.68, 95.15
20, 0.6560, 83.05, 0.7907, 79.75, 95.08
21, 0.6485, 83.23, 0.7935, 79.64, 95.03
22, 0.6400, 83.44, 0.7998, 79.56, 94.90
23, 0.6353, 83.54, 0.8039, 79.71, 95.04
24, 0.6252, 83.78, 0.8102, 79.33, 94.91
25, 0.6209, 83.91, 0.8159, 79.39, 94.89
26, 0.6153, 84.04, 0.8230, 79.39, 94.84
27, 0.6099, 84.19, 0.8289, 79.06, 94.84
28, 0.6043, 84.29, 0.8333, 79.16, 94.76
29, 0.5983, 84.44, 0.8357, 79.33, 94.77
30, 0.5922, 84.58, 0.8366, 79.21, 94.75
31, 0.5872, 84.73, 0.8404, 79.26, 94.68
32, 0.5842, 84.82, 0.8475, 79.03, 94.66
33, 0.5760, 85.01, 0.8468, 79.14, 94.67
34, 0.5737, 85.08, 0.8520, 79.10, 94.67
35, 0.5692, 85.20, 0.8539, 79.23, 94.55
36, 0.5646, 85.32, 0.8542, 79.03, 94.61
37, 0.5597, 85.45, 0.8579, 79.14, 94.55
38, 0.5547, 85.59, 0.8596, 79.04, 94.59
39, 0.5506, 85.68, 0.8631, 79.03, 94.52
40, 0.5450, 85.83, 0.8637, 79.05, 94.52
41, 0.5409, 85.94, 0.8594, 79.14, 94.56
42, 0.5382, 86.03, 0.8645, 78.93, 94.62
43, 0.5329, 86.14, 0.8676, 79.12, 94.51
44, 0.5274, 86.31, 0.8635, 79.11, 94.54
45, 0.5238, 86.44, 0.8656, 79.25, 94.59
46, 0.5166, 86.58, 0.8635, 79.42, 94.62
47, 0.5128, 86.69, 0.8668, 79.16, 94.52
48, 0.5099, 86.80, 0.8719, 78.97, 94.50
49, 0.5047, 86.97, 0.8706, 79.16, 94.56
50, 0.5008, 87.06, 0.8680, 79.07, 94.61
51, 0.4969, 87.14, 0.8708, 79.15, 94.52
52, 0.4920, 87.30, 0.8721, 79.14, 94.55
53, 0.4875, 87.44, 0.8699, 79.24, 94.54
54, 0.4834, 87.57, 0.8720, 79.27, 94.63
55, 0.4806, 87.64, 0.8717, 79.18, 94.58
56, 0.4752, 87.77, 0.8674, 79.27, 94.62
57, 0.4705, 87.89, 0.8687, 79.11, 94.61
58, 0.4679, 88.00, 0.8702, 79.15, 94.60
59, 0.4634, 88.11, 0.8696, 79.13, 94.67
60, 0.4593, 88.23, 0.8693, 79.24, 94.58
61, 0.4557, 88.32, 0.8664, 79.27, 94.60
62, 0.4533, 88.42, 0.8673, 79.32, 94.61
63, 0.4478, 88.57, 0.8631, 79.29, 94.63
64, 0.4466, 88.63, 0.8628, 79.26, 94.67
65, 0.4420, 88.77, 0.8662, 79.32, 94.61
66, 0.4388, 88.86, 0.8597, 79.25, 94.61
67, 0.4358, 88.97, 0.8620, 79.33, 94.63
68, 0.4331, 89.04, 0.8633, 79.42, 94.58
69, 0.4326, 89.11, 0.8619, 79.36, 94.66
70, 0.4274, 89.21, 0.8594, 79.42, 94.65
71, 0.4262, 89.27, 0.8582, 79.47, 94.61
72, 0.4231, 89.38, 0.8605, 79.41, 94.63
73, 0.4223, 89.41, 0.8577, 79.47, 94.64
74, 0.4195, 89.48, 0.8560, 79.43, 94.67
75, 0.4170, 89.57, 0.8580, 79.47, 94.64
76, 0.4142, 89.64, 0.8574, 79.45, 94.66
77, 0.4123, 89.72, 0.8562, 79.48, 94.63
78, 0.4113, 89.72, 0.8573, 79.44, 94.67
79, 0.4110, 89.76, 0.8577, 79.43, 94.70
80, 0.4088, 89.84, 0.8568, 79.41, 94.71
81, 0.4087, 89.83, 0.8563, 79.45, 94.71
82, 0.4053, 89.93, 0.8557, 79.42, 94.71
83, 0.4058, 89.92, 0.8566, 79.42, 94.69
84, 0.4052, 89.91, 0.8555, 79.43, 94.69
85, 0.4045, 89.94, 0.8557, 79.44, 94.69
86, 0.4033, 89.98, 0.8545, 79.46, 94.67
87, 0.4045, 89.97, 0.8553, 79.46, 94.69
88, 0.4033, 90.00, 0.8540, 79.43, 94.70
89, 0.4053, 89.96, 0.8564, 79.43, 94.69

Final Results:
Max Accuracy: 79.97%
Final Val Acc1: 79.43%
Final Val Acc5: 94.69%
Total Training Time: 20:46:26
