Training Log
Model: vit_large_patch16
Model Details: <checkpoints>/vit_large_patch16_224.ibot/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2421, 12.84, 4.6674, 47.49, 67.64
1, 2.8088, 63.29, 1.5966, 71.97, 91.78
2, 1.2712, 74.17, 1.0703, 76.47, 93.68
3, 1.0277, 76.93, 0.9280, 78.20, 94.44
4, 0.9282, 78.36, 0.8587, 78.99, 94.88
5, 0.8711, 79.16, 0.8164, 79.64, 95.10
6, 0.8269, 79.82, 0.7908, 79.87, 95.27
7, 0.7973, 80.26, 0.7737, 80.11, 95.32
8, 0.7731, 80.65, 0.7632, 80.25, 95.43
9, 0.7530, 80.93, 0.7537, 80.54, 95.47
10, 0.7380, 81.18, 0.7573, 80.38, 95.48
11, 0.7250, 81.43, 0.7553, 80.45, 95.40
12, 0.7120, 81.64, 0.7501, 80.43, 95.39
13, 0.7016, 81.87, 0.7486, 80.41, 95.36
14, 0.6936, 82.03, 0.7545, 80.37, 95.35
15, 0.6859, 82.14, 0.7532, 80.37, 95.34
16, 0.6803, 82.23, 0.7589, 80.27, 95.25
17, 0.6751, 82.33, 0.7616, 80.20, 95.31
18, 0.6725, 82.39, 0.7637, 80.27, 95.31
19, 0.6662, 82.51, 0.7629, 80.21, 95.23
20, 0.6624, 82.61, 0.7666, 80.11, 95.20
21, 0.6602, 82.62, 0.7647, 80.31, 95.17
22, 0.6582, 82.67, 0.7722, 79.89, 95.14
23, 0.6553, 82.73, 0.7746, 80.16, 95.20
24, 0.6508, 82.81, 0.7750, 80.04, 95.06
25, 0.6510, 82.85, 0.7794, 79.91, 95.16
26, 0.6485, 82.88, 0.7808, 80.08, 95.09
27, 0.6456, 82.95, 0.7852, 79.84, 95.05
28, 0.6448, 82.96, 0.7831, 79.66, 95.10
29, 0.6410, 83.06, 0.7882, 79.72, 95.06
30, 0.6399, 83.08, 0.7895, 79.78, 95.03
31, 0.6374, 83.09, 0.7934, 79.82, 95.00
32, 0.6379, 83.12, 0.7939, 79.72, 94.98
33, 0.6334, 83.21, 0.7928, 79.82, 94.98
34, 0.6340, 83.23, 0.7931, 79.84, 94.94
35, 0.6302, 83.33, 0.7953, 79.76, 94.93
36, 0.6282, 83.34, 0.7984, 79.87, 94.86
37, 0.6265, 83.39, 0.8001, 79.74, 94.91
38, 0.6244, 83.44, 0.7981, 79.68, 94.91
39, 0.6228, 83.48, 0.8027, 79.64, 94.92
40, 0.6222, 83.51, 0.8008, 79.71, 94.87
41, 0.6206, 83.51, 0.7983, 79.84, 94.87
42, 0.6175, 83.63, 0.8026, 79.70, 94.93
43, 0.6151, 83.67, 0.7995, 79.71, 94.90
44, 0.6130, 83.74, 0.7972, 79.95, 94.92
45, 0.6123, 83.74, 0.7988, 79.87, 94.86
46, 0.6099, 83.78, 0.7970, 79.82, 94.88
47, 0.6066, 83.89, 0.7949, 79.86, 94.93
48, 0.6058, 83.91, 0.7983, 79.69, 94.87
49, 0.6023, 83.97, 0.7957, 79.73, 94.92
50, 0.5999, 84.03, 0.7959, 79.79, 94.97
51, 0.5979, 84.10, 0.7945, 79.76, 94.93
52, 0.5947, 84.16, 0.7933, 79.86, 94.88
53, 0.5945, 84.16, 0.7948, 79.71, 94.89
54, 0.5928, 84.21, 0.7929, 79.85, 94.88
55, 0.5896, 84.28, 0.7966, 79.68, 94.86
56, 0.5889, 84.34, 0.7913, 79.90, 94.96
57, 0.5853, 84.42, 0.7930, 79.81, 94.88
58, 0.5837, 84.44, 0.7904, 79.79, 94.92
59, 0.5817, 84.49, 0.7915, 79.86, 94.92
60, 0.5793, 84.58, 0.7922, 79.77, 94.95
61, 0.5782, 84.62, 0.7880, 79.99, 94.93
62, 0.5759, 84.68, 0.7889, 79.90, 94.94
63, 0.5746, 84.70, 0.7851, 79.88, 94.99
64, 0.5723, 84.72, 0.7843, 79.99, 94.99
65, 0.5702, 84.78, 0.7852, 80.00, 94.94
66, 0.5678, 84.86, 0.7819, 79.99, 94.98
67, 0.5674, 84.92, 0.7836, 79.97, 94.97
68, 0.5679, 84.87, 0.7809, 80.09, 94.96
69, 0.5659, 84.94, 0.7807, 80.05, 94.98
70, 0.5636, 85.04, 0.7793, 80.07, 94.99
71, 0.5604, 85.08, 0.7788, 80.03, 94.96
72, 0.5603, 85.10, 0.7771, 80.17, 95.01
73, 0.5586, 85.17, 0.7767, 80.09, 94.98
74, 0.5572, 85.21, 0.7771, 80.09, 95.00
75, 0.5557, 85.24, 0.7768, 80.05, 95.01
76, 0.5557, 85.24, 0.7756, 80.07, 94.97
77, 0.5530, 85.31, 0.7754, 80.16, 95.03
78, 0.5528, 85.34, 0.7765, 80.11, 95.00
79, 0.5517, 85.33, 0.7752, 80.19, 95.02
80, 0.5505, 85.39, 0.7743, 80.13, 95.00
81, 0.5503, 85.40, 0.7737, 80.16, 95.01
82, 0.5510, 85.38, 0.7746, 80.19, 95.03
83, 0.5487, 85.46, 0.7740, 80.24, 95.01
84, 0.5494, 85.40, 0.7747, 80.17, 94.98
85, 0.5489, 85.47, 0.7741, 80.17, 95.00
86, 0.5473, 85.49, 0.7744, 80.20, 95.01
87, 0.5482, 85.49, 0.7742, 80.16, 95.02
88, 0.5484, 85.47, 0.7739, 80.17, 95.01
89, 0.5477, 85.47, 0.7747, 80.16, 95.01

Final Results:
Max Accuracy: 80.54%
Final Val Acc1: 80.16%
Final Val Acc5: 95.01%
Total Training Time: 20:20:21
