Training Log
Model: vit_huge_patch14
Model Details: /scratch/project_465003083/psomasva/checkpoints/converted_checkpoints/vit_huge_patch14_224.ijepa/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 128
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,960,360
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.8137, 21.88, 3.5140, 61.44, 79.03
1, 1.9828, 69.20, 1.3237, 72.58, 89.40
2, 1.2084, 74.10, 1.0928, 75.05, 91.20
3, 1.0729, 75.82, 1.0048, 76.11, 92.06
4, 1.0004, 76.82, 0.9478, 76.93, 92.71
5, 0.9500, 77.60, 0.9132, 77.52, 93.06
6, 0.9140, 78.15, 0.8924, 77.87, 93.32
7, 0.8868, 78.55, 0.8759, 77.89, 93.48
8, 0.8687, 78.80, 0.8729, 78.08, 93.54
9, 0.8542, 79.01, 0.8551, 78.39, 93.73
10, 0.8384, 79.29, 0.8557, 78.20, 93.79
11, 0.8222, 79.57, 0.8447, 78.36, 93.89
12, 0.8083, 79.87, 0.8365, 78.64, 94.01
13, 0.7922, 80.14, 0.8352, 78.76, 93.99
14, 0.7801, 80.40, 0.8337, 78.63, 93.99
15, 0.7676, 80.62, 0.8308, 78.82, 94.07
16, 0.7557, 80.86, 0.8316, 78.75, 94.04
17, 0.7438, 81.11, 0.8357, 78.83, 93.96
18, 0.7312, 81.34, 0.8278, 78.93, 94.13
19, 0.7231, 81.54, 0.8365, 78.80, 94.09
20, 0.7107, 81.74, 0.8380, 78.73, 94.03
21, 0.7030, 81.92, 0.8313, 79.00, 94.07
22, 0.6948, 82.18, 0.8440, 78.58, 94.04
23, 0.6851, 82.31, 0.8426, 78.66, 93.99
24, 0.6782, 82.48, 0.8466, 78.63, 94.01
25, 0.6715, 82.59, 0.8474, 78.84, 93.94
26, 0.6614, 82.86, 0.8542, 78.64, 93.97
27, 0.6565, 83.00, 0.8569, 78.49, 93.90
28, 0.6468, 83.17, 0.8622, 78.51, 93.87
29, 0.6407, 83.32, 0.8666, 78.47, 93.98
30, 0.6377, 83.43, 0.8632, 78.63, 93.94
31, 0.6311, 83.60, 0.8714, 78.60, 93.92
32, 0.6224, 83.76, 0.8772, 78.46, 93.94
33, 0.6164, 83.97, 0.8759, 78.40, 93.87
34, 0.6102, 84.07, 0.8849, 78.36, 93.80
35, 0.6057, 84.24, 0.8835, 78.47, 93.76
36, 0.5992, 84.36, 0.8937, 78.34, 93.69
37, 0.5954, 84.46, 0.8865, 78.47, 93.74
38, 0.5863, 84.67, 0.8947, 78.26, 93.76
39, 0.5815, 84.83, 0.8965, 78.17, 93.64
40, 0.5789, 84.90, 0.8975, 78.39, 93.68
41, 0.5722, 85.06, 0.8971, 78.43, 93.73
42, 0.5672, 85.16, 0.8962, 78.41, 93.75
