Training Log
Model: vit_huge_patch14
Model Details: /scratch/project_465003083/psomasva/checkpoints/converted_checkpoints/vit_huge_patch14_224.ijepa/checkpoint-799.pth
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 128
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,281,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4656, 8.24, 5.2183, 41.18, 57.66
1, 3.4097, 60.58, 1.9765, 68.35, 85.49
2, 1.5737, 71.23, 1.3365, 72.76, 89.00
3, 1.2681, 73.84, 1.1730, 74.50, 90.33
4, 1.1540, 75.13, 1.0919, 75.39, 91.02
5, 1.0853, 76.04, 1.0448, 75.93, 91.47
6, 1.0404, 76.60, 1.0117, 76.40, 91.75
7, 1.0049, 77.06, 0.9897, 76.55, 91.98
8, 0.9762, 77.43, 0.9718, 76.77, 92.19
9, 0.9556, 77.67, 0.9615, 76.98, 92.27
10, 0.9406, 77.87, 0.9545, 76.87, 92.38
11, 0.9213, 78.15, 0.9481, 76.91, 92.45
12, 0.9092, 78.31, 0.9401, 77.12, 92.62
13, 0.8979, 78.49, 0.9350, 77.22, 92.60
14, 0.8888, 78.61, 0.9379, 77.00, 92.63
15, 0.8784, 78.77, 0.9322, 77.13, 92.68
16, 0.8721, 78.90, 0.9361, 77.12, 92.60
17, 0.8653, 78.97, 0.9376, 77.33, 92.60
18, 0.8603, 79.07, 0.9307, 77.25, 92.65
19, 0.8533, 79.15, 0.9314, 77.25, 92.79
20, 0.8509, 79.20, 0.9351, 77.23, 92.61
21, 0.8469, 79.28, 0.9349, 77.01, 92.64
22, 0.8404, 79.39, 0.9364, 77.11, 92.68
23, 0.8377, 79.44, 0.9351, 77.17, 92.63
24, 0.8349, 79.45, 0.9381, 77.07, 92.63
25, 0.8315, 79.51, 0.9381, 77.15, 92.66
26, 0.8290, 79.58, 0.9430, 77.05, 92.67
27, 0.8258, 79.63, 0.9420, 77.13, 92.67
28, 0.8236, 79.67, 0.9463, 77.14, 92.59
29, 0.8228, 79.68, 0.9496, 76.90, 92.53
30, 0.8186, 79.76, 0.9448, 76.99, 92.54
31, 0.8162, 79.84, 0.9415, 77.25, 92.65
32, 0.8132, 79.88, 0.9489, 76.97, 92.62
33, 0.8125, 79.90, 0.9416, 77.10, 92.66
34, 0.8082, 79.97, 0.9471, 77.15, 92.61
35, 0.8050, 80.03, 0.9431, 77.14, 92.60
36, 0.8010, 80.12, 0.9443, 77.25, 92.65
37, 0.8017, 80.09, 0.9467, 77.23, 92.64
38, 0.7965, 80.17, 0.9440, 77.25, 92.64
39, 0.7950, 80.23, 0.9408, 77.49, 92.58
40, 0.7925, 80.31, 0.9447, 77.26, 92.60
41, 0.7897, 80.34, 0.9401, 77.28, 92.64
42, 0.7860, 80.40, 0.9451, 77.18, 92.69
43, 0.7834, 80.43, 0.9443, 77.32, 92.62
44, 0.7814, 80.54, 0.9432, 77.38, 92.78
45, 0.7807, 80.58, 0.9378, 77.45, 92.71
46, 0.7753, 80.64, 0.9376, 77.22, 92.78
47, 0.7718, 80.70, 0.9361, 77.52, 92.70
48, 0.7700, 80.78, 0.9347, 77.39, 92.76
49, 0.7681, 80.80, 0.9292, 77.50, 92.76
50, 0.7638, 80.88, 0.9321, 77.57, 92.69
51, 0.7611, 80.96, 0.9308, 77.54, 92.76
52, 0.7566, 81.04, 0.9324, 77.38, 92.75
53, 0.7552, 81.08, 0.9297, 77.54, 92.79
54, 0.7523, 81.16, 0.9297, 77.43, 92.81
55, 0.7500, 81.21, 0.9264, 77.56, 92.81
56, 0.7464, 81.34, 0.9270, 77.59, 92.85
57, 0.7443, 81.31, 0.9235, 77.72, 92.82
58, 0.7406, 81.39, 0.9231, 77.57, 92.80
59, 0.7381, 81.46, 0.9224, 77.62, 92.78
60, 0.7338, 81.57, 0.9200, 77.79, 92.82
