Training Log
Model: vit_base_patch16
Model Details: vit_base_patch16_224.mae
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4413, 4.13, 5.2951, 16.21, 34.09
1, 4.0875, 31.43, 2.8502, 46.55, 71.77
2, 2.5080, 50.75, 1.9269, 57.78, 81.49
3, 1.9370, 58.19, 1.6233, 62.22, 84.78
4, 1.7074, 61.83, 1.5606, 62.98, 85.06
5, 1.5931, 63.89, 1.4619, 64.86, 86.43
6, 1.5256, 65.15, 1.5359, 63.37, 85.14
7, 1.4727, 66.10, 1.4827, 64.36, 85.96
8, 1.4253, 67.04, 1.4668, 64.83, 86.09
9, 1.3823, 67.88, 1.4292, 65.78, 86.75
10, 1.3405, 68.72, 1.4674, 64.94, 86.11
11, 1.3081, 69.42, 1.4031, 66.57, 87.18
12, 1.2759, 70.12, 1.3396, 68.03, 87.94
13, 1.2508, 70.60, 1.3411, 67.86, 87.96
14, 1.2307, 70.99, 1.3753, 66.98, 87.53
15, 1.2123, 71.40, 1.3033, 68.46, 88.47
16, 1.1981, 71.71, 1.3098, 68.58, 88.27
17, 1.1841, 72.02, 1.3270, 68.11, 88.13
18, 1.1731, 72.21, 1.3123, 68.43, 88.22
19, 1.1616, 72.47, 1.2945, 68.93, 88.76
20, 1.1538, 72.60, 1.3100, 68.66, 88.62
21, 1.1476, 72.74, 1.2551, 69.51, 89.06
22, 1.1384, 72.92, 1.2926, 68.89, 88.88
23, 1.1312, 73.03, 1.3000, 69.00, 88.76
24, 1.1248, 73.24, 1.3053, 69.41, 88.55
25, 1.1169, 73.37, 1.2825, 69.65, 89.25
26, 1.1091, 73.53, 1.2556, 69.59, 89.30
27, 1.1039, 73.64, 1.2787, 69.57, 89.17
28, 1.1007, 73.71, 1.2716, 69.68, 89.00
29, 1.0943, 73.82, 1.2438, 70.39, 89.47
30, 1.0901, 73.94, 1.2784, 69.31, 88.95
31, 1.0846, 74.04, 1.2281, 70.69, 89.57
32, 1.0784, 74.15, 1.2366, 70.68, 89.58
33, 1.0740, 74.26, 1.2264, 70.92, 89.77
34, 1.0672, 74.40, 1.2221, 70.61, 89.89
35, 1.0639, 74.51, 1.2176, 70.79, 89.70
36, 1.0614, 74.55, 1.1804, 71.41, 90.31
37, 1.0567, 74.64, 1.2279, 70.82, 89.64
38, 1.0504, 74.78, 1.2227, 70.59, 89.91
39, 1.0450, 74.91, 1.2143, 70.86, 90.03
40, 1.0397, 75.01, 1.2532, 70.51, 89.26
41, 1.0377, 75.05, 1.1720, 71.65, 90.41
42, 1.0319, 75.19, 1.1802, 71.93, 90.37
43, 1.0255, 75.33, 1.1618, 71.70, 90.48
44, 1.0249, 75.37, 1.1716, 71.77, 90.34
45, 1.0185, 75.49, 1.1674, 71.79, 90.50
46, 1.0138, 75.60, 1.1793, 71.86, 90.44
47, 1.0105, 75.68, 1.1492, 72.21, 90.76
48, 1.0048, 75.84, 1.1338, 72.67, 90.82
49, 1.0008, 75.87, 1.1445, 72.46, 90.63
50, 0.9933, 76.04, 1.1403, 72.59, 90.89
51, 0.9891, 76.17, 1.1342, 72.51, 90.87
52, 0.9876, 76.22, 1.1223, 72.83, 90.82
53, 0.9829, 76.32, 1.1026, 73.12, 91.04
54, 0.9773, 76.42, 1.0951, 73.25, 91.31
55, 0.9728, 76.54, 1.0897, 73.36, 91.23
56, 0.9692, 76.62, 1.0939, 73.44, 91.38
57, 0.9646, 76.73, 1.0875, 73.62, 91.37
58, 0.9622, 76.80, 1.0951, 73.34, 91.28
59, 0.9563, 76.96, 1.0734, 73.84, 91.54
60, 0.9543, 76.98, 1.0658, 73.79, 91.63
61, 0.9471, 77.17, 1.0491, 74.27, 91.79
62, 0.9451, 77.22, 1.0429, 74.33, 91.86
63, 0.9409, 77.32, 1.0509, 74.23, 91.72
64, 0.9365, 77.42, 1.0379, 74.57, 91.98
65, 0.9360, 77.43, 1.0409, 74.45, 91.91
66, 0.9307, 77.57, 1.0332, 74.58, 91.92
67, 0.9285, 77.67, 1.0264, 74.74, 92.06
68, 0.9233, 77.76, 1.0222, 74.75, 92.14
69, 0.9200, 77.82, 1.0212, 74.86, 92.04
70, 0.9181, 77.88, 1.0136, 74.90, 92.13
71, 0.9163, 77.94, 1.0134, 75.07, 92.14
72, 0.9116, 78.03, 1.0096, 75.05, 92.16
73, 0.9093, 78.12, 1.0084, 75.17, 92.16
74, 0.9079, 78.14, 1.0048, 75.20, 92.23
75, 0.9044, 78.24, 1.0083, 75.23, 92.16
76, 0.9031, 78.27, 1.0051, 75.24, 92.23
77, 0.9005, 78.31, 1.0026, 75.28, 92.21
78, 0.9004, 78.40, 1.0000, 75.46, 92.26
79, 0.8972, 78.46, 0.9978, 75.38, 92.32
80, 0.8959, 78.49, 0.9974, 75.36, 92.36
81, 0.8936, 78.50, 0.9975, 75.44, 92.36
82, 0.8940, 78.52, 0.9967, 75.33, 92.38
83, 0.8942, 78.51, 0.9954, 75.37, 92.35
84, 0.8898, 78.58, 0.9965, 75.36, 92.34
85, 0.8898, 78.61, 0.9963, 75.42, 92.34
86, 0.8897, 78.63, 0.9958, 75.35, 92.36
[early-stop] no gain > 0.05 pts for 8 epochs (best 75.46%); stopping at epoch 86 of 90

Final Results:
Max Accuracy: 75.46%
Final Val Acc1: 75.35%
Final Val Acc5: 92.36%
Total Training Time: 15:46:17
