Training Log
Model: vit_base_patch16
Model Details: vit_base_patch16_224.mae
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.6547, 2.12, 5.8240, 9.42, 22.41
1, 4.9102, 21.22, 3.9086, 33.59, 56.98
2, 3.4799, 38.26, 2.8718, 45.47, 69.26
3, 2.7749, 46.50, 2.3727, 51.56, 75.16
4, 2.4085, 51.23, 2.0870, 55.26, 78.51
5, 2.1910, 54.21, 1.9160, 57.84, 80.48
6, 2.0536, 56.17, 1.8025, 59.71, 81.96
7, 1.9607, 57.56, 1.7245, 60.86, 82.83
8, 1.8903, 58.64, 1.6681, 61.89, 83.53
9, 1.8439, 59.35, 1.6290, 62.32, 84.01
10, 1.8062, 59.95, 1.6048, 62.67, 84.27
11, 1.7715, 60.52, 1.5770, 63.26, 84.62
12, 1.7478, 60.94, 1.5599, 63.44, 84.87
13, 1.7290, 61.30, 1.5424, 63.84, 85.04
14, 1.7125, 61.52, 1.5354, 64.02, 85.12
15, 1.7038, 61.73, 1.5244, 64.16, 85.37
16, 1.6893, 61.96, 1.5207, 64.30, 85.38
17, 1.6803, 62.15, 1.5118, 64.31, 85.48
18, 1.6702, 62.33, 1.5019, 64.56, 85.62
19, 1.6653, 62.40, 1.5014, 64.59, 85.66
20, 1.6579, 62.59, 1.5008, 64.58, 85.62
21, 1.6529, 62.65, 1.4931, 64.75, 85.81
22, 1.6462, 62.77, 1.4960, 64.62, 85.88
23, 1.6433, 62.84, 1.4885, 64.88, 85.86
24, 1.6366, 62.93, 1.4841, 65.07, 85.93
25, 1.6322, 63.04, 1.4860, 65.01, 85.95
26, 1.6279, 63.10, 1.4854, 64.96, 85.94
27, 1.6237, 63.23, 1.4802, 65.19, 85.96
28, 1.6222, 63.25, 1.4784, 65.03, 86.11
29, 1.6165, 63.36, 1.4744, 65.21, 86.11
30, 1.6131, 63.38, 1.4718, 65.38, 86.08
31, 1.6069, 63.52, 1.4672, 65.37, 86.24
32, 1.6061, 63.59, 1.4744, 65.41, 86.14
33, 1.6025, 63.62, 1.4650, 65.39, 86.30
34, 1.5985, 63.69, 1.4644, 65.46, 86.30
35, 1.5949, 63.77, 1.4609, 65.58, 86.22
36, 1.5910, 63.88, 1.4602, 65.47, 86.22
37, 1.5874, 63.95, 1.4609, 65.55, 86.27
38, 1.5854, 64.00, 1.4540, 65.61, 86.40
39, 1.5775, 64.10, 1.4533, 65.65, 86.35
40, 1.5748, 64.15, 1.4532, 65.83, 86.36
41, 1.5727, 64.25, 1.4478, 65.68, 86.59
42, 1.5702, 64.28, 1.4489, 65.76, 86.46
43, 1.5635, 64.41, 1.4388, 65.77, 86.66
44, 1.5606, 64.52, 1.4435, 65.91, 86.61
45, 1.5557, 64.58, 1.4373, 66.13, 86.50
46, 1.5527, 64.65, 1.4285, 66.24, 86.67
47, 1.5472, 64.76, 1.4333, 66.02, 86.78
48, 1.5463, 64.79, 1.4229, 66.32, 86.81
49, 1.5391, 64.94, 1.4243, 66.26, 86.80
50, 1.5362, 65.00, 1.4216, 66.25, 86.83
51, 1.5305, 65.07, 1.4200, 66.34, 86.87
52, 1.5266, 65.19, 1.4183, 66.42, 86.82
53, 1.5249, 65.21, 1.4143, 66.54, 86.88
54, 1.5207, 65.31, 1.4137, 66.49, 86.86
55, 1.5162, 65.42, 1.4094, 66.63, 86.87
56, 1.5126, 65.52, 1.4049, 66.80, 86.90
57, 1.5108, 65.59, 1.4041, 66.66, 86.86
58, 1.5066, 65.65, 1.4017, 66.70, 87.03
59, 1.5026, 65.72, 1.3979, 66.85, 87.07
60, 1.4992, 65.83, 1.3969, 66.75, 87.10
61, 1.4939, 65.94, 1.3942, 66.89, 87.13
62, 1.4885, 66.00, 1.3921, 66.96, 87.02
63, 1.4852, 66.12, 1.3878, 66.98, 87.05
64, 1.4832, 66.22, 1.3855, 67.15, 87.14
65, 1.4796, 66.25, 1.3853, 67.11, 87.22
66, 1.4757, 66.31, 1.3809, 67.24, 87.27
67, 1.4760, 66.33, 1.3805, 67.27, 87.24
68, 1.4715, 66.45, 1.3778, 67.25, 87.20
69, 1.4674, 66.52, 1.3757, 67.38, 87.28
70, 1.4666, 66.57, 1.3747, 67.35, 87.33
71, 1.4644, 66.67, 1.3712, 67.48, 87.38
72, 1.4599, 66.75, 1.3705, 67.42, 87.33
73, 1.4564, 66.82, 1.3698, 67.35, 87.43
74, 1.4563, 66.79, 1.3686, 67.42, 87.40
75, 1.4529, 66.92, 1.3663, 67.59, 87.40
76, 1.4521, 66.97, 1.3655, 67.61, 87.45
77, 1.4510, 66.97, 1.3651, 67.57, 87.41
78, 1.4474, 67.09, 1.3648, 67.58, 87.44
79, 1.4427, 67.22, 1.3635, 67.78, 87.43
80, 1.4444, 67.15, 1.3628, 67.68, 87.49
81, 1.4411, 67.22, 1.3619, 67.68, 87.47
82, 1.4407, 67.21, 1.3616, 67.77, 87.48
83, 1.4399, 67.23, 1.3617, 67.70, 87.48
84, 1.4384, 67.31, 1.3613, 67.73, 87.47
85, 1.4405, 67.23, 1.3605, 67.70, 87.49
86, 1.4359, 67.35, 1.3607, 67.68, 87.48
87, 1.4338, 67.33, 1.3611, 67.68, 87.49
[early-stop] no gain > 0.05 pts for 8 epochs (best 67.78%); stopping at epoch 87 of 90

Final Results:
Max Accuracy: 67.78%
Final Val Acc1: 67.68%
Final Val Acc5: 87.49%
Total Training Time: 15:56:09
