Training Log
Model: vit_base_patch16
Model Details: vit_base_patch16_224.mae
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.7136, 1.80, 5.9848, 8.86, 21.08
1, 5.0651, 20.62, 3.9966, 33.37, 57.19
2, 3.5113, 38.46, 2.8385, 46.16, 70.35
3, 2.7433, 47.21, 2.3177, 52.66, 76.24
4, 2.3674, 51.97, 2.0341, 56.48, 79.51
5, 2.1557, 54.88, 1.8741, 58.84, 81.32
6, 2.0239, 56.83, 1.7711, 60.23, 82.56
7, 1.9376, 58.05, 1.7007, 61.38, 83.23
8, 1.8749, 59.01, 1.6505, 62.35, 83.93
9, 1.8334, 59.60, 1.6166, 62.80, 84.34
10, 1.8015, 60.10, 1.5986, 62.97, 84.49
11, 1.7709, 60.61, 1.5791, 63.39, 84.79
12, 1.7514, 61.00, 1.5635, 63.54, 85.02
13, 1.7356, 61.30, 1.5515, 63.78, 85.12
14, 1.7227, 61.47, 1.5441, 64.23, 85.27
15, 1.7165, 61.62, 1.5375, 64.17, 85.35
16, 1.7052, 61.86, 1.5354, 64.20, 85.41
17, 1.6983, 61.96, 1.5304, 64.11, 85.42
18, 1.6894, 62.07, 1.5224, 64.30, 85.40
19, 1.6866, 62.16, 1.5247, 64.40, 85.51
20, 1.6813, 62.27, 1.5258, 64.27, 85.54
21, 1.6776, 62.30, 1.5189, 64.50, 85.56
22, 1.6725, 62.38, 1.5187, 64.32, 85.55
23, 1.6710, 62.44, 1.5182, 64.46, 85.72
24, 1.6658, 62.57, 1.5148, 64.70, 85.58
25, 1.6623, 62.58, 1.5190, 64.25, 85.69
26, 1.6596, 62.65, 1.5179, 64.42, 85.70
27, 1.6558, 62.73, 1.5135, 64.64, 85.57
28, 1.6551, 62.79, 1.5097, 64.76, 85.83
29, 1.6516, 62.84, 1.5119, 64.68, 85.74
30, 1.6483, 62.92, 1.5097, 64.74, 85.72
31, 1.6434, 62.98, 1.5067, 64.86, 85.75
32, 1.6428, 63.01, 1.5106, 64.74, 85.68
33, 1.6399, 63.08, 1.5006, 64.98, 85.78
34, 1.6369, 63.17, 1.5009, 65.00, 85.84
35, 1.6343, 63.18, 1.5022, 64.88, 85.62
36, 1.6319, 63.28, 1.4979, 64.98, 85.82
37, 1.6270, 63.32, 1.5005, 64.90, 85.91
38, 1.6260, 63.36, 1.4956, 64.84, 85.83
39, 1.6211, 63.41, 1.4931, 64.99, 85.91
40, 1.6172, 63.56, 1.4941, 65.03, 86.06
41, 1.6166, 63.57, 1.4877, 65.22, 86.04
42, 1.6137, 63.61, 1.4890, 65.18, 85.90
43, 1.6076, 63.66, 1.4860, 65.30, 86.04
44, 1.6055, 63.79, 1.4874, 65.41, 85.95
45, 1.6015, 63.83, 1.4801, 65.29, 86.00
46, 1.5982, 63.91, 1.4735, 65.38, 86.09
47, 1.5932, 64.01, 1.4769, 65.37, 86.14
48, 1.5915, 64.04, 1.4700, 65.50, 86.20
49, 1.5864, 64.14, 1.4719, 65.56, 86.21
50, 1.5837, 64.17, 1.4681, 65.62, 86.26
51, 1.5773, 64.34, 1.4696, 65.57, 86.29
52, 1.5759, 64.33, 1.4667, 65.63, 86.14
53, 1.5730, 64.46, 1.4629, 65.61, 86.21
54, 1.5695, 64.53, 1.4618, 65.85, 86.32
55, 1.5659, 64.64, 1.4584, 65.97, 86.31
56, 1.5622, 64.66, 1.4547, 66.00, 86.46
57, 1.5623, 64.70, 1.4514, 66.08, 86.42
58, 1.5572, 64.75, 1.4510, 66.07, 86.38
59, 1.5538, 64.81, 1.4506, 66.05, 86.47
60, 1.5505, 65.00, 1.4496, 65.90, 86.47
61, 1.5477, 64.97, 1.4480, 66.02, 86.38
62, 1.5421, 65.07, 1.4481, 65.91, 86.49
63, 1.5389, 65.18, 1.4430, 66.27, 86.45
64, 1.5357, 65.27, 1.4412, 66.41, 86.49
65, 1.5324, 65.32, 1.4376, 66.23, 86.54
66, 1.5296, 65.39, 1.4370, 66.23, 86.57
67, 1.5290, 65.40, 1.4370, 66.39, 86.55
68, 1.5253, 65.46, 1.4353, 66.39, 86.59
69, 1.5223, 65.56, 1.4332, 66.50, 86.58
70, 1.5223, 65.57, 1.4319, 66.28, 86.62
71, 1.5188, 65.70, 1.4281, 66.50, 86.72
72, 1.5156, 65.72, 1.4282, 66.45, 86.65
73, 1.5125, 65.81, 1.4274, 66.54, 86.66
74, 1.5114, 65.87, 1.4271, 66.43, 86.61
75, 1.5096, 65.88, 1.4256, 66.58, 86.66
76, 1.5086, 65.94, 1.4242, 66.55, 86.66
77, 1.5062, 65.94, 1.4247, 66.60, 86.67
78, 1.5038, 66.04, 1.4237, 66.62, 86.65
79, 1.4998, 66.11, 1.4228, 66.68, 86.69
80, 1.5012, 66.08, 1.4223, 66.70, 86.72
81, 1.4982, 66.18, 1.4210, 66.65, 86.74
82, 1.4984, 66.15, 1.4206, 66.73, 86.75
83, 1.4975, 66.17, 1.4205, 66.72, 86.72
84, 1.4973, 66.21, 1.4209, 66.74, 86.74
85, 1.4969, 66.18, 1.4202, 66.77, 86.72
86, 1.4936, 66.26, 1.4203, 66.72, 86.72
87, 1.4911, 66.31, 1.4205, 66.72, 86.71
88, 1.4960, 66.26, 1.4206, 66.70, 86.71
89, 1.4921, 66.28, 1.4208, 66.74, 86.72

Final Results:
Max Accuracy: 66.77%
Final Val Acc1: 66.74%
Final Val Acc5: 86.72%
Total Training Time: 16:22:45

# Control run, not a reported number. It exists so the rule stated in the README
# (GAP is not a free substitute for the [CLS]) can be checked rather than taken on trust: the reported arm for this
# backbone is the sibling log in this directory. Best val acc1 66.77 at epoch 85
# of 90 recorded.
