Training Log
Model: vit_large_patch16
Model Details: vit_large_patch16_224.mae
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4273, 3.72, 5.4036, 13.72, 29.85
1, 4.1566, 32.27, 2.8210, 50.50, 73.52
2, 2.2128, 58.54, 1.6204, 65.12, 85.12
3, 1.5247, 67.50, 1.3330, 68.94, 87.95
4, 1.2953, 71.01, 1.2273, 70.82, 89.22
5, 1.1934, 72.76, 1.1800, 71.63, 89.59
6, 1.1417, 73.71, 1.2617, 70.02, 88.53
7, 1.1041, 74.40, 1.2529, 69.89, 88.80
8, 1.0769, 74.87, 1.3441, 68.79, 87.61
9, 1.0496, 75.35, 1.3385, 68.88, 87.49
10, 1.0244, 75.89, 1.2270, 71.02, 89.28
11, 0.9978, 76.39, 1.1863, 71.85, 89.62
12, 0.9759, 76.81, 1.1215, 73.08, 90.61
13, 0.9549, 77.23, 1.1197, 72.99, 90.70
14, 0.9372, 77.60, 1.1371, 72.79, 90.60
15, 0.9217, 77.87, 1.0841, 73.78, 90.99
16, 0.9098, 78.14, 1.0447, 74.40, 91.78
17, 0.8943, 78.43, 1.0878, 73.92, 91.10
18, 0.8866, 78.63, 1.1027, 73.53, 91.01
19, 0.8751, 78.84, 1.0639, 74.62, 91.68
20, 0.8678, 78.98, 1.0356, 75.23, 91.91
21, 0.8586, 79.17, 1.0278, 74.86, 92.04
22, 0.8493, 79.34, 1.0362, 74.91, 92.11
23, 0.8445, 79.45, 1.0747, 74.27, 91.66
24, 0.8369, 79.63, 1.0352, 75.18, 91.91
25, 0.8314, 79.73, 1.0553, 74.92, 91.96
26, 0.8246, 79.89, 1.0683, 74.39, 91.69
27, 0.8173, 80.07, 1.0643, 74.77, 91.94
28, 0.8117, 80.17, 1.0701, 74.91, 91.73
29, 0.8070, 80.27, 1.0818, 74.30, 91.75
30, 0.8009, 80.36, 1.0500, 74.82, 91.96
31, 0.7973, 80.42, 1.0907, 74.44, 91.58
32, 0.7899, 80.62, 1.0349, 75.27, 92.16
33, 0.7859, 80.74, 1.0343, 75.56, 92.26
34, 0.7802, 80.82, 1.0545, 75.32, 91.98
35, 0.7733, 80.99, 1.0197, 75.78, 92.22
36, 0.7695, 81.08, 0.9890, 76.11, 92.62
37, 0.7661, 81.19, 1.0394, 75.45, 92.05
38, 0.7604, 81.27, 0.9918, 76.42, 92.73
39, 0.7559, 81.41, 1.0409, 75.64, 92.24
40, 0.7516, 81.52, 0.9983, 76.28, 92.66
41, 0.7447, 81.68, 0.9940, 76.02, 92.21
42, 0.7408, 81.75, 1.0121, 76.09, 92.52
