Training Log
Model: vit_large_patch16
Model Details: vit_large_patch16_224.mae
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.5951, 3.05, 5.6284, 15.27, 32.21
1, 4.4555, 32.30, 3.2413, 47.72, 69.70
2, 2.6871, 53.90, 2.0942, 60.00, 80.46
3, 1.9610, 61.95, 1.6602, 65.21, 84.66
4, 1.6501, 65.91, 1.4443, 68.30, 86.90
5, 1.4869, 68.16, 1.3261, 69.93, 88.26
6, 1.3889, 69.54, 1.2496, 71.24, 89.19
7, 1.3217, 70.56, 1.2020, 71.91, 89.68
8, 1.2762, 71.28, 1.1674, 72.51, 90.04
9, 1.2441, 71.79, 1.1392, 72.87, 90.27
10, 1.2168, 72.20, 1.1268, 73.12, 90.54
11, 1.1923, 72.63, 1.1118, 73.30, 90.70
12, 1.1761, 72.89, 1.0989, 73.86, 90.99
13, 1.1650, 73.12, 1.0909, 73.85, 90.96
14, 1.1485, 73.40, 1.0940, 73.83, 90.94
15, 1.1425, 73.52, 1.0864, 74.00, 91.17
16, 1.1333, 73.70, 1.0845, 73.95, 91.22
17, 1.1262, 73.82, 1.0825, 74.16, 91.17
18, 1.1206, 73.93, 1.0726, 74.34, 91.28
19, 1.1127, 74.06, 1.0771, 74.20, 91.32
20, 1.1095, 74.13, 1.0785, 74.22, 91.24
21, 1.1045, 74.23, 1.0747, 74.27, 91.29
22, 1.1017, 74.28, 1.0800, 74.22, 91.27
23, 1.0967, 74.38, 1.0767, 74.23, 91.32
24, 1.0916, 74.46, 1.0723, 74.35, 91.35
25, 1.0896, 74.50, 1.0730, 74.32, 91.33
26, 1.0865, 74.58, 1.0756, 74.23, 91.30
27, 1.0814, 74.65, 1.0754, 74.41, 91.38
28, 1.0816, 74.66, 1.0738, 74.31, 91.48
29, 1.0746, 74.80, 1.0744, 74.39, 91.37
30, 1.0722, 74.83, 1.0683, 74.59, 91.38
