Training Log
Model: vit_large_patch16
Model Details: vit_large_patch16_224.mae
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.7089, 1.71, 6.0347, 8.01, 18.83
1, 5.1674, 20.06, 4.2272, 33.55, 55.39
2, 3.6054, 40.74, 2.9061, 49.31, 71.01
3, 2.6585, 52.21, 2.2138, 57.50, 78.37
4, 2.1584, 58.62, 1.8504, 62.24, 82.45
5, 1.8813, 62.24, 1.6433, 65.26, 84.66
6, 1.7140, 64.54, 1.5147, 67.02, 86.10
7, 1.6029, 66.11, 1.4299, 68.26, 87.00
8, 1.5293, 67.16, 1.3766, 69.00, 87.60
9, 1.4768, 67.91, 1.3321, 69.62, 88.00
10, 1.4371, 68.44, 1.3097, 70.08, 88.33
11, 1.4033, 69.00, 1.2885, 70.27, 88.41
12, 1.3800, 69.33, 1.2680, 70.67, 88.83
13, 1.3651, 69.63, 1.2571, 70.81, 88.95
14, 1.3449, 69.97, 1.2544, 70.99, 89.02
15, 1.3369, 70.06, 1.2459, 70.99, 89.08
16, 1.3248, 70.32, 1.2406, 71.14, 89.06
17, 1.3179, 70.39, 1.2362, 71.34, 89.11
18, 1.3115, 70.53, 1.2289, 71.47, 89.18
19, 1.3037, 70.66, 1.2344, 71.14, 89.20
20, 1.3000, 70.70, 1.2338, 71.16, 89.26
21, 1.2946, 70.84, 1.2285, 71.29, 89.37
22, 1.2904, 70.91, 1.2312, 71.46, 89.31
23, 1.2867, 71.00, 1.2287, 71.43, 89.34
24, 1.2823, 71.09, 1.2245, 71.59, 89.33
25, 1.2783, 71.12, 1.2283, 71.50, 89.45
26, 1.2761, 71.18, 1.2285, 71.59, 89.48
27, 1.2721, 71.24, 1.2256, 71.68, 89.43
28, 1.2714, 71.31, 1.2217, 71.61, 89.57
29, 1.2654, 71.40, 1.2267, 71.74, 89.48
30, 1.2619, 71.46, 1.2183, 71.81, 89.56
31, 1.2582, 71.56, 1.2185, 71.84, 89.53
32, 1.2557, 71.57, 1.2205, 71.62, 89.56
33, 1.2525, 71.63, 1.2150, 71.90, 89.56
34, 1.2509, 71.68, 1.2188, 71.73, 89.57
35, 1.2482, 71.74, 1.2211, 71.68, 89.53
36, 1.2429, 71.84, 1.2112, 71.93, 89.59
37, 1.2404, 71.87, 1.2157, 71.81, 89.62
38, 1.2340, 71.96, 1.2092, 71.68, 89.58
39, 1.2317, 72.07, 1.2066, 72.05, 89.71
40, 1.2272, 72.13, 1.2049, 71.82, 89.78
41, 1.2271, 72.16, 1.2030, 72.18, 89.75
42, 1.2228, 72.24, 1.2019, 72.15, 89.72
43, 1.2165, 72.30, 1.2026, 72.17, 89.71
44, 1.2116, 72.40, 1.1990, 72.22, 89.75
45, 1.2114, 72.46, 1.1986, 72.17, 89.76
46, 1.2047, 72.55, 1.1929, 72.29, 89.80
47, 1.1996, 72.67, 1.1912, 72.36, 89.85
48, 1.1999, 72.66, 1.1848, 72.41, 89.87
49, 1.1919, 72.82, 1.1852, 72.61, 89.89
50, 1.1894, 72.88, 1.1839, 72.39, 89.92
51, 1.1848, 72.93, 1.1808, 72.49, 89.79
52, 1.1813, 73.04, 1.1802, 72.54, 89.95
53, 1.1778, 73.12, 1.1743, 72.54, 89.97
54, 1.1755, 73.18, 1.1773, 72.44, 89.97
55, 1.1710, 73.25, 1.1734, 72.83, 90.09
56, 1.1654, 73.37, 1.1692, 72.75, 90.00
57, 1.1615, 73.45, 1.1651, 72.74, 90.09
58, 1.1575, 73.49, 1.1647, 72.72, 90.16
59, 1.1529, 73.55, 1.1638, 72.74, 90.16
60, 1.1493, 73.71, 1.1615, 72.86, 90.20
61, 1.1462, 73.74, 1.1571, 72.96, 90.17
62, 1.1445, 73.82, 1.1566, 73.06, 90.17
63, 1.1393, 73.90, 1.1519, 73.03, 90.28
64, 1.1342, 74.02, 1.1514, 73.00, 90.24
65, 1.1316, 74.07, 1.1495, 72.97, 90.21
66, 1.1298, 74.12, 1.1460, 73.31, 90.25
67, 1.1275, 74.19, 1.1450, 73.15, 90.35
68, 1.1227, 74.29, 1.1418, 73.28, 90.29
69, 1.1199, 74.33, 1.1410, 73.26, 90.27
70, 1.1175, 74.42, 1.1386, 73.37, 90.30
71, 1.1136, 74.50, 1.1363, 73.36, 90.32
72, 1.1101, 74.57, 1.1358, 73.38, 90.34
73, 1.1095, 74.61, 1.1343, 73.42, 90.45
74, 1.1055, 74.68, 1.1336, 73.36, 90.39
75, 1.1042, 74.69, 1.1328, 73.50, 90.36
76, 1.1020, 74.78, 1.1327, 73.43, 90.39
77, 1.0990, 74.86, 1.1321, 73.50, 90.47
78, 1.0982, 74.88, 1.1300, 73.47, 90.47
79, 1.0978, 74.87, 1.1301, 73.44, 90.44
80, 1.0932, 74.99, 1.1289, 73.51, 90.47
81, 1.0950, 74.92, 1.1285, 73.53, 90.44
82, 1.0917, 75.02, 1.1277, 73.56, 90.45
83, 1.0893, 75.05, 1.1274, 73.51, 90.40
