Training Log
Model: vit_small_patch16
Model Details: <checkpoints>/vit_small_patch16_224.mae/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 544,744
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.7092, 1.09, 6.1328, 3.80, 11.44
1, 5.4574, 9.54, 4.6684, 16.97, 37.41
2, 4.2229, 22.23, 3.5779, 29.39, 55.28
3, 3.4215, 32.17, 2.9247, 38.86, 65.27
4, 2.9603, 38.90, 2.5913, 43.99, 69.74
5, 2.7012, 43.14, 2.3882, 47.30, 72.84
6, 2.5220, 46.37, 2.2179, 50.58, 75.36
7, 2.3798, 48.99, 2.1053, 52.81, 76.92
8, 2.2706, 50.98, 2.0085, 54.66, 78.10
9, 2.1892, 52.52, 1.9491, 55.83, 79.03
10, 2.1253, 53.67, 1.9185, 56.08, 79.48
11, 2.0779, 54.57, 1.8508, 57.57, 80.63
12, 2.0416, 55.27, 1.8331, 57.92, 80.82
13, 2.0107, 55.82, 1.8265, 58.12, 80.78
14, 1.9887, 56.23, 1.7996, 58.55, 81.29
15, 1.9697, 56.57, 1.8014, 58.49, 81.29
16, 1.9533, 56.85, 1.7854, 58.95, 81.52
17, 1.9402, 57.17, 1.7621, 59.13, 81.74
18, 1.9276, 57.33, 1.7610, 59.33, 81.74
19, 1.9165, 57.56, 1.7537, 59.37, 81.87
20, 1.9078, 57.74, 1.7261, 59.93, 82.32
21, 1.8991, 57.90, 1.7302, 60.00, 82.41
22, 1.8917, 58.01, 1.7298, 60.10, 82.34
23, 1.8859, 58.17, 1.7172, 60.51, 82.37
24, 1.8804, 58.33, 1.7146, 60.35, 82.52
25, 1.8740, 58.36, 1.7183, 60.42, 82.63
26, 1.8665, 58.51, 1.7288, 60.02, 82.51
27, 1.8623, 58.55, 1.7096, 60.51, 82.61
28, 1.8573, 58.73, 1.6948, 60.82, 82.74
29, 1.8499, 58.85, 1.7036, 60.44, 82.71
30, 1.8441, 58.96, 1.7004, 60.64, 82.69
31, 1.8413, 58.99, 1.6990, 60.84, 82.76
32, 1.8369, 59.09, 1.6798, 60.89, 82.89
33, 1.8342, 59.12, 1.6829, 61.15, 82.84
34, 1.8280, 59.28, 1.6739, 61.08, 82.99
35, 1.8217, 59.35, 1.6796, 61.23, 82.97
36, 1.8173, 59.46, 1.6610, 61.48, 83.18
37, 1.8126, 59.54, 1.6516, 61.68, 83.44
38, 1.8082, 59.65, 1.6598, 61.60, 83.38
39, 1.8074, 59.68, 1.6630, 61.33, 83.10
40, 1.7987, 59.84, 1.6554, 61.61, 83.39
41, 1.7965, 59.88, 1.6466, 61.90, 83.50
