Training Log
Model: vit_small_patch16
Model Details: <checkpoints>/vit_small_patch16_224.mae/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 385,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.8399, 0.67, 6.3647, 2.86, 8.81
1, 5.8168, 7.12, 5.1768, 12.85, 29.67
2, 4.8406, 16.30, 4.3524, 20.96, 42.87
3, 4.2128, 22.72, 3.8288, 26.65, 50.58
4, 3.8126, 27.26, 3.4828, 30.74, 55.64
5, 3.5456, 30.40, 3.2571, 33.86, 59.17
6, 3.3616, 32.81, 3.0901, 36.22, 61.65
7, 3.2310, 34.58, 2.9740, 37.70, 63.40
8, 3.1360, 35.76, 2.8856, 38.94, 64.65
9, 3.0671, 36.75, 2.8164, 39.86, 65.64
10, 3.0134, 37.51, 2.7723, 40.66, 66.40
11, 2.9712, 38.14, 2.7270, 41.27, 66.90
12, 2.9372, 38.67, 2.6975, 41.59, 67.55
13, 2.9106, 39.03, 2.6766, 41.83, 67.79
14, 2.8904, 39.41, 2.6562, 42.36, 68.12
15, 2.8775, 39.62, 2.6428, 42.46, 68.26
16, 2.8620, 39.85, 2.6286, 42.77, 68.46
17, 2.8499, 40.00, 2.6167, 42.87, 68.59
18, 2.8402, 40.22, 2.6076, 43.14, 68.79
19, 2.8311, 40.34, 2.5995, 43.13, 68.99
20, 2.8246, 40.50, 2.5958, 43.07, 69.05
21, 2.8168, 40.60, 2.5875, 43.28, 69.04
22, 2.8108, 40.72, 2.5837, 43.42, 69.18
23, 2.8066, 40.75, 2.5772, 43.42, 69.27
24, 2.8011, 40.85, 2.5682, 43.70, 69.40
25, 2.7964, 40.96, 2.5594, 43.92, 69.58
26, 2.7915, 41.01, 2.5695, 43.59, 69.56
27, 2.7878, 41.12, 2.5499, 44.35, 69.87
28, 2.7846, 41.16, 2.5514, 44.16, 69.79
29, 2.7807, 41.23, 2.5515, 44.23, 69.77
30, 2.7779, 41.23, 2.5421, 44.37, 69.86
31, 2.7701, 41.41, 2.5421, 44.27, 69.92
32, 2.7687, 41.45, 2.5422, 44.13, 69.85
33, 2.7659, 41.48, 2.5286, 44.35, 70.16
34, 2.7640, 41.52, 2.5366, 44.32, 70.02
35, 2.7563, 41.61, 2.5326, 44.30, 70.11
36, 2.7565, 41.71, 2.5261, 44.59, 70.22
37, 2.7511, 41.81, 2.5229, 44.60, 70.25
38, 2.7464, 41.85, 2.5117, 44.71, 70.43
39, 2.7429, 41.92, 2.5142, 44.88, 70.45
40, 2.7413, 41.98, 2.5148, 44.83, 70.44
41, 2.7384, 42.02, 2.5055, 44.83, 70.56
42, 2.7336, 42.10, 2.5093, 44.82, 70.42
43, 2.7298, 42.16, 2.5036, 44.87, 70.62
44, 2.7251, 42.29, 2.5020, 45.01, 70.60
45, 2.7237, 42.35, 2.4975, 45.11, 70.71
46, 2.7164, 42.41, 2.4922, 45.03, 70.71
47, 2.7134, 42.51, 2.4881, 45.28, 70.83
48, 2.7111, 42.49, 2.4788, 45.40, 71.09
49, 2.7076, 42.65, 2.4859, 45.25, 70.78
50, 2.7022, 42.65, 2.4765, 45.61, 71.05
51, 2.6972, 42.79, 2.4703, 45.53, 71.06
52, 2.6928, 42.84, 2.4741, 45.54, 70.96
53, 2.6917, 42.89, 2.4688, 45.62, 71.20
54, 2.6845, 43.03, 2.4686, 45.64, 71.13
55, 2.6822, 43.11, 2.4631, 45.75, 71.22
56, 2.6794, 43.15, 2.4546, 45.94, 71.39
57, 2.6744, 43.26, 2.4541, 46.07, 71.38
58, 2.6715, 43.30, 2.4515, 45.89, 71.45
59, 2.6663, 43.47, 2.4475, 46.03, 71.45
60, 2.6647, 43.45, 2.4489, 45.99, 71.46
61, 2.6607, 43.58, 2.4445, 46.20, 71.54
62, 2.6544, 43.66, 2.4395, 46.30, 71.58
63, 2.6540, 43.69, 2.4370, 46.38, 71.59
64, 2.6505, 43.74, 2.4344, 46.48, 71.77
65, 2.6466, 43.83, 2.4308, 46.51, 71.75
66, 2.6454, 43.89, 2.4305, 46.49, 71.72
67, 2.6417, 43.96, 2.4282, 46.61, 71.73
68, 2.6361, 44.06, 2.4256, 46.61, 71.78
69, 2.6325, 44.14, 2.4241, 46.79, 71.88
70, 2.6308, 44.18, 2.4211, 46.73, 71.93
71, 2.6279, 44.19, 2.4161, 46.77, 72.06
72, 2.6267, 44.29, 2.4165, 46.82, 71.95
73, 2.6213, 44.40, 2.4140, 46.82, 72.02
74, 2.6197, 44.45, 2.4139, 46.90, 71.90
75, 2.6183, 44.44, 2.4136, 46.93, 71.95
76, 2.6151, 44.47, 2.4125, 46.95, 72.10
77, 2.6142, 44.56, 2.4096, 46.97, 72.09
78, 2.6130, 44.59, 2.4089, 46.99, 72.03
79, 2.6097, 44.71, 2.4067, 47.05, 72.05
