Training Log
Model: vit_large_patch16
Model Details: <checkpoints>/vit_large_patch16_224.maskfeat/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.8384, 0.40, 6.5376, 1.00, 4.04
1, 6.3515, 2.51, 6.1120, 4.56, 12.02
2, 5.9606, 5.93, 5.7361, 8.24, 18.91
3, 5.6253, 9.24, 5.4002, 11.71, 24.83
4, 5.3310, 12.40, 5.0946, 15.15, 29.89
5, 5.0665, 15.42, 4.8266, 18.26, 34.18
6, 4.8310, 18.12, 4.5799, 20.99, 38.30
7, 4.6207, 20.64, 4.3604, 23.57, 41.46
8, 4.4392, 22.85, 4.1748, 25.83, 44.39
9, 4.2855, 24.69, 4.0123, 27.83, 46.73
10, 4.1593, 26.23, 3.8939, 29.33, 48.39
11, 4.0561, 27.54, 3.7846, 30.73, 49.85
12, 3.9735, 28.63, 3.7040, 31.59, 50.89
13, 3.9119, 29.40, 3.6359, 32.64, 52.02
14, 3.8616, 30.02, 3.5879, 33.14, 52.87
15, 3.8177, 30.67, 3.5394, 33.78, 53.38
16, 3.7825, 31.09, 3.5063, 34.05, 53.97
17, 3.7550, 31.51, 3.4743, 34.56, 54.42
18, 3.7302, 31.82, 3.4564, 34.73, 54.88
19, 3.7098, 32.12, 3.4307, 35.07, 55.13
20, 3.6931, 32.32, 3.4134, 35.57, 55.36
21, 3.6741, 32.60, 3.3934, 35.58, 55.81
22, 3.6628, 32.79, 3.3817, 36.01, 55.73
23, 3.6491, 32.96, 3.3716, 35.94, 55.96
24, 3.6411, 33.12, 3.3526, 36.34, 56.21
25, 3.6294, 33.26, 3.3386, 36.43, 56.59
26, 3.6205, 33.40, 3.3412, 36.13, 56.37
27, 3.6177, 33.49, 3.3205, 36.71, 56.88
28, 3.6041, 33.61, 3.3112, 36.82, 56.87
29, 3.5970, 33.74, 3.3056, 36.90, 56.92
30, 3.5917, 33.84, 3.2990, 37.01, 57.12
31, 3.5837, 33.97, 3.2966, 36.97, 57.06
32, 3.5754, 34.05, 3.2975, 37.02, 57.07
33, 3.5713, 34.10, 3.2805, 37.32, 57.34
34, 3.5660, 34.22, 3.2741, 37.42, 57.32
35, 3.5581, 34.35, 3.2759, 37.27, 57.51
36, 3.5515, 34.42, 3.2638, 37.70, 57.58
37, 3.5471, 34.48, 3.2554, 37.48, 57.77
38, 3.5396, 34.59, 3.2519, 37.63, 57.79
39, 3.5347, 34.71, 3.2415, 37.84, 57.89
40, 3.5332, 34.71, 3.2316, 37.72, 58.24
