Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.maskfeat/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.6433, 1.04, 6.1146, 3.53, 10.67
1, 5.5806, 8.77, 4.8514, 16.58, 34.96
2, 4.2240, 26.35, 3.3380, 37.64, 62.23
3, 3.0220, 42.71, 2.4565, 49.26, 72.86
4, 2.4595, 50.26, 2.1489, 53.40, 76.71
5, 2.2109, 53.92, 1.9939, 55.86, 78.68
6, 2.0695, 56.08, 1.9527, 55.88, 79.00
7, 1.9778, 57.60, 1.8976, 56.78, 79.78
8, 1.9084, 58.75, 1.8746, 57.55, 80.00
9, 1.8624, 59.48, 1.8725, 57.62, 80.17
10, 1.8171, 60.26, 1.7950, 58.47, 81.24
11, 1.7770, 60.97, 1.7596, 59.53, 82.19
12, 1.7443, 61.60, 1.8554, 58.26, 80.74
13, 1.7161, 62.07, 1.6304, 61.74, 83.84
14, 1.6923, 62.53, 1.6905, 60.95, 83.15
15, 1.6696, 62.93, 1.6769, 60.70, 83.36
16, 1.6485, 63.33, 1.6867, 61.50, 82.96
17, 1.6353, 63.52, 1.6512, 62.02, 83.59
18, 1.6196, 63.81, 1.6962, 61.23, 82.98
19, 1.6067, 64.06, 1.6212, 62.36, 83.99
20, 1.5948, 64.28, 1.5691, 63.26, 84.95
21, 1.5853, 64.50, 1.5854, 63.14, 84.68
22, 1.5746, 64.68, 1.6063, 63.17, 84.43
23, 1.5627, 64.81, 1.5744, 63.61, 84.76
24, 1.5557, 64.99, 1.5601, 63.60, 85.02
25, 1.5487, 65.18, 1.5821, 63.35, 84.71
26, 1.5407, 65.29, 1.5593, 63.72, 84.77
27, 1.5309, 65.52, 1.5543, 64.08, 85.03
28, 1.5261, 65.58, 1.5512, 64.12, 85.08
29, 1.5178, 65.74, 1.5372, 64.23, 85.25
30, 1.5115, 65.88, 1.5068, 64.91, 85.73
31, 1.5056, 66.03, 1.5071, 64.70, 85.72
32, 1.4975, 66.14, 1.5091, 64.81, 85.66
33, 1.4913, 66.23, 1.4941, 64.83, 86.04
34, 1.4839, 66.41, 1.4848, 65.03, 86.01
35, 1.4776, 66.54, 1.4762, 65.38, 86.22
36, 1.4723, 66.63, 1.4590, 65.56, 86.37
37, 1.4628, 66.80, 1.4759, 65.46, 86.15
38, 1.4584, 66.87, 1.4598, 65.90, 86.16
39, 1.4514, 67.03, 1.4674, 65.61, 86.13
40, 1.4477, 67.12, 1.4165, 66.66, 86.93
41, 1.4412, 67.27, 1.4606, 65.98, 86.24
42, 1.4340, 67.39, 1.4273, 66.24, 86.55
43, 1.4257, 67.52, 1.4329, 66.19, 86.53
44, 1.4208, 67.67, 1.4193, 66.88, 86.92
45, 1.4130, 67.79, 1.3929, 66.94, 87.16
46, 1.4094, 67.91, 1.4107, 66.91, 86.92
47, 1.4025, 68.02, 1.3889, 67.05, 87.23
48, 1.3956, 68.19, 1.3594, 67.71, 87.54
49, 1.3919, 68.28, 1.3632, 67.79, 87.44
50, 1.3826, 68.40, 1.3500, 67.90, 87.65
51, 1.3784, 68.49, 1.3444, 68.04, 87.62
52, 1.3720, 68.64, 1.3525, 68.00, 87.66
53, 1.3687, 68.75, 1.3371, 68.49, 87.85
54, 1.3593, 68.83, 1.3456, 68.10, 87.64
55, 1.3548, 68.99, 1.3060, 68.84, 88.34
56, 1.3498, 69.13, 1.3165, 68.77, 88.22
57, 1.3450, 69.19, 1.2889, 69.25, 88.34
58, 1.3385, 69.38, 1.2944, 69.00, 88.42
59, 1.3320, 69.49, 1.2791, 69.57, 88.53
60, 1.3236, 69.63, 1.2758, 69.64, 88.63
61, 1.3217, 69.68, 1.2694, 69.71, 88.66
62, 1.3166, 69.80, 1.2509, 69.91, 88.95
63, 1.3098, 69.96, 1.2585, 69.76, 88.66
64, 1.3079, 70.03, 1.2452, 69.97, 89.04
65, 1.3006, 70.19, 1.2365, 70.31, 89.04
66, 1.2963, 70.24, 1.2390, 70.27, 89.06
67, 1.2923, 70.33, 1.2267, 70.50, 89.24
68, 1.2901, 70.43, 1.2205, 70.69, 89.32
69, 1.2848, 70.53, 1.2167, 70.78, 89.18
70, 1.2771, 70.63, 1.2173, 70.72, 89.35
71, 1.2742, 70.71, 1.2055, 71.12, 89.42
72, 1.2733, 70.74, 1.2065, 70.84, 89.40
73, 1.2692, 70.82, 1.2020, 71.00, 89.43
74, 1.2650, 70.97, 1.1940, 71.24, 89.54
75, 1.2611, 71.05, 1.1922, 71.39, 89.64
76, 1.2587, 71.09, 1.1883, 71.30, 89.69
77, 1.2545, 71.15, 1.1860, 71.40, 89.67
78, 1.2544, 71.21, 1.1839, 71.38, 89.65
79, 1.2487, 71.32, 1.1771, 71.48, 89.72
80, 1.2469, 71.33, 1.1774, 71.56, 89.76
81, 1.2460, 71.38, 1.1750, 71.62, 89.74
82, 1.2447, 71.39, 1.1738, 71.72, 89.80
83, 1.2432, 71.44, 1.1738, 71.60, 89.74
84, 1.2410, 71.48, 1.1738, 71.71, 89.78
85, 1.2392, 71.52, 1.1733, 71.65, 89.74
86, 1.2390, 71.59, 1.1718, 71.76, 89.82
87, 1.2393, 71.52, 1.1725, 71.70, 89.77
88, 1.2365, 71.60, 1.1723, 71.74, 89.78
89, 1.2381, 71.53, 1.1726, 71.68, 89.77

Final Results:
Max Accuracy: 71.76%
Final Val Acc1: 71.68%
Final Val Acc5: 89.77%
Total Training Time: 17:00:15
