k-NN Evaluation
Model: MaskFeat ViT-B/16
Representation: cls
Protocol: features L2-normalised, cosine similarity, ImageNet-1k train as the database and val as queries
features: 'raw' is the backbone output as the probe sees it; 'final_norm' additionally applies the encoder's final LayerNorm, which forward_features skips and which the LP head otherwise absorbs into its own learned BatchNorm
features, T, k, Top1, Top5
raw, 0.07, 5, 13.80, 25.30
raw, 0.07, 10, 14.86, 26.49
raw, 0.07, 15, 15.47, 27.60
raw, 0.07, 20, 15.63, 28.49
raw, 0.07, 50, 15.93, 31.07
raw, 0.07, 100, 15.35, 31.63
raw, 0.07, 200, 14.26, 31.28
raw, 0.1, 5, 13.80, 25.30
raw, 0.1, 10, 14.86, 26.49
raw, 0.1, 15, 15.47, 27.60
raw, 0.1, 20, 15.63, 28.49
raw, 0.1, 50, 15.94, 31.07
raw, 0.1, 100, 15.35, 31.63
raw, 0.1, 200, 14.26, 31.28
raw, 0.2, 5, 13.80, 25.30
raw, 0.2, 10, 14.86, 26.49
raw, 0.2, 15, 15.47, 27.60
raw, 0.2, 20, 15.63, 28.49
raw, 0.2, 50, 15.94, 31.07
raw, 0.2, 100, 15.35, 31.63
raw, 0.2, 200, 14.26, 31.28
final_norm, 0.07, 5, 0.10, 0.50
final_norm, 0.07, 10, 0.10, 0.50
final_norm, 0.07, 15, 0.10, 0.50
final_norm, 0.07, 20, 0.10, 0.50
final_norm, 0.07, 50, 0.10, 0.50
final_norm, 0.07, 100, 0.10, 0.50
final_norm, 0.07, 200, 0.10, 0.50
final_norm, 0.1, 5, 0.10, 0.50
final_norm, 0.1, 10, 0.10, 0.50
final_norm, 0.1, 15, 0.10, 0.50
final_norm, 0.1, 20, 0.10, 0.50
final_norm, 0.1, 50, 0.10, 0.50
final_norm, 0.1, 100, 0.10, 0.50
final_norm, 0.1, 200, 0.10, 0.50
final_norm, 0.2, 5, 0.10, 0.50
final_norm, 0.2, 10, 0.10, 0.50
final_norm, 0.2, 15, 0.10, 0.50
final_norm, 0.2, 20, 0.10, 0.50
final_norm, 0.2, 50, 0.10, 0.50
final_norm, 0.2, 100, 0.10, 0.50
final_norm, 0.2, 200, 0.10, 0.50

Best: Top1 15.94% with raw features at k=50, T=0.1
Top5: 31.07%
