Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.maskfeat/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.8002, 0.80, 6.3037, 3.51, 10.31
1, 5.7875, 8.86, 5.2121, 16.43, 32.99
2, 4.8134, 21.23, 4.2596, 28.39, 49.07
3, 4.0264, 31.17, 3.5108, 37.34, 59.43
4, 3.4402, 38.16, 2.9946, 43.69, 66.39
5, 3.0344, 43.02, 2.6531, 47.93, 70.74
6, 2.7654, 46.32, 2.4138, 50.57, 73.50
7, 2.5820, 48.71, 2.2596, 52.63, 75.54
8, 2.4571, 50.27, 2.1418, 54.31, 76.94
9, 2.3721, 51.35, 2.0620, 55.34, 77.97
10, 2.3067, 52.32, 2.0102, 55.94, 78.38
11, 2.2572, 52.99, 1.9624, 56.71, 79.05
12, 2.2208, 53.57, 1.9393, 56.83, 79.48
13, 2.1921, 54.03, 1.9140, 57.30, 79.65
14, 2.1670, 54.41, 1.8947, 57.98, 79.86
15, 2.1535, 54.63, 1.8808, 57.98, 80.15
16, 2.1378, 54.89, 1.8671, 58.18, 80.34
17, 2.1262, 55.06, 1.8568, 58.45, 80.52
18, 2.1150, 55.26, 1.8508, 58.38, 80.51
19, 2.1084, 55.42, 1.8452, 58.42, 80.63
20, 2.1024, 55.49, 1.8374, 58.73, 80.66
21, 2.0931, 55.60, 1.8360, 58.72, 80.71
22, 2.0879, 55.75, 1.8285, 58.74, 80.90
23, 2.0814, 55.91, 1.8260, 58.81, 80.88
24, 2.0786, 55.87, 1.8148, 59.16, 80.96
25, 2.0742, 56.01, 1.8120, 59.13, 81.06
26, 2.0665, 56.11, 1.8112, 58.85, 81.06
27, 2.0638, 56.20, 1.8084, 59.14, 80.97
28, 2.0577, 56.31, 1.8054, 59.18, 81.13
29, 2.0570, 56.37, 1.7970, 59.54, 81.13
30, 2.0517, 56.46, 1.7930, 59.31, 81.36
31, 2.0464, 56.49, 1.7972, 59.24, 81.31
32, 2.0474, 56.52, 1.7908, 59.62, 81.38
33, 2.0382, 56.62, 1.7815, 59.79, 81.52
34, 2.0371, 56.66, 1.7884, 59.58, 81.39
35, 2.0300, 56.81, 1.7800, 59.62, 81.48
36, 2.0275, 56.87, 1.7760, 59.76, 81.58
37, 2.0234, 56.91, 1.7798, 59.76, 81.40
38, 2.0177, 57.02, 1.7699, 59.88, 81.63
39, 2.0133, 57.13, 1.7752, 59.75, 81.50
40, 2.0085, 57.22, 1.7658, 60.08, 81.70
41, 2.0039, 57.25, 1.7634, 59.90, 81.68
42, 1.9999, 57.34, 1.7600, 59.88, 81.72
43, 1.9953, 57.40, 1.7480, 60.24, 81.87
44, 1.9902, 57.50, 1.7571, 60.19, 81.72
45, 1.9846, 57.60, 1.7481, 60.26, 82.01
46, 1.9848, 57.62, 1.7472, 60.31, 81.97
47, 1.9738, 57.81, 1.7410, 60.44, 81.95
48, 1.9722, 57.83, 1.7351, 60.52, 82.01
49, 1.9652, 57.97, 1.7339, 60.52, 82.13
50, 1.9625, 58.04, 1.7267, 60.76, 82.20
51, 1.9563, 58.12, 1.7285, 60.63, 82.24
52, 1.9544, 58.21, 1.7238, 60.70, 82.27
53, 1.9497, 58.28, 1.7245, 60.58, 82.23
54, 1.9431, 58.34, 1.7204, 60.75, 82.26
55, 1.9384, 58.46, 1.7188, 60.81, 82.31
56, 1.9346, 58.55, 1.7072, 61.10, 82.54
57, 1.9290, 58.61, 1.7079, 61.15, 82.39
58, 1.9231, 58.77, 1.7055, 60.96, 82.49
59, 1.9183, 58.84, 1.7046, 61.03, 82.56
60, 1.9143, 58.90, 1.6989, 61.16, 82.61
61, 1.9127, 58.96, 1.6973, 61.14, 82.63
62, 1.9077, 59.06, 1.6900, 61.38, 82.71
63, 1.9027, 59.15, 1.6919, 61.21, 82.63
64, 1.8986, 59.24, 1.6861, 61.44, 82.68
