Training Log
Model: vit_large_patch16
Model Details: /scratch/project_465003083/psomasva/checkpoints/converted_checkpoints/vit_large_patch16_224.maskfeat/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.6026, 1.18, 6.0593, 4.03, 11.44
1, 5.5679, 9.11, 4.8725, 16.93, 34.88
2, 4.3683, 24.49, 3.5517, 34.41, 57.22
3, 3.3583, 38.55, 2.7597, 45.27, 67.82
4, 2.8264, 45.89, 2.4089, 50.19, 71.82
5, 2.5531, 49.86, 2.2530, 52.54, 74.00
6, 2.3919, 52.22, 2.2160, 52.67, 74.51
7, 2.2758, 54.00, 2.1078, 54.32, 75.79
8, 2.1849, 55.33, 2.0980, 54.56, 76.33
9, 2.1183, 56.34, 2.0952, 54.68, 76.34
10, 2.0637, 57.16, 1.9763, 56.26, 78.19
11, 2.0125, 57.94, 1.9314, 57.64, 78.71
12, 1.9675, 58.68, 1.9334, 57.82, 78.64
13, 1.9351, 59.17, 1.8762, 58.36, 79.69
14, 1.9099, 59.61, 1.8231, 59.98, 80.27
15, 1.8837, 60.05, 1.8191, 59.54, 80.37
16, 1.8650, 60.34, 1.7932, 60.20, 81.02
17, 1.8448, 60.67, 1.7760, 60.54, 81.26
18, 1.8291, 60.97, 1.8164, 59.80, 80.72
19, 1.8175, 61.14, 1.8083, 60.32, 80.70
20, 1.7995, 61.48, 1.7684, 60.70, 81.11
21, 1.7889, 61.64, 1.7272, 61.16, 81.89
22, 1.7774, 61.85, 1.7589, 61.09, 81.54
23, 1.7694, 62.01, 1.7777, 60.75, 81.22
24, 1.7559, 62.19, 1.7170, 61.72, 82.24
25, 1.7468, 62.36, 1.6924, 61.91, 82.45
26, 1.7383, 62.53, 1.7250, 61.39, 82.03
27, 1.7343, 62.60, 1.7080, 61.66, 82.37
28, 1.7225, 62.80, 1.7741, 60.92, 81.27
29, 1.7123, 63.00, 1.7262, 61.46, 82.28
30, 1.7072, 63.08, 1.6953, 61.79, 82.43
31, 1.6986, 63.21, 1.6857, 62.22, 82.70
32, 1.6915, 63.37, 1.7018, 62.31, 82.49
33, 1.6833, 63.49, 1.6411, 63.24, 83.28
34, 1.6787, 63.55, 1.6125, 63.72, 83.42
35, 1.6719, 63.70, 1.5852, 63.91, 83.87
36, 1.6629, 63.87, 1.6834, 62.46, 82.70
37, 1.6544, 64.05, 1.6414, 63.28, 83.23
38, 1.6477, 64.15, 1.6651, 62.74, 83.04
39, 1.6401, 64.27, 1.6218, 63.51, 83.50
40, 1.6327, 64.40, 1.5651, 64.36, 84.25
41, 1.6279, 64.55, 1.5873, 63.91, 83.87
