Training Log
Model: ViT-bigG-14-worldwide
Model Details: 
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 128
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,960,360
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.4676, 27.67, 2.7461, 72.76, 91.30
1, 1.1312, 83.30, 0.6340, 84.77, 97.39
2, 0.4856, 87.51, 0.5080, 86.23, 97.99
3, 0.4069, 88.71, 0.4754, 86.60, 98.18
4, 0.3698, 89.42, 0.4616, 86.91, 98.25
5, 0.3453, 89.95, 0.4591, 86.95, 98.30
6, 0.3280, 90.32, 0.4607, 86.90, 98.24
7, 0.3146, 90.58, 0.4673, 86.73, 98.24
8, 0.3043, 90.83, 0.4760, 86.71, 98.20
9, 0.2964, 90.97, 0.4837, 86.44, 98.15
10, 0.2877, 91.15, 0.4923, 86.37, 98.13
11, 0.2753, 91.47, 0.4977, 86.52, 98.03
12, 0.2630, 91.79, 0.5059, 86.19, 98.02
13, 0.2498, 92.15, 0.5126, 86.14, 98.02
14, 0.2353, 92.54, 0.5211, 86.20, 97.97
15, 0.2204, 92.96, 0.5257, 86.17, 98.00
16, 0.2041, 93.45, 0.5400, 85.84, 97.96
17, 0.1894, 93.85, 0.5574, 85.90, 97.84
18, 0.1754, 94.28, 0.5664, 85.79, 97.88
19, 0.1624, 94.68, 0.5800, 85.65, 97.81
20, 0.1503, 95.04, 0.5985, 85.65, 97.78
21, 0.1393, 95.42, 0.6198, 85.35, 97.71
22, 0.1304, 95.71, 0.6366, 85.38, 97.60
23, 0.1234, 95.94, 0.6540, 85.39, 97.61
24, 0.1156, 96.20, 0.6749, 85.17, 97.53
25, 0.1104, 96.38, 0.6946, 85.33, 97.44
26, 0.1054, 96.57, 0.7088, 85.15, 97.49
27, 0.1014, 96.71, 0.7262, 85.16, 97.44
28, 0.0978, 96.84, 0.7455, 85.02, 97.40
29, 0.0949, 96.94, 0.7539, 85.16, 97.39
30, 0.0923, 97.04, 0.7812, 84.95, 97.32
31, 0.0899, 97.16, 0.7863, 85.14, 97.33
32, 0.0868, 97.27, 0.7996, 85.10, 97.29
33, 0.0848, 97.35, 0.8167, 85.01, 97.29
34, 0.0824, 97.44, 0.8316, 85.03, 97.22
35, 0.0805, 97.52, 0.8419, 84.86, 97.33
36, 0.0788, 97.59, 0.8570, 84.94, 97.26
37, 0.0777, 97.62, 0.8628, 84.81, 97.23
38, 0.0750, 97.72, 0.8728, 84.95, 97.24
39, 0.0732, 97.79, 0.8798, 85.03, 97.25
40, 0.0720, 97.82, 0.8899, 84.98, 97.21
41, 0.0699, 97.91, 0.9063, 84.93, 97.17
42, 0.0677, 97.98, 0.9008, 84.90, 97.23
43, 0.0659, 98.05, 0.9113, 84.92, 97.17
44, 0.0648, 98.08, 0.9073, 84.94, 97.19
45, 0.0626, 98.17, 0.9202, 84.95, 97.20
46, 0.0604, 98.23, 0.9122, 85.17, 97.23

# Control run, not a reported number. It exists so the rule stated in the README
# (ep vs ep_all) can be checked rather than taken on trust: the reported arm for this
# backbone is the sibling log in this directory. Best val acc1 86.95 at epoch 5
# of 47 recorded.
