Training Log
Model: ViT-bigG-14-worldwide
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 128
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,665,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.1603, 13.43, 4.4221, 53.02, 75.76
1, 2.2431, 74.91, 0.9790, 81.61, 95.87
2, 0.6537, 85.58, 0.6005, 85.06, 97.39
3, 0.4769, 87.70, 0.5233, 85.90, 97.86
4, 0.4146, 88.75, 0.4901, 86.53, 98.09
5, 0.3769, 89.52, 0.4760, 86.86, 98.18
6, 0.3490, 90.10, 0.4682, 86.86, 98.20
7, 0.3266, 90.59, 0.4659, 86.93, 98.26
8, 0.3072, 91.04, 0.4651, 86.94, 98.27
9, 0.2909, 91.42, 0.4707, 86.81, 98.24
10, 0.2753, 91.78, 0.4763, 86.76, 98.22
11, 0.2599, 92.17, 0.4819, 86.69, 98.18
12, 0.2463, 92.52, 0.4878, 86.51, 98.14
13, 0.2346, 92.81, 0.4930, 86.45, 98.16
14, 0.2246, 93.06, 0.5080, 86.30, 98.09
15, 0.2156, 93.30, 0.5096, 86.34, 98.07
16, 0.2066, 93.55, 0.5216, 86.09, 98.05
17, 0.1992, 93.73, 0.5352, 86.05, 97.95
18, 0.1930, 93.91, 0.5404, 86.08, 97.94
19, 0.1864, 94.07, 0.5489, 85.93, 97.87
20, 0.1807, 94.24, 0.5605, 85.79, 97.84
21, 0.1758, 94.35, 0.5720, 85.69, 97.74
22, 0.1715, 94.49, 0.5904, 85.65, 97.78
23, 0.1665, 94.60, 0.5988, 85.57, 97.74
24, 0.1628, 94.73, 0.6116, 85.16, 97.69
25, 0.1599, 94.83, 0.6168, 85.38, 97.67
26, 0.1557, 94.97, 0.6191, 85.42, 97.68
27, 0.1531, 95.03, 0.6318, 85.25, 97.62
28, 0.1502, 95.13, 0.6480, 85.11, 97.60
29, 0.1476, 95.20, 0.6541, 85.10, 97.57
30, 0.1449, 95.28, 0.6656, 85.08, 97.54
31, 0.1422, 95.38, 0.6709, 85.16, 97.56
32, 0.1395, 95.45, 0.6795, 85.06, 97.50
33, 0.1372, 95.53, 0.6801, 85.09, 97.51
34, 0.1341, 95.63, 0.6970, 85.05, 97.44
35, 0.1322, 95.70, 0.7038, 84.97, 97.47
36, 0.1300, 95.76, 0.7157, 84.87, 97.44
37, 0.1272, 95.84, 0.7256, 84.89, 97.38
38, 0.1256, 95.92, 0.7321, 84.92, 97.43
39, 0.1231, 95.98, 0.7373, 84.76, 97.40
40, 0.1215, 96.05, 0.7427, 84.81, 97.38
41, 0.1191, 96.14, 0.7474, 84.76, 97.37
42, 0.1165, 96.20, 0.7505, 84.79, 97.36
43, 0.1138, 96.27, 0.7513, 84.88, 97.40
44, 0.1127, 96.35, 0.7627, 84.76, 97.42
45, 0.1098, 96.43, 0.7648, 84.71, 97.37
46, 0.1074, 96.49, 0.7639, 84.75, 97.38
47, 0.1046, 96.57, 0.7693, 84.79, 97.36

# Control run, not a reported number. It exists so the rule stated in the README
# (GAP is not a free substitute for the [CLS]) can be checked rather than taken on trust: the reported arm for this
# backbone is the sibling log in this directory. Best val acc1 86.94 at epoch 8
# of 48 recorded.
