Training Log
Model: ViT-bigG-14-worldwide-378
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 16
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 4,487,144
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.2600, 30.63, 2.2392, 75.05, 92.78
1, 0.9664, 84.53, 0.5606, 85.89, 97.79
2, 0.4465, 88.39, 0.4604, 87.39, 98.34
3, 0.3730, 89.60, 0.4306, 87.88, 98.50
4, 0.3361, 90.33, 0.4191, 88.04, 98.62
5, 0.3109, 90.89, 0.4139, 88.10, 98.59
6, 0.2913, 91.31, 0.4168, 88.12, 98.59
7, 0.2758, 91.66, 0.4221, 88.01, 98.61
8, 0.2631, 91.92, 0.4317, 88.00, 98.57
9, 0.2533, 92.14, 0.4421, 87.84, 98.54

# Manually stopped after 10 of 90 epochs, and reported at its peak (epoch 6).
#
# This is a deliberate stop, not a crash or a wall. At 378px this backbone costs about
# 4.5 h/epoch, so a full schedule would be roughly 17 node-days per arm. The decision to
# stop rests on the behaviour of the rest of the family rather than on this run alone:
# every VLM in this benchmark peaks between epoch 6 and epoch 12, and the four that were
# taken to a full 90 epochs (SigLIP ViT-L, SigLIP2 ViT-L, CLIP ViT-B and PE-Core, both
# arms each) then declined for the remaining ~80 epochs without ever recovering their
# peak. The 224px run of this same checkpoint also peaks at epoch 6, across 49 LP and 30
# EP epochs. This arm likewise peaked at epoch 6 and was already falling when stopped,
# so the remaining epochs would have cost node-weeks to confirm a number already in hand.
#
# Read the figure as the peak of a converged-and-declining curve, which is what every
# other VLM row in this table reports too.
