Training Log
Model: vit_base_patch16
Model Details: /scratch/project_465003083/psomasva/checkpoints/converted_checkpoints/vit_base_patch16_224.mocov3/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep_all
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3410, 7.06, 4.9419, 26.62, 49.66
1, 3.5167, 44.00, 2.3212, 57.33, 81.14
2, 1.8920, 62.65, 1.4842, 67.49, 88.25
3, 1.3815, 69.34, 1.2164, 71.19, 90.60
4, 1.1960, 72.20, 1.1114, 72.91, 91.50
5, 1.1097, 73.68, 1.0547, 74.03, 91.97
6, 1.0475, 74.79, 1.0150, 74.79, 92.40
7, 0.9952, 75.71, 0.9819, 75.26, 92.70
8, 0.9520, 76.47, 0.9579, 75.69, 92.93
9, 0.9217, 77.02, 0.9388, 75.80, 93.15
10, 0.8958, 77.50, 0.9323, 75.98, 93.20
11, 0.8721, 78.00, 0.9209, 76.43, 93.30
12, 0.8543, 78.32, 0.9221, 76.28, 93.40
13, 0.8374, 78.65, 0.9147, 76.53, 93.50
14, 0.8232, 78.95, 0.9159, 76.52, 93.47
15, 0.8117, 79.21, 0.9161, 76.33, 93.46
16, 0.7995, 79.44, 0.9203, 76.24, 93.33
17, 0.7923, 79.59, 0.9174, 76.51, 93.43
18, 0.7810, 79.85, 0.9213, 76.35, 93.31
19, 0.7761, 80.01, 0.9292, 76.27, 93.25
20, 0.7682, 80.10, 0.9283, 76.43, 93.21
21, 0.7627, 80.27, 0.9301, 76.42, 93.24
22, 0.7571, 80.37, 0.9361, 76.19, 93.23
23, 0.7495, 80.50, 0.9417, 76.03, 93.20
24, 0.7441, 80.61, 0.9458, 76.04, 93.16
25, 0.7395, 80.73, 0.9461, 76.15, 93.22
26, 0.7356, 80.82, 0.9489, 76.05, 93.12
27, 0.7296, 80.94, 0.9522, 76.05, 93.11
28, 0.7250, 81.05, 0.9562, 75.77, 93.08
29, 0.7218, 81.10, 0.9616, 75.87, 93.03
30, 0.7184, 81.18, 0.9643, 75.69, 92.97
31, 0.7121, 81.33, 0.9622, 76.11, 93.11
32, 0.7099, 81.42, 0.9638, 75.81, 93.05
33, 0.7030, 81.54, 0.9665, 75.98, 93.06
34, 0.6984, 81.68, 0.9692, 75.94, 93.03
35, 0.6938, 81.78, 0.9695, 75.92, 93.06
36, 0.6934, 81.79, 0.9711, 75.71, 93.10
37, 0.6866, 81.93, 0.9730, 76.11, 93.07
38, 0.6841, 81.98, 0.9796, 75.77, 92.94
39, 0.6797, 82.13, 0.9756, 76.05, 92.98
40, 0.6769, 82.17, 0.9758, 75.74, 93.03
41, 0.6726, 82.31, 0.9761, 75.96, 93.02
42, 0.6691, 82.35, 0.9771, 75.88, 92.97
