Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.mocov3/checkpoint-799.pth
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3426, 7.01, 4.9466, 26.50, 49.45
1, 3.5247, 43.81, 2.3287, 57.21, 81.03
2, 1.8979, 62.54, 1.4862, 67.47, 88.28
3, 1.3853, 69.26, 1.2184, 71.14, 90.56
4, 1.2025, 72.05, 1.1152, 72.80, 91.50
5, 1.1247, 73.38, 1.0634, 73.78, 91.93
6, 1.0767, 74.21, 1.0374, 74.17, 92.14
7, 1.0451, 74.81, 1.0224, 74.37, 92.23
8, 1.0213, 75.25, 1.0123, 74.57, 92.42
9, 1.0043, 75.50, 0.9976, 74.79, 92.51
10, 0.9868, 75.86, 0.9959, 74.83, 92.64
11, 0.9670, 76.28, 0.9861, 75.09, 92.68
12, 0.9501, 76.59, 0.9877, 75.14, 92.76
13, 0.9335, 76.92, 0.9779, 75.26, 92.90
14, 0.9195, 77.20, 0.9797, 75.28, 92.85
15, 0.9079, 77.45, 0.9797, 75.28, 92.79
16, 0.8956, 77.71, 0.9812, 75.13, 92.73
17, 0.8868, 77.86, 0.9805, 75.45, 92.80
18, 0.8765, 78.08, 0.9811, 75.42, 92.83
19, 0.8703, 78.24, 0.9844, 75.26, 92.89
20, 0.8616, 78.40, 0.9876, 75.36, 92.73
21, 0.8547, 78.56, 0.9848, 75.29, 92.85
22, 0.8494, 78.66, 0.9907, 75.34, 92.80
23, 0.8415, 78.78, 0.9933, 75.39, 92.78
24, 0.8356, 78.94, 0.9965, 75.40, 92.80
25, 0.8310, 79.03, 0.9999, 75.33, 92.79
26, 0.8278, 79.07, 1.0029, 75.05, 92.74
27, 0.8205, 79.22, 1.0084, 74.96, 92.68
28, 0.8163, 79.34, 1.0042, 75.08, 92.71
29, 0.8123, 79.40, 1.0088, 75.15, 92.70
30, 0.8083, 79.55, 1.0069, 75.10, 92.69
31, 0.8021, 79.62, 1.0081, 75.28, 92.68
32, 0.7992, 79.78, 1.0116, 74.94, 92.71
33, 0.7925, 79.82, 1.0096, 75.20, 92.62
34, 0.7877, 79.97, 1.0124, 75.20, 92.62
35, 0.7839, 80.05, 1.0140, 75.16, 92.62
36, 0.7826, 80.09, 1.0139, 75.13, 92.66
37, 0.7747, 80.25, 1.0155, 75.18, 92.67
38, 0.7717, 80.37, 1.0209, 75.08, 92.59
39, 0.7683, 80.46, 1.0171, 75.16, 92.56
40, 0.7647, 80.53, 1.0131, 75.27, 92.70
41, 0.7604, 80.62, 1.0144, 75.05, 92.64
42, 0.7557, 80.73, 1.0154, 75.10, 92.67
43, 0.7491, 80.87, 1.0150, 75.17, 92.57
44, 0.7464, 80.95, 1.0122, 75.40, 92.67
45, 0.7405, 81.06, 1.0170, 75.31, 92.62
46, 0.7393, 81.12, 1.0154, 75.23, 92.64
47, 0.7334, 81.26, 1.0172, 75.19, 92.57
48, 0.7291, 81.34, 1.0185, 75.19, 92.67
49, 0.7278, 81.41, 1.0142, 75.24, 92.62
50, 0.7207, 81.52, 1.0129, 75.12, 92.70
51, 0.7165, 81.70, 1.0146, 75.41, 92.61
52, 0.7131, 81.74, 1.0122, 75.27, 92.66
53, 0.7104, 81.85, 1.0120, 75.39, 92.73
54, 0.7033, 81.97, 1.0174, 75.36, 92.64
55, 0.6998, 82.03, 1.0123, 75.34, 92.62
56, 0.6989, 82.15, 1.0118, 75.36, 92.70
57, 0.6954, 82.21, 1.0080, 75.51, 92.64
58, 0.6913, 82.34, 1.0111, 75.40, 92.65
59, 0.6892, 82.40, 1.0068, 75.45, 92.69
60, 0.6810, 82.57, 1.0082, 75.33, 92.61
61, 0.6785, 82.64, 1.0039, 75.67, 92.70
62, 0.6773, 82.70, 1.0067, 75.63, 92.73
63, 0.6730, 82.81, 1.0030, 75.61, 92.75
64, 0.6707, 82.90, 1.0025, 75.54, 92.73
65, 0.6669, 82.96, 1.0036, 75.57, 92.72
66, 0.6646, 83.04, 1.0007, 75.69, 92.74
67, 0.6610, 83.14, 1.0016, 75.63, 92.74
68, 0.6580, 83.23, 0.9987, 75.68, 92.79
69, 0.6564, 83.27, 0.9988, 75.67, 92.75
70, 0.6515, 83.39, 0.9984, 75.52, 92.75
71, 0.6504, 83.44, 0.9992, 75.62, 92.78
72, 0.6499, 83.47, 1.0001, 75.71, 92.75
73, 0.6486, 83.52, 0.9957, 75.68, 92.82
74, 0.6443, 83.62, 0.9960, 75.74, 92.79
75, 0.6410, 83.70, 0.9953, 75.78, 92.75
76, 0.6416, 83.69, 0.9959, 75.86, 92.81
77, 0.6386, 83.78, 0.9947, 75.84, 92.78
78, 0.6383, 83.79, 0.9942, 75.77, 92.77
79, 0.6338, 83.90, 0.9928, 75.80, 92.76
80, 0.6338, 83.89, 0.9927, 75.81, 92.78
81, 0.6323, 83.93, 0.9930, 75.86, 92.78
82, 0.6311, 83.95, 0.9920, 75.87, 92.80
83, 0.6310, 84.00, 0.9927, 75.87, 92.78
84, 0.6290, 84.07, 0.9928, 75.90, 92.78
85, 0.6292, 84.10, 0.9926, 75.87, 92.79
86, 0.6288, 84.11, 0.9937, 75.88, 92.79
87, 0.6270, 84.11, 0.9918, 75.86, 92.80
88, 0.6264, 84.15, 0.9916, 75.89, 92.81
89, 0.6284, 84.11, 0.9929, 75.86, 92.81

Final Results:
Max Accuracy: 75.90%
Final Val Acc1: 75.86%
Final Val Acc5: 92.81%
Total Training Time: 17:28:07

# Control run, not a reported number. It exists so the rule stated in the README
# (ep vs ep_all) can be checked rather than taken on trust: the reported arm for this
# backbone is the sibling log in this directory. Best val acc1 75.90 at epoch 84
# of 90 recorded.
