Training Log
Model: vit_base_patch16
Model Details: <checkpoints>/vit_base_patch16_224.mocov3/checkpoint-799.pth
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 769,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.4464, 7.97, 5.2515, 32.46, 49.48
1, 3.6089, 53.27, 2.2956, 63.25, 85.17
2, 1.6976, 68.35, 1.4125, 69.78, 89.54
3, 1.2583, 72.18, 1.1909, 72.47, 91.00
4, 1.1145, 74.09, 1.0941, 73.81, 91.83
5, 1.0392, 75.29, 1.0411, 74.60, 92.27
6, 0.9908, 76.07, 1.0082, 75.09, 92.63
7, 0.9559, 76.63, 0.9893, 75.30, 92.75
8, 0.9307, 76.99, 0.9769, 75.40, 92.88
9, 0.9133, 77.28, 0.9664, 75.62, 92.90
10, 0.8985, 77.52, 0.9685, 75.49, 92.90
11, 0.8855, 77.74, 0.9627, 75.70, 92.96
12, 0.8736, 77.96, 0.9622, 75.55, 92.99
13, 0.8646, 78.12, 0.9624, 75.67, 93.03
14, 0.8577, 78.26, 0.9690, 75.39, 92.95
15, 0.8517, 78.36, 0.9659, 75.54, 92.99
16, 0.8485, 78.44, 0.9740, 75.31, 92.90
17, 0.8452, 78.45, 0.9779, 75.50, 92.83
18, 0.8406, 78.56, 0.9753, 75.23, 92.87
19, 0.8385, 78.60, 0.9786, 75.19, 92.91
20, 0.8371, 78.60, 0.9851, 75.25, 92.76
21, 0.8346, 78.67, 0.9819, 75.30, 92.77
22, 0.8310, 78.71, 0.9895, 74.96, 92.80
23, 0.8304, 78.76, 0.9945, 75.15, 92.68
24, 0.8280, 78.80, 0.9911, 75.15, 92.74
25, 0.8273, 78.79, 0.9915, 74.95, 92.67
26, 0.8263, 78.82, 0.9982, 75.02, 92.61
27, 0.8249, 78.88, 0.9960, 75.01, 92.68
28, 0.8216, 78.91, 0.9936, 74.95, 92.63
29, 0.8220, 78.95, 0.9981, 74.89, 92.60
30, 0.8189, 78.99, 0.9952, 74.86, 92.55
31, 0.8174, 78.98, 1.0005, 75.12, 92.59
32, 0.8172, 79.03, 1.0014, 74.94, 92.66
33, 0.8140, 79.08, 0.9985, 75.06, 92.52
34, 0.8137, 79.07, 1.0029, 75.04, 92.53
35, 0.8115, 79.15, 0.9998, 75.07, 92.56
36, 0.8101, 79.17, 1.0063, 74.92, 92.56
37, 0.8086, 79.18, 1.0053, 75.02, 92.55
38, 0.8052, 79.27, 1.0056, 75.01, 92.56
39, 0.8041, 79.33, 1.0037, 75.07, 92.50
40, 0.8029, 79.34, 0.9980, 74.98, 92.62
41, 0.8010, 79.36, 1.0001, 75.10, 92.55
42, 0.7983, 79.42, 1.0039, 75.02, 92.55
43, 0.7961, 79.49, 1.0017, 75.02, 92.56
44, 0.7955, 79.49, 0.9996, 75.17, 92.53
45, 0.7909, 79.56, 1.0031, 75.09, 92.58
46, 0.7918, 79.57, 0.9997, 75.00, 92.52
47, 0.7881, 79.64, 0.9982, 75.15, 92.54
48, 0.7866, 79.69, 0.9988, 75.01, 92.55
49, 0.7843, 79.74, 0.9933, 75.24, 92.59
50, 0.7827, 79.84, 0.9960, 75.25, 92.61
51, 0.7810, 79.86, 0.9945, 75.15, 92.62
52, 0.7792, 79.90, 0.9965, 75.12, 92.50
53, 0.7787, 79.91, 0.9934, 75.11, 92.64
54, 0.7751, 79.99, 0.9932, 75.25, 92.58
55, 0.7728, 80.02, 0.9910, 75.11, 92.61
56, 0.7724, 80.06, 0.9892, 75.30, 92.58
57, 0.7689, 80.13, 0.9899, 75.27, 92.55
58, 0.7673, 80.19, 0.9862, 75.33, 92.61
