Training Log
Model: PE-Core-L-14-336
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.9677, 11.04, 4.3905, 38.89, 62.32
1, 2.3377, 66.08, 1.2103, 77.14, 94.34
2, 0.7709, 83.15, 0.6446, 83.99, 97.30
3, 0.4824, 87.26, 0.4946, 86.28, 98.24
4, 0.4024, 88.66, 0.4617, 86.88, 98.40
5, 0.3746, 89.20, 0.4548, 87.05, 98.52
6, 0.3584, 89.51, 0.4510, 87.10, 98.50
7, 0.3471, 89.74, 0.4477, 87.11, 98.52
8, 0.3380, 89.94, 0.4505, 87.20, 98.53
9, 0.3316, 90.09, 0.4521, 87.05, 98.46
10, 0.3236, 90.28, 0.4529, 87.09, 98.55
11, 0.3129, 90.51, 0.4527, 87.18, 98.47
12, 0.3032, 90.78, 0.4510, 87.25, 98.49
13, 0.2937, 91.02, 0.4536, 87.13, 98.50
14, 0.2849, 91.20, 0.4592, 87.22, 98.49
15, 0.2749, 91.47, 0.4615, 87.08, 98.57
16, 0.2659, 91.71, 0.4641, 87.04, 98.56
17, 0.2572, 91.93, 0.4677, 86.94, 98.51
18, 0.2483, 92.18, 0.4722, 87.14, 98.45
19, 0.2399, 92.39, 0.4760, 87.02, 98.47
20, 0.2308, 92.65, 0.4851, 86.92, 98.42
21, 0.2227, 92.86, 0.4971, 86.54, 98.34
22, 0.2150, 93.07, 0.4997, 86.77, 98.40
23, 0.2076, 93.30, 0.5081, 86.59, 98.33
24, 0.2001, 93.51, 0.5190, 86.49, 98.26
25, 0.1927, 93.70, 0.5235, 86.46, 98.27
26, 0.1861, 93.91, 0.5352, 86.50, 98.22
27, 0.1796, 94.09, 0.5428, 86.41, 98.16
28, 0.1733, 94.29, 0.5555, 86.30, 98.13
29, 0.1670, 94.48, 0.5576, 86.19, 98.18
30, 0.1610, 94.64, 0.5707, 86.25, 98.11
31, 0.1556, 94.79, 0.5721, 86.34, 98.15
32, 0.1507, 94.97, 0.5968, 85.95, 98.12
33, 0.1442, 95.17, 0.5970, 86.12, 98.08
34, 0.1395, 95.31, 0.6023, 86.07, 98.06
35, 0.1354, 95.44, 0.6216, 85.85, 98.02
36, 0.1310, 95.57, 0.6332, 85.88, 98.00
37, 0.1265, 95.74, 0.6485, 85.82, 97.90
38, 0.1218, 95.87, 0.6460, 85.77, 97.95
39, 0.1180, 95.98, 0.6578, 85.76, 97.93
40, 0.1135, 96.15, 0.6712, 85.72, 97.90
41, 0.1100, 96.27, 0.6783, 85.61, 97.88
42, 0.1057, 96.39, 0.6748, 85.60, 97.92
43, 0.1017, 96.54, 0.6858, 85.88, 97.89
44, 0.0984, 96.65, 0.7001, 85.70, 97.93
45, 0.0946, 96.78, 0.7033, 85.69, 97.88
46, 0.0905, 96.92, 0.7029, 85.50, 97.93
47, 0.0873, 97.02, 0.7149, 85.48, 97.94
48, 0.0845, 97.12, 0.7226, 85.74, 97.90
49, 0.0802, 97.28, 0.7277, 85.59, 97.94
50, 0.0774, 97.36, 0.7398, 85.55, 97.91
51, 0.0743, 97.48, 0.7360, 85.62, 97.83
52, 0.0710, 97.61, 0.7489, 85.60, 97.81
53, 0.0688, 97.66, 0.7473, 85.50, 97.87
54, 0.0653, 97.80, 0.7551, 85.55, 97.89
55, 0.0625, 97.88, 0.7674, 85.62, 97.88
56, 0.0604, 97.97, 0.7568, 85.68, 97.88
57, 0.0573, 98.07, 0.7629, 85.59, 97.85
58, 0.0548, 98.15, 0.7703, 85.79, 97.89
59, 0.0528, 98.23, 0.7804, 85.66, 97.82
60, 0.0499, 98.33, 0.7805, 85.69, 97.84
61, 0.0479, 98.39, 0.7767, 85.66, 97.88
62, 0.0457, 98.47, 0.7787, 85.69, 97.91
63, 0.0436, 98.54, 0.7820, 85.67, 97.90
64, 0.0421, 98.60, 0.7786, 85.70, 97.90
65, 0.0399, 98.67, 0.7862, 85.72, 97.92
66, 0.0382, 98.73, 0.7863, 85.78, 97.92
67, 0.0365, 98.79, 0.7894, 85.74, 97.91
68, 0.0351, 98.82, 0.7895, 85.74, 97.95
69, 0.0335, 98.88, 0.7929, 85.70, 97.92
70, 0.0320, 98.93, 0.7913, 85.75, 97.94
71, 0.0305, 98.97, 0.7914, 85.80, 97.94
72, 0.0296, 99.00, 0.7914, 85.86, 97.92
73, 0.0282, 99.04, 0.7923, 85.89, 97.95
74, 0.0270, 99.08, 0.7953, 85.92, 97.95
75, 0.0260, 99.10, 0.7958, 85.91, 97.98
76, 0.0250, 99.14, 0.7946, 85.95, 97.95
77, 0.0241, 99.16, 0.7958, 85.98, 97.96
78, 0.0234, 99.18, 0.7970, 85.82, 97.96
79, 0.0227, 99.20, 0.7965, 85.92, 97.96
80, 0.0219, 99.23, 0.7951, 85.93, 97.98
81, 0.0215, 99.24, 0.7942, 86.00, 97.97
82, 0.0209, 99.26, 0.7934, 86.03, 97.98
83, 0.0203, 99.29, 0.7954, 85.98, 98.00
84, 0.0200, 99.28, 0.7961, 86.01, 97.99
