k-NN Evaluation
Model: PE-Core L-14/336
Representation: pos
Protocol: features L2-normalised, cosine similarity, ImageNet-1k train as the database and val as queries
features: 'raw' is the backbone output as the probe sees it; 'final_norm' additionally applies the encoder's final LayerNorm, which forward_features skips and which the LP head otherwise absorbs into its own learned BatchNorm
features, T, k, Top1, Top5
raw, 0.07, 5, 48.70, 64.93
raw, 0.07, 10, 49.07, 67.58
raw, 0.07, 15, 48.49, 68.64
raw, 0.07, 20, 48.15, 69.12
raw, 0.07, 50, 45.91, 69.21
raw, 0.07, 100, 43.57, 68.14
raw, 0.07, 200, 40.84, 66.29
raw, 0.1, 5, 48.62, 64.93
raw, 0.1, 10, 48.82, 67.58
raw, 0.1, 15, 48.15, 68.64
raw, 0.1, 20, 47.68, 69.09
raw, 0.1, 50, 45.24, 68.88
raw, 0.1, 100, 42.55, 67.51
raw, 0.1, 200, 39.49, 65.35
raw, 0.2, 5, 48.61, 64.93
raw, 0.2, 10, 48.71, 67.58
raw, 0.2, 15, 47.98, 68.64
raw, 0.2, 20, 47.41, 69.07
raw, 0.2, 50, 44.53, 68.63
raw, 0.2, 100, 41.47, 66.95
raw, 0.2, 200, 37.93, 64.28

Best: Top1 49.07% with raw features at k=10, T=0.07
Top5: 67.58%
