Training Log
Model: PE-Core-L-14-336
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2571, 10.37, 4.7086, 44.29, 70.98
1, 2.4788, 72.79, 1.0103, 82.07, 96.99
2, 0.6120, 86.73, 0.5442, 85.84, 98.09
3, 0.4243, 88.73, 0.4701, 86.84, 98.45
4, 0.3700, 89.66, 0.4408, 87.41, 98.60
5, 0.3399, 90.28, 0.4286, 87.58, 98.63
6, 0.3190, 90.73, 0.4226, 87.76, 98.65
7, 0.3032, 91.08, 0.4220, 87.62, 98.68
8, 0.2906, 91.37, 0.4219, 87.75, 98.65
9, 0.2804, 91.59, 0.4282, 87.45, 98.65
10, 0.2706, 91.85, 0.4312, 87.42, 98.64
11, 0.2608, 92.08, 0.4375, 87.50, 98.60
12, 0.2527, 92.29, 0.4414, 87.28, 98.58
13, 0.2459, 92.47, 0.4458, 87.33, 98.58
14, 0.2399, 92.60, 0.4585, 87.12, 98.51
15, 0.2347, 92.73, 0.4583, 87.12, 98.53
16, 0.2294, 92.88, 0.4651, 86.94, 98.50
17, 0.2252, 92.98, 0.4756, 86.85, 98.45
18, 0.2218, 93.08, 0.4784, 86.88, 98.43
19, 0.2179, 93.15, 0.4833, 86.80, 98.43
20, 0.2139, 93.29, 0.4950, 86.58, 98.36
21, 0.2116, 93.33, 0.5004, 86.55, 98.35
22, 0.2085, 93.42, 0.5121, 86.40, 98.28
23, 0.2063, 93.44, 0.5152, 86.45, 98.34
24, 0.2031, 93.56, 0.5189, 86.47, 98.27
25, 0.2011, 93.60, 0.5284, 86.27, 98.23
26, 0.1986, 93.66, 0.5359, 86.16, 98.25
27, 0.1970, 93.73, 0.5376, 86.34, 98.21
28, 0.1949, 93.79, 0.5447, 86.13, 98.20
29, 0.1925, 93.82, 0.5520, 86.13, 98.18
30, 0.1905, 93.90, 0.5598, 85.93, 98.16
31, 0.1883, 93.94, 0.5642, 86.06, 98.15
32, 0.1873, 93.98, 0.5721, 85.80, 98.12
33, 0.1842, 94.05, 0.5696, 85.96, 98.14
34, 0.1824, 94.12, 0.5790, 85.90, 98.05
35, 0.1810, 94.17, 0.5817, 85.83, 98.09
36, 0.1787, 94.22, 0.5923, 85.73, 98.04
37, 0.1769, 94.27, 0.5967, 85.86, 98.09
38, 0.1751, 94.35, 0.5992, 85.69, 98.01
39, 0.1730, 94.39, 0.5982, 85.62, 98.00
40, 0.1714, 94.45, 0.6061, 85.70, 98.04
41, 0.1692, 94.51, 0.6089, 85.59, 98.05
42, 0.1677, 94.55, 0.6160, 85.65, 98.03
43, 0.1650, 94.65, 0.6099, 85.66, 98.01
44, 0.1636, 94.70, 0.6164, 85.76, 98.03
45, 0.1618, 94.72, 0.6189, 85.63, 98.02
46, 0.1593, 94.80, 0.6230, 85.51, 97.99
47, 0.1577, 94.85, 0.6238, 85.66, 98.04
48, 0.1552, 94.93, 0.6284, 85.44, 98.00
49, 0.1535, 94.98, 0.6223, 85.70, 98.01
50, 0.1518, 95.04, 0.6278, 85.53, 97.99
51, 0.1494, 95.09, 0.6273, 85.58, 97.99
52, 0.1480, 95.14, 0.6338, 85.49, 97.92
53, 0.1460, 95.19, 0.6308, 85.71, 97.95
54, 0.1436, 95.27, 0.6369, 85.42, 97.97
55, 0.1421, 95.32, 0.6377, 85.49, 97.96
56, 0.1402, 95.39, 0.6352, 85.42, 97.96
57, 0.1382, 95.47, 0.6370, 85.54, 97.93
58, 0.1363, 95.51, 0.6409, 85.47, 97.95
59, 0.1348, 95.57, 0.6437, 85.51, 97.96
60, 0.1331, 95.62, 0.6450, 85.45, 97.93
61, 0.1314, 95.68, 0.6420, 85.46, 97.90
62, 0.1299, 95.74, 0.6427, 85.55, 97.93
63, 0.1278, 95.82, 0.6378, 85.57, 97.95
64, 0.1268, 95.85, 0.6379, 85.52, 97.94
65, 0.1250, 95.92, 0.6420, 85.40, 97.93
66, 0.1238, 95.96, 0.6392, 85.48, 97.93
67, 0.1223, 96.01, 0.6413, 85.54, 97.92
68, 0.1211, 96.06, 0.6420, 85.48, 97.91
69, 0.1195, 96.12, 0.6435, 85.43, 97.91
70, 0.1182, 96.18, 0.6415, 85.48, 97.95
71, 0.1172, 96.23, 0.6392, 85.53, 97.94
72, 0.1161, 96.27, 0.6412, 85.50, 97.92
73, 0.1150, 96.30, 0.6421, 85.47, 97.91
74, 0.1140, 96.36, 0.6403, 85.50, 97.90
75, 0.1129, 96.39, 0.6394, 85.54, 97.92
76, 0.1121, 96.43, 0.6397, 85.53, 97.93
77, 0.1112, 96.45, 0.6410, 85.52, 97.94
78, 0.1106, 96.49, 0.6415, 85.40, 97.91
79, 0.1097, 96.51, 0.6403, 85.54, 97.92
80, 0.1090, 96.56, 0.6404, 85.45, 97.91
81, 0.1085, 96.58, 0.6395, 85.55, 97.91
82, 0.1080, 96.60, 0.6405, 85.47, 97.93
83, 0.1073, 96.62, 0.6398, 85.53, 97.92
84, 0.1069, 96.65, 0.6399, 85.54, 97.90
85, 0.1068, 96.66, 0.6392, 85.57, 97.93
86, 0.1063, 96.67, 0.6395, 85.55, 97.91
87, 0.1059, 96.70, 0.6394, 85.52, 97.92
88, 0.1061, 96.69, 0.6399, 85.52, 97.92
89, 0.1059, 96.71, 0.6396, 85.50, 97.94

Final Results:
Max Accuracy: 87.76%
Final Val Acc1: 85.50%
Final Val Acc5: 97.94%
Total Training Time: 1 day, 15:32:50

# Full 90 epochs, no early stopping. Best val acc1 87.76 at epoch 6, then a slow
# decline to 85.50 by epoch 89 -- the shape every VLM in this benchmark shows.
# This run probes the encoder's OWN attention-pooled output (--cls_features cls) and is
# the comparison arm for the section "What the encoder's own pooler scores"; it is not
# the number reported in the main table, which uses GAP (85.44, logs/pe_core_l336/lp.txt).
