Training Log
Model: PE-Core-L-14-336
Model Details: 
Dataset: imagenet1k
Representation: pos
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2862, 8.24, 4.8476, 33.22, 59.32
1, 2.8978, 59.19, 1.6586, 71.17, 91.03
2, 1.0918, 78.63, 0.9257, 79.77, 95.36
3, 0.7148, 83.54, 0.7288, 82.59, 96.60
4, 0.5830, 85.65, 0.6428, 83.86, 97.12
5, 0.5141, 86.90, 0.5988, 84.58, 97.43
6, 0.4707, 87.70, 0.5752, 85.00, 97.58
7, 0.4395, 88.31, 0.5610, 85.18, 97.66
8, 0.4158, 88.77, 0.5517, 85.39, 97.74
9, 0.3975, 89.17, 0.5488, 85.35, 97.76
10, 0.3805, 89.50, 0.5472, 85.43, 97.76
11, 0.3646, 89.86, 0.5458, 85.37, 97.81
12, 0.3515, 90.13, 0.5485, 85.44, 97.75
13, 0.3403, 90.38, 0.5494, 85.36, 97.74
14, 0.3302, 90.61, 0.5598, 85.20, 97.77
15, 0.3216, 90.79, 0.5557, 85.35, 97.73
16, 0.3133, 90.97, 0.5627, 85.05, 97.74
17, 0.3058, 91.15, 0.5712, 85.13, 97.70
18, 0.3000, 91.29, 0.5771, 85.10, 97.67
19, 0.2939, 91.44, 0.5776, 84.95, 97.64
20, 0.2879, 91.57, 0.5866, 84.73, 97.60
21, 0.2833, 91.69, 0.5909, 84.76, 97.62
22, 0.2786, 91.79, 0.5989, 84.70, 97.56
23, 0.2739, 91.89, 0.5999, 84.78, 97.55
24, 0.2693, 91.99, 0.6106, 84.47, 97.45
25, 0.2663, 92.07, 0.6131, 84.69, 97.49
26, 0.2614, 92.19, 0.6257, 84.44, 97.46
27, 0.2591, 92.25, 0.6244, 84.60, 97.44
28, 0.2547, 92.37, 0.6351, 84.27, 97.43
29, 0.2515, 92.43, 0.6352, 84.38, 97.37
30, 0.2485, 92.51, 0.6422, 84.31, 97.39
31, 0.2448, 92.63, 0.6409, 84.45, 97.34
32, 0.2426, 92.65, 0.6498, 84.12, 97.36
33, 0.2382, 92.78, 0.6522, 84.25, 97.33
34, 0.2354, 92.86, 0.6612, 84.23, 97.26
35, 0.2319, 92.94, 0.6622, 84.16, 97.30
36, 0.2290, 93.01, 0.6658, 84.31, 97.27
37, 0.2263, 93.09, 0.6745, 84.00, 97.25
38, 0.2236, 93.13, 0.6746, 84.09, 97.26
39, 0.2203, 93.24, 0.6762, 84.15, 97.16
40, 0.2180, 93.35, 0.6862, 84.03, 97.24
41, 0.2148, 93.40, 0.6858, 84.12, 97.25
42, 0.2122, 93.48, 0.6980, 83.93, 97.18
43, 0.2082, 93.59, 0.6899, 84.08, 97.17
44, 0.2054, 93.67, 0.7019, 83.89, 97.15
45, 0.2029, 93.73, 0.6991, 83.90, 97.15
46, 0.1994, 93.83, 0.7023, 83.90, 97.14
47, 0.1965, 93.93, 0.7076, 83.90, 97.14
48, 0.1932, 94.01, 0.7019, 83.85, 97.16
49, 0.1904, 94.08, 0.7021, 84.12, 97.12
50, 0.1874, 94.19, 0.7072, 83.93, 97.21
51, 0.1841, 94.28, 0.7057, 83.87, 97.17
52, 0.1811, 94.37, 0.7097, 83.78, 97.15
53, 0.1787, 94.44, 0.7057, 83.90, 97.18
54, 0.1757, 94.54, 0.7165, 83.87, 97.12
55, 0.1734, 94.63, 0.7166, 83.69, 97.15
56, 0.1709, 94.71, 0.7132, 83.90, 97.11
57, 0.1678, 94.79, 0.7126, 83.96, 97.14
58, 0.1651, 94.87, 0.7109, 83.85, 97.17
59, 0.1625, 94.96, 0.7170, 83.94, 97.16
60, 0.1603, 95.02, 0.7177, 83.70, 97.16
61, 0.1573, 95.14, 0.7134, 83.90, 97.13
62, 0.1558, 95.20, 0.7156, 83.91, 97.16
63, 0.1529, 95.30, 0.7108, 83.84, 97.17
64, 0.1512, 95.34, 0.7128, 83.82, 97.19
65, 0.1487, 95.44, 0.7147, 83.88, 97.16
66, 0.1467, 95.50, 0.7116, 83.86, 97.20
67, 0.1449, 95.56, 0.7135, 83.88, 97.18
68, 0.1427, 95.66, 0.7105, 83.89, 97.16
69, 0.1410, 95.71, 0.7147, 83.84, 97.18
70, 0.1389, 95.79, 0.7100, 83.91, 97.16
71, 0.1373, 95.87, 0.7093, 83.92, 97.17
72, 0.1359, 95.93, 0.7077, 83.86, 97.18
73, 0.1345, 95.97, 0.7096, 83.83, 97.16
74, 0.1330, 96.02, 0.7095, 83.91, 97.15
75, 0.1315, 96.11, 0.7090, 83.91, 97.18
76, 0.1303, 96.16, 0.7054, 83.95, 97.18
77, 0.1294, 96.19, 0.7087, 83.92, 97.17
78, 0.1283, 96.22, 0.7071, 83.96, 97.18
79, 0.1272, 96.28, 0.7064, 83.95, 97.20
80, 0.1262, 96.31, 0.7065, 83.91, 97.14
81, 0.1252, 96.36, 0.7064, 83.88, 97.16
82, 0.1248, 96.38, 0.7071, 83.89, 97.18
83, 0.1238, 96.43, 0.7054, 83.89, 97.17
84, 0.1235, 96.43, 0.7067, 83.92, 97.18
85, 0.1229, 96.46, 0.7062, 83.92, 97.17
86, 0.1227, 96.47, 0.7060, 83.93, 97.15
87, 0.1220, 96.50, 0.7062, 83.94, 97.18
88, 0.1221, 96.50, 0.7064, 83.93, 97.17
89, 0.1221, 96.51, 0.7079, 83.90, 97.16

Final Results:
Max Accuracy: 85.44%
Final Val Acc1: 83.90%
Final Val Acc5: 97.16%
Total Training Time: 1 day, 15:26:24
