Training Log
Model: radio_v2.5-b
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,383,400
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.9291, 12.33, 3.9763, 39.31, 66.78
1, 2.6222, 54.53, 1.6818, 65.27, 88.35
2, 1.5023, 67.31, 1.1913, 71.54, 91.78
3, 1.2011, 71.70, 1.0005, 74.42, 93.35
4, 1.0470, 74.29, 0.8998, 76.25, 94.24
5, 0.9774, 75.61, 0.8606, 77.00, 94.61
6, 0.9412, 76.30, 0.8353, 77.70, 94.74
7, 0.9206, 76.77, 0.8287, 77.65, 94.82
8, 0.9014, 77.14, 0.8194, 77.88, 94.94
9, 0.8903, 77.36, 0.8069, 78.08, 95.13
10, 0.8763, 77.65, 0.8004, 78.26, 95.08
11, 0.8602, 77.99, 0.7913, 78.56, 95.06
12, 0.8456, 78.31, 0.7825, 78.69, 95.33
13, 0.8360, 78.56, 0.7806, 78.68, 95.34
14, 0.8243, 78.84, 0.7770, 79.01, 95.30
15, 0.8162, 79.03, 0.7703, 79.05, 95.40
16, 0.8033, 79.28, 0.7742, 78.92, 95.43
17, 0.7969, 79.42, 0.7717, 79.14, 95.52
18, 0.7898, 79.63, 0.7655, 79.29, 95.52
19, 0.7838, 79.75, 0.7662, 79.08, 95.50
20, 0.7759, 79.95, 0.7667, 79.17, 95.55
21, 0.7726, 80.04, 0.7663, 79.12, 95.53
22, 0.7653, 80.20, 0.7713, 79.10, 95.44
23, 0.7620, 80.27, 0.7655, 79.42, 95.49
24, 0.7562, 80.40, 0.7671, 79.37, 95.53
25, 0.7510, 80.52, 0.7669, 79.33, 95.49
26, 0.7478, 80.59, 0.7701, 79.27, 95.54
27, 0.7419, 80.75, 0.7670, 79.37, 95.43
28, 0.7384, 80.82, 0.7730, 79.21, 95.53
29, 0.7323, 80.94, 0.7687, 79.36, 95.51
30, 0.7304, 80.99, 0.7652, 79.36, 95.56
31, 0.7260, 81.08, 0.7692, 79.47, 95.52
32, 0.7223, 81.20, 0.7744, 79.40, 95.48
33, 0.7200, 81.27, 0.7690, 79.44, 95.52
34, 0.7135, 81.39, 0.7703, 79.57, 95.55
35, 0.7120, 81.44, 0.7694, 79.51, 95.45
36, 0.7080, 81.55, 0.7734, 79.37, 95.47
37, 0.7049, 81.58, 0.7739, 79.45, 95.49
38, 0.7005, 81.75, 0.7710, 79.56, 95.47
39, 0.6954, 81.85, 0.7702, 79.62, 95.45
40, 0.6919, 81.90, 0.7717, 79.53, 95.41
41, 0.6895, 82.02, 0.7707, 79.54, 95.48
42, 0.6860, 82.06, 0.7733, 79.47, 95.41
43, 0.6833, 82.14, 0.7674, 79.65, 95.48
44, 0.6806, 82.23, 0.7706, 79.58, 95.48
45, 0.6763, 82.32, 0.7678, 79.65, 95.56
46, 0.6709, 82.44, 0.7651, 79.61, 95.47
47, 0.6675, 82.52, 0.7669, 79.57, 95.42
48, 0.6650, 82.58, 0.7676, 79.63, 95.45
49, 0.6612, 82.71, 0.7666, 79.83, 95.49
50, 0.6571, 82.81, 0.7664, 79.75, 95.46
51, 0.6542, 82.88, 0.7639, 79.82, 95.47
52, 0.6514, 82.98, 0.7669, 79.76, 95.44
53, 0.6477, 83.04, 0.7636, 79.84, 95.47
54, 0.6441, 83.17, 0.7676, 79.71, 95.44
55, 0.6414, 83.22, 0.7626, 79.76, 95.45
56, 0.6380, 83.28, 0.7646, 79.74, 95.52
57, 0.6344, 83.40, 0.7621, 79.90, 95.50
58, 0.6309, 83.49, 0.7620, 79.83, 95.50
59, 0.6276, 83.57, 0.7633, 79.87, 95.55
60, 0.6244, 83.64, 0.7613, 79.82, 95.50
61, 0.6208, 83.78, 0.7574, 79.94, 95.51
62, 0.6185, 83.82, 0.7580, 79.88, 95.55
63, 0.6180, 83.88, 0.7555, 79.93, 95.52
64, 0.6161, 83.92, 0.7561, 80.01, 95.56
65, 0.6123, 84.01, 0.7594, 79.91, 95.47
66, 0.6068, 84.19, 0.7550, 79.98, 95.56
67, 0.6064, 84.17, 0.7562, 79.98, 95.57
68, 0.6025, 84.24, 0.7538, 80.00, 95.56
69, 0.6004, 84.33, 0.7535, 79.95, 95.54
70, 0.5998, 84.34, 0.7505, 80.15, 95.59
71, 0.5965, 84.47, 0.7505, 80.10, 95.59
72, 0.5964, 84.47, 0.7515, 80.12, 95.56
73, 0.5944, 84.53, 0.7494, 80.13, 95.59
74, 0.5902, 84.65, 0.7499, 80.01, 95.58
75, 0.5895, 84.67, 0.7468, 80.25, 95.57
76, 0.5885, 84.70, 0.7465, 80.17, 95.59
77, 0.5866, 84.76, 0.7466, 80.18, 95.59
78, 0.5853, 84.75, 0.7465, 80.19, 95.61
79, 0.5835, 84.83, 0.7452, 80.21, 95.64
80, 0.5827, 84.87, 0.7450, 80.12, 95.60
81, 0.5826, 84.89, 0.7442, 80.24, 95.64
82, 0.5804, 84.93, 0.7450, 80.29, 95.59
83, 0.5794, 84.94, 0.7452, 80.25, 95.62
84, 0.5793, 84.95, 0.7445, 80.28, 95.63
85, 0.5779, 84.98, 0.7446, 80.28, 95.61
86, 0.5802, 84.99, 0.7447, 80.25, 95.60
87, 0.5761, 85.07, 0.7445, 80.25, 95.62
88, 0.5770, 85.04, 0.7437, 80.27, 95.63
89, 0.5776, 85.03, 0.7447, 80.26, 95.62

Final Results:
Max Accuracy: 80.29%
Final Val Acc1: 80.26%
Final Val Acc5: 95.62%
Total Training Time: 17:08:18
