Training Log
Model: radio_v2.5-b
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,305,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.8629, 17.05, 3.5612, 51.56, 78.17
1, 2.1129, 62.92, 1.3109, 70.12, 91.07
2, 1.2767, 70.83, 1.0604, 73.64, 92.74
3, 1.1178, 73.27, 0.9729, 75.16, 93.47
4, 1.0423, 74.57, 0.9199, 76.19, 93.89
5, 0.9965, 75.45, 0.8907, 76.62, 94.15
6, 0.9624, 76.08, 0.8716, 77.01, 94.33
7, 0.9382, 76.51, 0.8582, 77.30, 94.43
8, 0.9187, 76.88, 0.8479, 77.40, 94.61
9, 0.9020, 77.16, 0.8392, 77.52, 94.66
10, 0.8900, 77.37, 0.8349, 77.65, 94.64
11, 0.8758, 77.65, 0.8284, 77.86, 94.69
12, 0.8662, 77.84, 0.8254, 77.77, 94.79
13, 0.8567, 78.02, 0.8252, 77.76, 94.82
14, 0.8473, 78.22, 0.8276, 77.94, 94.80
15, 0.8404, 78.36, 0.8193, 77.96, 94.87
16, 0.8346, 78.48, 0.8200, 77.96, 94.88
17, 0.8293, 78.56, 0.8215, 78.12, 94.85
18, 0.8230, 78.72, 0.8158, 78.04, 94.97
19, 0.8203, 78.75, 0.8168, 78.09, 94.84
20, 0.8144, 78.91, 0.8211, 77.97, 94.81
21, 0.8097, 78.98, 0.8200, 78.11, 94.87
22, 0.8044, 79.11, 0.8217, 78.07, 94.90
23, 0.8048, 79.10, 0.8186, 78.21, 94.83
24, 0.8001, 79.20, 0.8227, 78.04, 94.89
25, 0.7984, 79.26, 0.8197, 78.26, 94.87
26, 0.7963, 79.29, 0.8157, 78.32, 94.90
27, 0.7910, 79.39, 0.8187, 78.24, 94.90
28, 0.7903, 79.40, 0.8151, 78.27, 95.01
29, 0.7836, 79.56, 0.8206, 78.23, 94.90
30, 0.7834, 79.56, 0.8157, 78.41, 94.91
31, 0.7791, 79.65, 0.8172, 78.28, 94.95
32, 0.7773, 79.69, 0.8212, 78.20, 94.92
33, 0.7735, 79.76, 0.8167, 78.27, 94.88
34, 0.7701, 79.85, 0.8121, 78.41, 94.87
35, 0.7696, 79.85, 0.8109, 78.47, 94.90
36, 0.7670, 79.87, 0.8234, 78.34, 94.90
37, 0.7630, 79.99, 0.8157, 78.39, 94.87
38, 0.7609, 80.08, 0.8114, 78.59, 94.89
39, 0.7562, 80.17, 0.8100, 78.57, 94.96
40, 0.7538, 80.24, 0.8165, 78.36, 94.90
41, 0.7517, 80.28, 0.8070, 78.54, 94.99
42, 0.7496, 80.31, 0.8134, 78.38, 94.95
43, 0.7464, 80.37, 0.8119, 78.55, 94.93
44, 0.7430, 80.46, 0.8091, 78.60, 94.96
45, 0.7429, 80.53, 0.8048, 78.55, 94.95
46, 0.7400, 80.57, 0.8078, 78.62, 94.97
47, 0.7382, 80.59, 0.8014, 78.72, 95.06
48, 0.7332, 80.70, 0.8022, 78.65, 95.04
49, 0.7297, 80.78, 0.8015, 78.76, 95.06
50, 0.7270, 80.88, 0.8025, 78.70, 95.01
51, 0.7252, 80.93, 0.7984, 78.78, 94.93
52, 0.7226, 81.00, 0.7949, 78.86, 94.99
53, 0.7196, 81.08, 0.7948, 78.92, 95.04
54, 0.7173, 81.14, 0.7971, 78.77, 94.96
55, 0.7139, 81.22, 0.7943, 78.83, 95.05
56, 0.7128, 81.22, 0.7884, 78.99, 95.06
57, 0.7073, 81.35, 0.7914, 79.01, 95.01
58, 0.7050, 81.40, 0.7883, 78.93, 95.08
59, 0.7042, 81.46, 0.7880, 78.99, 95.11
60, 0.7015, 81.55, 0.7914, 78.99, 95.11
61, 0.6996, 81.57, 0.7827, 79.17, 95.15
62, 0.6959, 81.70, 0.7838, 79.14, 95.15
63, 0.6946, 81.74, 0.7806, 79.27, 95.11
64, 0.6925, 81.78, 0.7796, 79.25, 95.14
65, 0.6872, 81.90, 0.7808, 79.33, 95.16
66, 0.6869, 81.94, 0.7760, 79.26, 95.15
67, 0.6851, 82.00, 0.7768, 79.33, 95.19
68, 0.6831, 82.07, 0.7748, 79.26, 95.16
