Training Log
Model: radio_v2.5-l
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.7039, 17.07, 3.3737, 52.17, 78.44
1, 2.0457, 65.15, 1.1423, 75.40, 94.04
2, 1.0978, 75.51, 0.8057, 79.85, 95.76
3, 0.8786, 78.75, 0.6801, 81.78, 96.57
4, 0.7682, 80.55, 0.6262, 82.75, 97.04
5, 0.7280, 81.33, 0.6082, 83.13, 97.13
6, 0.7049, 81.82, 0.5989, 83.26, 97.23
7, 0.6890, 82.08, 0.5999, 83.26, 97.27
8, 0.6776, 82.29, 0.5952, 83.36, 97.29
9, 0.6688, 82.48, 0.5930, 83.22, 97.27
10, 0.6630, 82.63, 0.5927, 83.50, 97.26
11, 0.6511, 82.89, 0.5879, 83.66, 97.33
12, 0.6387, 83.16, 0.5831, 83.69, 97.42
13, 0.6297, 83.38, 0.5826, 83.74, 97.37
14, 0.6191, 83.60, 0.5893, 83.81, 97.32
15, 0.6120, 83.77, 0.5795, 83.74, 97.37
16, 0.6012, 84.04, 0.5826, 83.77, 97.36
17, 0.5928, 84.25, 0.5847, 83.89, 97.33
18, 0.5853, 84.36, 0.5826, 83.80, 97.32
19, 0.5789, 84.56, 0.5875, 83.81, 97.29
20, 0.5731, 84.70, 0.5934, 83.66, 97.29
21, 0.5670, 84.85, 0.5970, 83.65, 97.30
22, 0.5591, 85.06, 0.6007, 83.67, 97.20
23, 0.5536, 85.21, 0.5983, 83.79, 97.26
24, 0.5487, 85.30, 0.6025, 83.61, 97.23
25, 0.5417, 85.49, 0.6072, 83.55, 97.17
26, 0.5367, 85.58, 0.6084, 83.58, 97.22
27, 0.5330, 85.71, 0.6103, 83.59, 97.08
28, 0.5299, 85.81, 0.6192, 83.17, 97.13
29, 0.5226, 85.97, 0.6221, 83.33, 97.15
30, 0.5195, 86.03, 0.6171, 83.34, 97.13
31, 0.5129, 86.19, 0.6260, 83.45, 97.06
32, 0.5105, 86.29, 0.6311, 83.23, 97.02
33, 0.5070, 86.41, 0.6316, 83.21, 97.00
34, 0.5013, 86.51, 0.6372, 83.21, 97.00
35, 0.4984, 86.61, 0.6375, 83.10, 96.98
36, 0.4945, 86.72, 0.6417, 83.22, 96.95
37, 0.4912, 86.79, 0.6407, 83.29, 96.94
38, 0.4861, 86.91, 0.6408, 83.14, 96.92
39, 0.4840, 87.00, 0.6459, 83.31, 96.92
40, 0.4782, 87.12, 0.6472, 83.07, 96.92
41, 0.4770, 87.19, 0.6484, 83.06, 96.92
42, 0.4726, 87.31, 0.6522, 83.12, 96.93
43, 0.4688, 87.42, 0.6454, 83.20, 96.94
44, 0.4628, 87.56, 0.6483, 83.12, 96.92
45, 0.4607, 87.62, 0.6532, 83.17, 96.87
46, 0.4558, 87.75, 0.6455, 83.21, 96.91
47, 0.4511, 87.85, 0.6520, 83.20, 96.88
48, 0.4490, 87.96, 0.6549, 83.13, 96.84
49, 0.4447, 88.07, 0.6504, 83.28, 96.92
50, 0.4406, 88.19, 0.6541, 83.18, 96.89
51, 0.4381, 88.23, 0.6542, 83.08, 96.89
52, 0.4347, 88.34, 0.6562, 83.03, 96.85
53, 0.4292, 88.50, 0.6559, 83.21, 96.83
54, 0.4272, 88.57, 0.6593, 83.13, 96.81
55, 0.4243, 88.68, 0.6546, 83.22, 96.87
56, 0.4187, 88.79, 0.6531, 83.18, 96.82
57, 0.4168, 88.85, 0.6548, 83.23, 96.81
58, 0.4143, 88.93, 0.6534, 83.14, 96.86
59, 0.4110, 89.05, 0.6573, 83.24, 96.87
60, 0.4076, 89.16, 0.6549, 83.09, 96.93
61, 0.4057, 89.22, 0.6533, 83.21, 96.90
62, 0.4027, 89.30, 0.6561, 83.23, 96.89
63, 0.3990, 89.41, 0.6492, 83.38, 96.88
64, 0.3970, 89.48, 0.6526, 83.26, 96.92
65, 0.3927, 89.59, 0.6545, 83.23, 96.91
66, 0.3909, 89.66, 0.6484, 83.28, 96.90
67, 0.3878, 89.73, 0.6508, 83.27, 96.83
68, 0.3861, 89.81, 0.6519, 83.36, 96.86
69, 0.3847, 89.83, 0.6522, 83.31, 96.88
70, 0.3811, 89.95, 0.6484, 83.33, 96.89
71, 0.3795, 90.00, 0.6461, 83.36, 96.89
72, 0.3761, 90.11, 0.6482, 83.27, 96.90
73, 0.3762, 90.13, 0.6472, 83.42, 96.86
74, 0.3739, 90.20, 0.6483, 83.29, 96.88
75, 0.3718, 90.28, 0.6462, 83.48, 96.91
76, 0.3699, 90.34, 0.6459, 83.37, 96.94
77, 0.3700, 90.31, 0.6451, 83.32, 96.92
78, 0.3672, 90.39, 0.6470, 83.41, 96.90
79, 0.3678, 90.39, 0.6443, 83.42, 96.90
80, 0.3655, 90.46, 0.6441, 83.39, 96.88
81, 0.3646, 90.51, 0.6435, 83.45, 96.90
82, 0.3661, 90.49, 0.6436, 83.44, 96.91
