Training Log
Model: radio_v2.5-l
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 3,073,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.7031, 22.77, 3.0022, 65.41, 87.29
1, 1.6057, 72.88, 0.8732, 79.04, 95.31
2, 0.9254, 78.34, 0.7180, 81.30, 96.21
3, 0.8184, 79.96, 0.6648, 82.31, 96.58
4, 0.7671, 80.85, 0.6357, 82.70, 96.78
5, 0.7334, 81.48, 0.6202, 83.06, 96.89
6, 0.7052, 81.96, 0.6097, 83.27, 96.94
7, 0.6882, 82.26, 0.6056, 83.30, 97.05
8, 0.6724, 82.53, 0.6033, 83.40, 97.06
9, 0.6587, 82.77, 0.5965, 83.37, 97.06
10, 0.6484, 83.00, 0.5955, 83.55, 97.12
11, 0.6343, 83.28, 0.5941, 83.68, 97.03
12, 0.6250, 83.45, 0.5957, 83.55, 97.09
13, 0.6178, 83.65, 0.5913, 83.70, 97.14
14, 0.6090, 83.79, 0.6018, 83.60, 97.13
15, 0.6034, 83.89, 0.5990, 83.52, 97.16
16, 0.5972, 84.03, 0.5968, 83.56, 97.07
17, 0.5899, 84.17, 0.6036, 83.65, 97.07
18, 0.5875, 84.26, 0.5980, 83.59, 97.15
19, 0.5813, 84.39, 0.5996, 83.63, 97.03
20, 0.5754, 84.51, 0.6089, 83.43, 97.04
21, 0.5739, 84.55, 0.6079, 83.35, 97.08
22, 0.5701, 84.66, 0.6121, 83.48, 97.02
23, 0.5666, 84.71, 0.6074, 83.61, 97.10
24, 0.5634, 84.80, 0.6123, 83.41, 97.02
25, 0.5606, 84.84, 0.6084, 83.68, 97.04
26, 0.5564, 84.93, 0.6175, 83.44, 97.01
27, 0.5535, 85.03, 0.6099, 83.54, 96.98
28, 0.5512, 85.07, 0.6175, 83.45, 97.04
29, 0.5503, 85.12, 0.6178, 83.41, 97.04
30, 0.5459, 85.17, 0.6165, 83.51, 96.98
31, 0.5418, 85.28, 0.6153, 83.66, 97.05
32, 0.5413, 85.31, 0.6203, 83.22, 96.99
33, 0.5379, 85.44, 0.6174, 83.56, 97.01
34, 0.5347, 85.48, 0.6203, 83.39, 96.90
35, 0.5305, 85.61, 0.6181, 83.44, 96.97
36, 0.5299, 85.63, 0.6261, 83.46, 96.97
37, 0.5291, 85.63, 0.6238, 83.47, 96.98
38, 0.5235, 85.75, 0.6205, 83.49, 97.02
39, 0.5209, 85.81, 0.6191, 83.56, 96.95
40, 0.5187, 85.86, 0.6253, 83.34, 96.91
41, 0.5174, 85.90, 0.6186, 83.58, 96.96
42, 0.5157, 85.98, 0.6214, 83.55, 96.94
43, 0.5116, 86.07, 0.6194, 83.58, 97.00
44, 0.5075, 86.15, 0.6203, 83.75, 96.98
45, 0.5067, 86.19, 0.6197, 83.59, 96.93
46, 0.5029, 86.28, 0.6179, 83.54, 96.89
47, 0.4994, 86.34, 0.6145, 83.73, 96.95
48, 0.4963, 86.40, 0.6160, 83.76, 96.98
49, 0.4950, 86.48, 0.6139, 83.74, 96.98
50, 0.4906, 86.62, 0.6150, 83.68, 97.05
51, 0.4893, 86.63, 0.6102, 83.65, 97.02
52, 0.4865, 86.72, 0.6114, 83.65, 96.95
53, 0.4850, 86.76, 0.6093, 83.82, 96.96
54, 0.4815, 86.86, 0.6120, 83.58, 96.95
55, 0.4782, 86.97, 0.6104, 83.75, 97.01
56, 0.4754, 87.01, 0.6015, 83.89, 97.01
57, 0.4757, 87.02, 0.6065, 83.69, 97.04
58, 0.4715, 87.13, 0.6055, 83.80, 97.03
59, 0.4679, 87.22, 0.6049, 83.86, 97.04
60, 0.4670, 87.27, 0.6059, 83.82, 96.99
61, 0.4648, 87.31, 0.6013, 83.98, 97.01
62, 0.4622, 87.39, 0.6016, 83.98, 97.05
63, 0.4586, 87.47, 0.5957, 83.97, 97.05
64, 0.4582, 87.53, 0.5950, 84.05, 97.06
65, 0.4551, 87.57, 0.5980, 83.92, 97.07
66, 0.4529, 87.67, 0.5952, 84.05, 97.08
67, 0.4514, 87.73, 0.5946, 84.08, 97.07
68, 0.4489, 87.81, 0.5921, 84.15, 97.06
69, 0.4478, 87.85, 0.5930, 84.06, 97.05
70, 0.4456, 87.91, 0.5906, 84.09, 97.09
71, 0.4441, 87.97, 0.5885, 84.19, 97.06
72, 0.4425, 87.97, 0.5904, 84.19, 97.10
73, 0.4411, 88.05, 0.5870, 84.23, 97.07
74, 0.4385, 88.11, 0.5895, 84.13, 97.10
75, 0.4380, 88.15, 0.5849, 84.26, 97.07
76, 0.4377, 88.17, 0.5859, 84.27, 97.04
77, 0.4360, 88.18, 0.5844, 84.22, 97.07
78, 0.4341, 88.28, 0.5853, 84.23, 97.10
79, 0.4350, 88.26, 0.5837, 84.29, 97.10
80, 0.4334, 88.30, 0.5829, 84.29, 97.08
81, 0.4313, 88.35, 0.5827, 84.28, 97.08
82, 0.4307, 88.37, 0.5830, 84.30, 97.07
83, 0.4297, 88.40, 0.5830, 84.31, 97.11
84, 0.4305, 88.41, 0.5825, 84.36, 97.09
85, 0.4294, 88.46, 0.5824, 84.36, 97.10
86, 0.4283, 88.47, 0.5822, 84.33, 97.09
87, 0.4297, 88.43, 0.5819, 84.34, 97.09
88, 0.4283, 88.45, 0.5823, 84.33, 97.10
89, 0.4290, 88.44, 0.5829, 84.34, 97.09

Final Results:
Max Accuracy: 84.36%
Final Val Acc1: 84.34%
Final Val Acc5: 97.09%
Total Training Time: 16:16:27
