Training Log
Model: ViT-SO400M-14-SigLIP2
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,153,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.2755, 10.98, 4.7952, 47.01, 70.71
1, 2.5565, 74.41, 1.0266, 82.68, 96.79
2, 0.6082, 86.93, 0.5431, 86.21, 98.04
3, 0.4236, 88.72, 0.4739, 86.99, 98.33
4, 0.3718, 89.59, 0.4484, 87.31, 98.40
5, 0.3427, 90.17, 0.4373, 87.44, 98.45
6, 0.3228, 90.58, 0.4337, 87.41, 98.48
7, 0.3073, 90.91, 0.4359, 87.31, 98.50
8, 0.2949, 91.20, 0.4388, 87.41, 98.50
9, 0.2854, 91.39, 0.4461, 87.19, 98.47
10, 0.2763, 91.60, 0.4519, 87.19, 98.40
11, 0.2672, 91.81, 0.4598, 87.08, 98.39
12, 0.2593, 92.03, 0.4658, 86.90, 98.38
13, 0.2533, 92.17, 0.4685, 86.93, 98.38
14, 0.2478, 92.28, 0.4826, 86.75, 98.29
15, 0.2428, 92.44, 0.4836, 86.62, 98.28
16, 0.2382, 92.55, 0.4918, 86.55, 98.24
17, 0.2345, 92.64, 0.5000, 86.43, 98.22
18, 0.2314, 92.72, 0.5055, 86.45, 98.23
19, 0.2275, 92.79, 0.5145, 86.37, 98.18
20, 0.2249, 92.88, 0.5220, 86.37, 98.15
21, 0.2226, 92.93, 0.5283, 86.10, 98.13
22, 0.2199, 93.01, 0.5387, 86.02, 98.10
23, 0.2181, 93.06, 0.5431, 86.08, 98.04
24, 0.2154, 93.14, 0.5513, 85.83, 98.06
25, 0.2139, 93.16, 0.5588, 85.96, 98.01
26, 0.2115, 93.25, 0.5668, 85.79, 97.98
27, 0.2096, 93.30, 0.5683, 85.85, 97.97
28, 0.2077, 93.34, 0.5743, 85.75, 97.97
29, 0.2060, 93.36, 0.5814, 85.65, 97.97
30, 0.2043, 93.45, 0.5929, 85.58, 97.97
31, 0.2021, 93.50, 0.5942, 85.68, 97.92
32, 0.2015, 93.52, 0.6049, 85.43, 97.86
33, 0.1992, 93.59, 0.5985, 85.62, 97.89
34, 0.1972, 93.62, 0.6099, 85.41, 97.81
35, 0.1958, 93.66, 0.6138, 85.46, 97.85
36, 0.1939, 93.73, 0.6253, 85.36, 97.86
37, 0.1922, 93.76, 0.6245, 85.50, 97.82
38, 0.1905, 93.82, 0.6256, 85.28, 97.82
39, 0.1882, 93.88, 0.6309, 85.37, 97.78
40, 0.1864, 93.94, 0.6375, 85.17, 97.82
41, 0.1852, 93.96, 0.6395, 85.09, 97.77
42, 0.1835, 94.03, 0.6461, 85.09, 97.79
43, 0.1800, 94.10, 0.6386, 85.24, 97.78
44, 0.1794, 94.13, 0.6445, 85.22, 97.77
45, 0.1773, 94.20, 0.6485, 85.29, 97.79
46, 0.1752, 94.25, 0.6521, 85.17, 97.76
47, 0.1730, 94.31, 0.6481, 85.23, 97.79
48, 0.1711, 94.37, 0.6543, 85.32, 97.82
49, 0.1694, 94.42, 0.6539, 85.12, 97.79
50, 0.1671, 94.48, 0.6618, 85.09, 97.80
51, 0.1657, 94.54, 0.6564, 85.11, 97.72
52, 0.1633, 94.62, 0.6636, 85.16, 97.73
53, 0.1615, 94.66, 0.6614, 85.11, 97.73
54, 0.1596, 94.71, 0.6633, 85.13, 97.76
55, 0.1581, 94.79, 0.6660, 85.22, 97.73
56, 0.1555, 94.86, 0.6655, 85.08, 97.74
57, 0.1540, 94.90, 0.6662, 85.11, 97.72
58, 0.1517, 94.99, 0.6679, 85.08, 97.74
59, 0.1505, 95.02, 0.6708, 85.04, 97.69
60, 0.1485, 95.07, 0.6726, 85.03, 97.75
61, 0.1468, 95.14, 0.6673, 85.17, 97.71
62, 0.1453, 95.20, 0.6696, 85.06, 97.71
63, 0.1435, 95.25, 0.6657, 85.03, 97.71
64, 0.1422, 95.30, 0.6671, 85.09, 97.71
65, 0.1403, 95.36, 0.6690, 85.09, 97.74
66, 0.1390, 95.42, 0.6655, 85.13, 97.72
67, 0.1377, 95.45, 0.6676, 85.10, 97.71
68, 0.1361, 95.53, 0.6672, 85.10, 97.74
69, 0.1347, 95.56, 0.6662, 85.09, 97.71
70, 0.1332, 95.63, 0.6652, 85.08, 97.73
71, 0.1319, 95.66, 0.6669, 85.14, 97.74
72, 0.1312, 95.71, 0.6683, 85.05, 97.72
73, 0.1299, 95.75, 0.6681, 85.11, 97.72
74, 0.1289, 95.79, 0.6687, 85.06, 97.73
75, 0.1280, 95.83, 0.6650, 85.08, 97.73
76, 0.1271, 95.87, 0.6656, 85.11, 97.72
