Training Log
Model: ViT-L-16-SigLIP2-256
Model Details: 
Dataset: imagenet1k
Representation: ep
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 2,106,344
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 5.5928, 22.90, 3.1555, 64.19, 86.43
1, 1.4177, 78.93, 0.8013, 82.22, 96.64
2, 0.5693, 86.01, 0.5522, 85.27, 97.79
3, 0.4269, 88.18, 0.4776, 86.39, 98.23
4, 0.3767, 89.06, 0.4576, 86.94, 98.36
5, 0.3513, 89.62, 0.4517, 86.87, 98.43
6, 0.3323, 90.08, 0.4487, 87.11, 98.38
7, 0.3176, 90.42, 0.4556, 86.80, 98.39
8, 0.3050, 90.70, 0.4609, 86.87, 98.38
9, 0.2947, 90.96, 0.4667, 86.61, 98.33
10, 0.2829, 91.21, 0.4743, 86.70, 98.29
11, 0.2695, 91.58, 0.4817, 86.47, 98.30
12, 0.2565, 91.91, 0.4897, 86.49, 98.27
13, 0.2438, 92.25, 0.4967, 86.42, 98.24
14, 0.2312, 92.60, 0.5054, 86.33, 98.18
15, 0.2189, 92.94, 0.5141, 86.33, 98.11
16, 0.2059, 93.33, 0.5328, 86.16, 98.10
17, 0.1944, 93.66, 0.5452, 86.07, 98.01
18, 0.1839, 93.98, 0.5545, 85.89, 98.01
19, 0.1731, 94.32, 0.5696, 85.82, 97.94
20, 0.1632, 94.61, 0.5902, 85.72, 97.91
21, 0.1544, 94.89, 0.6074, 85.31, 97.78
22, 0.1459, 95.14, 0.6262, 85.46, 97.73
23, 0.1390, 95.34, 0.6417, 85.42, 97.69
24, 0.1312, 95.62, 0.6692, 85.21, 97.65
25, 0.1254, 95.83, 0.6790, 85.15, 97.57
26, 0.1206, 95.96, 0.6969, 85.22, 97.65
27, 0.1153, 96.15, 0.7125, 85.05, 97.51
28, 0.1105, 96.33, 0.7322, 84.80, 97.49
29, 0.1064, 96.46, 0.7517, 84.90, 97.41
30, 0.1024, 96.59, 0.7709, 84.81, 97.40
31, 0.0983, 96.75, 0.7809, 84.88, 97.42
32, 0.0953, 96.85, 0.7901, 84.63, 97.39
33, 0.0925, 96.96, 0.8111, 84.67, 97.36
34, 0.0898, 97.07, 0.8191, 84.56, 97.20
35, 0.0873, 97.16, 0.8322, 84.65, 97.31
36, 0.0838, 97.29, 0.8626, 84.49, 97.20
37, 0.0819, 97.35, 0.8654, 84.61, 97.25
38, 0.0794, 97.45, 0.8762, 84.65, 97.24
39, 0.0771, 97.54, 0.8902, 84.48, 97.24
40, 0.0747, 97.62, 0.8942, 84.55, 97.22
41, 0.0719, 97.72, 0.9132, 84.40, 97.20
42, 0.0703, 97.80, 0.9100, 84.62, 97.16
43, 0.0680, 97.87, 0.9302, 84.66, 97.19
