k-NN Evaluation
Model: siglip2_vitl (pooled output)
Representation: cls
Protocol: features L2-normalised, cosine similarity, ImageNet-1k train as the database and val as queries
features: 'raw' is the backbone output as the probe sees it; 'final_norm' additionally applies the encoder's final LayerNorm, which forward_features skips and which the LP head otherwise absorbs into its own learned BatchNorm
features, T, k, Top1, Top5
raw, 0.07, 5, 80.34, 90.89
raw, 0.07, 10, 80.99, 93.25
raw, 0.07, 15, 81.09, 94.16
raw, 0.07, 20, 81.00, 94.65
raw, 0.07, 50, 80.57, 95.58
raw, 0.07, 100, 79.65, 95.73
raw, 0.07, 200, 78.96, 95.57
raw, 0.1, 5, 80.29, 90.89
raw, 0.1, 10, 80.84, 93.25
raw, 0.1, 15, 80.86, 94.16
raw, 0.1, 20, 80.83, 94.64
raw, 0.1, 50, 80.11, 95.56
raw, 0.1, 100, 79.04, 95.65
raw, 0.1, 200, 78.08, 95.38
raw, 0.2, 5, 80.18, 90.89
raw, 0.2, 10, 80.68, 93.25
raw, 0.2, 15, 80.62, 94.15
raw, 0.2, 20, 80.55, 94.64
raw, 0.2, 50, 79.62, 95.49
raw, 0.2, 100, 78.35, 95.48
raw, 0.2, 200, 76.92, 95.19

Best: Top1 81.09% with raw features at k=15, T=0.07
Top5: 94.16%
