Training Log
Model: ViT-L-16-SigLIP2-256
Model Details: 
Dataset: imagenet1k
Representation: cls
Batch size per GPU: 256
Base learning rate: 0.1
Effective batch size: 4096
Trainable Parameters: 1,025,000
Epoch, Train Loss, Train Acc1, Val Loss, Val Acc1, Val Acc5
0, 6.3602, 9.35, 4.9457, 42.39, 66.90
1, 2.7258, 72.10, 1.1309, 81.47, 96.40
2, 0.6612, 86.12, 0.5793, 85.11, 97.76
3, 0.4525, 88.08, 0.5036, 86.16, 98.12
4, 0.3968, 88.96, 0.4752, 86.72, 98.28
5, 0.3657, 89.56, 0.4626, 86.76, 98.32
6, 0.3445, 90.00, 0.4577, 86.95, 98.34
7, 0.3293, 90.32, 0.4595, 86.76, 98.36
8, 0.3167, 90.60, 0.4627, 86.87, 98.35
9, 0.3069, 90.82, 0.4692, 86.57, 98.29
10, 0.2975, 90.98, 0.4745, 86.55, 98.24
11, 0.2881, 91.22, 0.4821, 86.45, 98.25
12, 0.2807, 91.41, 0.4882, 86.27, 98.19
13, 0.2743, 91.56, 0.4927, 86.21, 98.17
14, 0.2688, 91.68, 0.5038, 86.20, 98.13
15, 0.2642, 91.80, 0.5066, 86.05, 98.13
16, 0.2596, 91.91, 0.5127, 85.87, 98.05
17, 0.2559, 92.01, 0.5234, 85.85, 98.05
18, 0.2525, 92.10, 0.5287, 85.81, 98.02
19, 0.2497, 92.15, 0.5363, 85.78, 98.02
20, 0.2465, 92.24, 0.5426, 85.71, 97.95
21, 0.2446, 92.28, 0.5496, 85.56, 97.94
22, 0.2417, 92.37, 0.5563, 85.46, 97.93
23, 0.2399, 92.40, 0.5623, 85.51, 97.88
24, 0.2371, 92.49, 0.5728, 85.39, 97.84
25, 0.2362, 92.51, 0.5825, 85.30, 97.82
26, 0.2337, 92.58, 0.5848, 85.25, 97.79
27, 0.2318, 92.61, 0.5864, 85.35, 97.76
28, 0.2303, 92.69, 0.5923, 85.05, 97.79
29, 0.2285, 92.71, 0.5983, 85.04, 97.77
30, 0.2270, 92.76, 0.6099, 84.98, 97.69
31, 0.2252, 92.84, 0.6097, 85.08, 97.71
32, 0.2238, 92.82, 0.6188, 84.91, 97.70
33, 0.2213, 92.92, 0.6148, 85.03, 97.74
34, 0.2198, 92.95, 0.6251, 84.86, 97.58
35, 0.2181, 93.01, 0.6302, 84.72, 97.65
36, 0.2166, 93.06, 0.6376, 84.71, 97.61
37, 0.2150, 93.07, 0.6382, 84.91, 97.64
38, 0.2131, 93.14, 0.6386, 84.86, 97.60
39, 0.2111, 93.20, 0.6439, 84.77, 97.55
40, 0.2097, 93.22, 0.6501, 84.67, 97.60
41, 0.2075, 93.29, 0.6518, 84.69, 97.56
42, 0.2056, 93.35, 0.6570, 84.70, 97.56
43, 0.2033, 93.41, 0.6538, 84.80, 97.56
44, 0.2018, 93.46, 0.6591, 84.71, 97.52
45, 0.2002, 93.50, 0.6635, 84.60, 97.55
46, 0.1977, 93.56, 0.6629, 84.68, 97.52
47, 0.1957, 93.62, 0.6650, 84.68, 97.57
48, 0.1938, 93.68, 0.6693, 84.75, 97.54
49, 0.1919, 93.73, 0.6668, 84.73, 97.53
50, 0.1902, 93.77, 0.6738, 84.58, 97.54
